gene_id	SYMBOL	HT29_LARGE_INTESTINE
TSPAN6 (7105)	TSPAN6	4.39985467357243
TNMD (64102)	TNMD	0
DPM1 (8813)	DPM1	6.71836162613835
SCYL3 (57147)	SCYL3	2.78450398292957
C1orf112 (55732)	C1orf112	3.46858331700683
FGR (2268)	FGR	0.0143552929770701
CFH (3075)	CFH	4.08151006812092
FUCA2 (2519)	FUCA2	5.35508676166836
GCLC (2729)	GCLC	5.10097764772482
NFYA (4800)	NFYA	4.32481060342048
STPG1 (90529)	STPG1	2.78450398292957
NIPAL3 (57185)	NIPAL3	4.39094277280254
LAS1L (81887)	LAS1L	5.80503443985454
ENPP4 (22875)	ENPP4	2.27798474729977
SEMA3F (6405)	SEMA3F	3.07895134139482
CFTR (1080)	CFTR	5.58556349845569
ANKIB1 (54467)	ANKIB1	4.611172380044
CYP51A1 (1595)	CYP51A1	5.75435307169213
KRIT1 (889)	KRIT1	4.58315800387441
RAD52 (5893)	RAD52	2.77399632511117
BAD (572)	BAD	5.68088692071969
LAP3 (51056)	LAP3	6.05311133645956
CD99 (4267)	CD99	2.75274859140713
HS3ST1 (9957)	HS3ST1	2.82578562746479
AOC1 (26)	AOC1	3.55213110825378
WNT16 (51384)	WNT16	0.111031312388744
HECW1 (23072)	HECW1	0
MAD1L1 (8379)	MAD1L1	3.82680268428583
LASP1 (3927)	LASP1	7.60710834359133
SNX11 (29916)	SNX11	4.14323013477689
TMEM176A (55365)	TMEM176A	0.422233000683048
M6PR (4074)	M6PR	5.8011586560937
KLHL13 (90293)	KLHL13	0.070389327891398
CYP26B1 (56603)	CYP26B1	0.20163386116965
ICA1 (3382)	ICA1	5.39848719001897
DBNDD1 (79007)	DBNDD1	3.20633064787105
ALS2 (57679)	ALS2	3.16832111573972
CASP10 (843)	CASP10	1.74416109557041
CFLAR (8837)	CFLAR	4.59275601044103
TFPI (7035)	TFPI	6.15076274435542
NDUFAF7 (55471)	NDUFAF7	3.99367436175058
RBM5 (10181)	RBM5	5.55366768848306
MTMR7 (9108)	MTMR7	0.150559676575381
SLC7A2 (6542)	SLC7A2	1.20163386116965
ARF5 (381)	ARF5	7.68776058407035
SARM1 (23098)	SARM1	2.28688114778816
POLDIP2 (26073)	POLDIP2	5.91814767387683
PLXND1 (23129)	PLXND1	5.01524777369894
AK2 (204)	AK2	7.91504279137198
CD38 (952)	CD38	0.0840642647884745
FKBP4 (2288)	FKBP4	6.30961277245412
KDM1A (23028)	KDM1A	6.19455988602261
RBM6 (10180)	RBM6	5.10055722078293
CAMKK1 (84254)	CAMKK1	2.55826763405574
RECQL (5965)	RECQL	4.44691786486603
VPS50 (55610)	VPS50	3.4369613378336
HSPB6 (126393)	HSPB6	0.176322772640463
ARHGAP33 (115703)	ARHGAP33	3.42492208821069
NDUFAB1 (4706)	NDUFAB1	7.69237139970866
PDK4 (5166)	PDK4	1.71369581484336
SLC22A16 (85413)	SLC22A16	0
ZMYND10 (51364)	ZMYND10	0.356143810225275
ABCB5 (340273)	ABCB5	0
ARX (170302)	ARX	0.0426443374084937
SLC25A13 (10165)	SLC25A13	4.97361127551947
ST7 (7982)	ST7	4.15946772926677
CDC27 (996)	CDC27	4.14893410452634
SLC4A1 (6521)	SLC4A1	0
CALCR (799)	CALCR	0
HCCS (3052)	HCCS	4.29278174922785
DVL2 (1856)	DVL2	4.01613970265525
PRSS22 (64063)	PRSS22	4.92884403671257
UPF1 (5976)	UPF1	4.75595576955096
SKAP2 (8935)	SKAP2	4.37851162325373
SLC25A5 (292)	SLC25A5	9.39585541261337
MCUB (55013)	MCUB	1.02147972741045
HOXA11 (3207)	HOXA11	4.98367769469807
