"samples","mean_count","rho","seed","moderation","guide_tests","guide_type_i","guide_any_bh_call","gene_tests","gene_type_i","gene_any_bh_call","rho_zero_fraction","convergence_fraction"
4,10,0,3101,FALSE,500,0,0,100,0,0,0.614,1
4,10,0,3101,TRUE,500,0.054,0,100,0.05,0,0.614,1
6,10,0,3101,FALSE,500,0.002,0,100,0,0,0.612,1
6,10,0,3101,TRUE,500,0.038,0,100,0.02,0,0.612,1
8,10,0,3101,FALSE,500,0.002,0,100,0,0,0.58,1
8,10,0,3101,TRUE,500,0.036,0,100,0.04,0,0.58,1
12,10,0,3101,FALSE,500,0.012,0,100,0.03,0,0.578,1
12,10,0,3101,TRUE,500,0.046,0,100,0.04,0,0.578,1
4,100,0,3101,FALSE,500,0,0,100,0,0,0.634,1
4,100,0,3101,TRUE,500,0.044,0,100,0.03,0,0.634,1
6,100,0,3101,FALSE,500,0.006,0,100,0.01,0,0.588,1
6,100,0,3101,TRUE,500,0.06,0,100,0.06,0,0.588,1
8,100,0,3101,FALSE,500,0.008,0,100,0.02,0,0.562,1
8,100,0,3101,TRUE,500,0.044,0,100,0.05,0,0.562,1
12,100,0,3101,FALSE,500,0.022,0,100,0.03,0,0.528,1
12,100,0,3101,TRUE,500,0.048,0,100,0.05,0,0.528,1
4,1000,0,3101,FALSE,500,0,0,100,0,0,0.648,1
4,1000,0,3101,TRUE,500,0.054,0,100,0.04,0,0.648,1
6,1000,0,3101,FALSE,500,0.002,0,100,0.02,0,0.62,1
6,1000,0,3101,TRUE,500,0.05,0,100,0.07,0,0.62,1
8,1000,0,3101,FALSE,500,0.012,0,100,0.02,0,0.6,1
8,1000,0,3101,TRUE,500,0.052,0,100,0.06,0,0.6,1
12,1000,0,3101,FALSE,500,0.024,0,100,0.02,0,0.538,1
12,1000,0,3101,TRUE,500,0.06,0,100,0.04,0,0.538,1
4,10,5e-07,3101,FALSE,500,0,0,100,0,0,0.486,1
4,10,5e-07,3101,TRUE,500,0.034,0,100,0.06,0,0.486,1
6,10,5e-07,3101,FALSE,500,0.002,0,100,0,0,0.408,1
6,10,5e-07,3101,TRUE,500,0.028,0,100,0.05,0,0.408,1
8,10,5e-07,3101,FALSE,500,0.026,0,100,0.02,0,0.31,1
8,10,5e-07,3101,TRUE,500,0.058,0,100,0.05,0,0.31,1
12,10,5e-07,3101,FALSE,500,0.034,0,100,0.02,0,0.23,1
12,10,5e-07,3101,TRUE,500,0.046,0,100,0.05,0,0.23,1
4,100,5e-07,3101,FALSE,500,0,0,100,0.01,0,0.496,1
4,100,5e-07,3101,TRUE,500,0.054,0,100,0.03,0,0.496,1
6,100,5e-07,3101,FALSE,500,0.018,0,100,0.01,0,0.402,1
6,100,5e-07,3101,TRUE,500,0.06,0,100,0.07,0,0.402,1
8,100,5e-07,3101,FALSE,500,0.03,0,100,0.04,0,0.322,1
8,100,5e-07,3101,TRUE,500,0.044,0,100,0.06,0,0.322,1
12,100,5e-07,3101,FALSE,500,0.032,0,100,0.04,0,0.25,1
12,100,5e-07,3101,TRUE,500,0.04,0,100,0.07,0,0.25,1
4,1000,5e-07,3101,FALSE,500,0,0,100,0.01,0,0.462,1
4,1000,5e-07,3101,TRUE,500,0.042,0,100,0.07,0,0.462,1
6,1000,5e-07,3101,FALSE,500,0.008,0,100,0.01,0,0.356,1
6,1000,5e-07,3101,TRUE,500,0.06,0,100,0.01,0,0.356,1
8,1000,5e-07,3101,FALSE,500,0.02,0,100,0.03,0,0.334,1
8,1000,5e-07,3101,TRUE,500,0.048,0,100,0.04,0,0.334,1
12,1000,5e-07,3101,FALSE,500,0.034,0,100,0.02,0,0.232,1
12,1000,5e-07,3101,TRUE,500,0.058,0,100,0.05,0,0.232,1
4,10,5e-06,3101,FALSE,500,0.002,0,100,0.01,0,0.162,1
4,10,5e-06,3101,TRUE,500,0.004,0,100,0.02,0,0.162,1
6,10,5e-06,3101,FALSE,500,0.038,0,100,0.04,0,0.056,1
6,10,5e-06,3101,TRUE,500,0.042,0,100,0.05,0,0.056,1
8,10,5e-06,3101,FALSE,500,0.04,0,100,0.07,0,0.024,1
8,10,5e-06,3101,TRUE,500,0.044,0,100,0.07,0,0.024,1
12,10,5e-06,3101,FALSE,500,0.028,0,100,0.02,0,0,1
12,10,5e-06,3101,TRUE,500,0.04,0,100,0.02,0,0,1
4,100,5e-06,3101,FALSE,500,0.01,0,100,0.01,0,0.174,1
4,100,5e-06,3101,TRUE,500,0.046,0,100,0.04,0,0.174,1
6,100,5e-06,3101,FALSE,500,0.048,0,100,0.03,0,0.042,1
6,100,5e-06,3101,TRUE,500,0.056,0,100,0.04,0,0.042,1
8,100,5e-06,3101,FALSE,500,0.054,0,100,0.04,0,0.01,1
8,100,5e-06,3101,TRUE,500,0.042,0,100,0.01,0,0.01,1
12,100,5e-06,3101,FALSE,500,0.056,0,100,0.05,0,0,1
12,100,5e-06,3101,TRUE,500,0.074,0,100,0.02,0,0,1
4,1000,5e-06,3101,FALSE,500,0.02,0,100,0.01,0,0.154,1
4,1000,5e-06,3101,TRUE,500,0.04,0,100,0.01,0,0.154,1
