"samples","mean_count","rho","moderation","guide_type_i","guide_any_bh_call","gene_type_i","gene_any_bh_call","rho_zero_fraction","convergence_fraction","guide_type_i_sd","guide_any_bh_call_sd","gene_type_i_sd","gene_any_bh_call_sd","rho_zero_fraction_sd","convergence_fraction_sd"
12,10,0,FALSE,0.014,0,0.03,0,0.5748,1,0.0058309518948453,0,0.0173205080756888,0,0.0198292712927127,0
12,10,0,TRUE,0.0464,0,0.052,0,0.5748,1,0.00698569967862919,0,0.0228035085019828,0,0.0198292712927127,0
12,10,5e-06,FALSE,0.0408,0,0.05,0,0.0016,1,0.0100598210719674,0,0.0254950975679639,0,0.00167332005306815,0
12,10,5e-06,TRUE,0.0416,0,0.036,0,0.0016,1,0.01161034021896,0,0.0207364413533277,0,0.00167332005306815,0
12,10,5e-07,FALSE,0.034,0,0.038,0,0.2388,1,0.00282842712474619,0,0.0303315017762062,0,0.0212884945451763,0
12,10,5e-07,TRUE,0.0488,0,0.052,0,0.2388,1,0.00521536192416212,0,0.0178885438199983,0,0.0212884945451763,0
12,100,0,FALSE,0.02,0,0.03,0,0.5424,1,0.00547722557505166,0,0.0187082869338697,0,0.0190997382181013,0
12,100,0,TRUE,0.0512,0,0.06,0,0.5424,1,0.00878635305459552,0,0.00707106781186548,0,0.0190997382181013,0
12,100,5e-06,FALSE,0.0504,0,0.05,0,0.0012,1,0.00477493455452533,0,0.0158113883008419,0,0.00178885438199983,0
12,100,5e-06,TRUE,0.052,0,0.038,0.2,0.0012,1,0.0136381816969859,0,0.016431676725155,0.447213595499958,0.00178885438199983,0
12,100,5e-07,FALSE,0.0368,0,0.038,0,0.2428,1,0.00460434577328854,0,0.0192353840616713,0,0.0212884945451763,0
12,100,5e-07,TRUE,0.05,0,0.056,0,0.2428,1,0.0136381816969859,0,0.0167332005306815,0,0.0212884945451763,0
12,1000,0,FALSE,0.0208,0,0.018,0,0.5412,1,0.00501996015920445,0,0.0109544511501033,0,0.0152052622469986,0
12,1000,0,TRUE,0.0544,0,0.056,0,0.5412,1,0.00887693640846886,0,0.0151657508881031,0,0.0152052622469986,0
12,1000,5e-06,FALSE,0.0568,0.2,0.062,0,0.0016,1,0.0112782977438973,0.447213595499958,0.0303315017762062,0,0.00167332005306815,0
12,1000,5e-06,TRUE,0.0516,0,0.06,0,0.0016,1,0.00817312669668102,0,0.0282842712474619,0,0.00167332005306815,0
12,1000,5e-07,FALSE,0.0332,0,0.034,0.2,0.234,1,0.00438178046004133,0,0.0134164078649987,0.447213595499958,0.0206881608655772,0
12,1000,5e-07,TRUE,0.0472,0,0.048,0.2,0.234,1,0.00995991967839099,0,0.0216794833886788,0.447213595499958,0.0206881608655772,0
4,10,0,FALSE,0,0,0.004,0,0.6324,1,0,0,0.00547722557505166,0,0.0248756909451778,0
4,10,0,TRUE,0.046,0,0.038,0.2,0.6324,1,0.0173781471969828,0,0.016431676725155,0.447213595499958,0.0248756909451778,0
4,10,5e-06,FALSE,0.0044,0,0.016,0,0.164,0.9984,0.003286335345031,0,0.00894427190999916,0,0.0128840987267251,0.00167332005306815
4,10,5e-06,TRUE,8e-04,0,0.034,0,0.164,0.9984,0.00178885438199983,0,0.0151657508881031,0,0.0128840987267251,0.00167332005306815
4,10,5e-07,FALSE,0,0,0.006,0,0.4824,1,0,0,0.00894427190999916,0,0.0206591384137868,0
4,10,5e-07,TRUE,0.0328,0,0.046,0,0.4824,1,0.00593295878967653,0,0.0304959013639538,0,0.0206591384137868,0
4,100,0,FALSE,0,0,0.004,0,0.6392,1,0,0,0.00894427190999916,0,0.012214745187682,0
4,100,0,TRUE,0.0456,0,0.064,0,0.6392,1,0.00973652915571047,0,0.0207364413533277,0,0.012214745187682,0
4,100,5e-06,FALSE,0.0172,0,0.026,0,0.156,1,0.00521536192416212,0,0.018165902124585,0,0.0146287388383278,0
4,100,5e-06,TRUE,0.0444,0,0.054,0,0.156,1,0.00384707681233427,0,0.0207364413533277,0,0.0146287388383278,0
4,100,5e-07,FALSE,4e-04,0,0.002,0,0.4956,1,0.000894427190999916,0,0.00447213595499958,0,0.0291341723754082,0
4,100,5e-07,TRUE,0.0496,0,0.038,0,0.4956,1,0.014993331851193,0,0.00836660026534076,0,0.0291341723754082,0
4,1000,0,FALSE,0,0,0,0,0.6256,1,0,0,0,0,0.0208518584303654,0
4,1000,0,TRUE,0.0468,0,0.052,0,0.6256,1,0.0110090871556183,0,0.0216794833886788,0,0.0208518584303654,0
4,1000,5e-06,FALSE,0.0148,0,0.024,0,0.164,1,0.00414728827066554,0,0.0151657508881031,0,0.0137113092008021,0
4,1000,5e-06,TRUE,0.0408,0,0.04,0,0.164,1,0.0114542568506211,0,0.0282842712474619,0,0.0137113092008021,0
4,1000,5e-07,FALSE,8e-04,0,0.008,0,0.48,1,0.00178885438199983,0,0.00447213595499958,0,0.0212602916254693,0
4,1000,5e-07,TRUE,0.044,0.2,0.044,0.2,0.48,1,0.00894427190999916,0.447213595499958,0.018165902124585,0.447213595499958,0.0212602916254693,0
6,10,0,FALSE,0.0028,0,0.004,0,0.6116,1,0.00109544511501033,0,0.00547722557505166,0,0.0235541928326997,0
6,10,0,TRUE,0.0444,0,0.048,0,0.6116,1,0.00572712842531054,0,0.0258843582110896,0,0.0235541928326997,0
6,10,5e-06,FALSE,0.0356,0,0.042,0,0.05,1,0.0100399203184089,0,0.0130384048104053,0,0.00824621125123532,0
6,10,5e-06,TRUE,0.0364,0,0.05,0,0.05,1,0.00684105255059483,0,0.0122474487139159,0,0.00824621125123532,0
