gene	gene_id	class	behavior	n_guides	theoretical_phenotype	active	expected_sign
GENE0001	1	increasing	linear	5	0.11509949233959721	true	1
GENE0002	2	inactive	linear	5	0.0	false	0
GENE0003	3	inactive	linear	5	0.0	false	0
GENE0004	4	inactive	sigmoidal	5	0.0	false	0
GENE0005	5	negcontrol	linear	5	0.0	false	0
GENE0006	6	inactive	linear	5	0.0	false	0
GENE0007	7	inactive	sigmoidal	5	0.0	false	0
GENE0008	8	inactive	linear	5	0.0	false	0
GENE0009	9	inactive	linear	5	0.0	false	0
GENE0010	10	inactive	linear	5	0.0	false	0
GENE0011	11	inactive	linear	5	0.0	false	0
GENE0012	12	inactive	linear	5	0.0	false	0
GENE0013	13	increasing	sigmoidal	5	0.7663589551059186	true	1
GENE0014	14	inactive	linear	5	0.0	false	0
GENE0015	15	inactive	linear	5	0.0	false	0
GENE0016	16	increasing	sigmoidal	5	0.7902645527089208	true	1
GENE0017	17	decreasing	linear	5	-0.37021846531264735	true	-1
GENE0018	18	decreasing	linear	5	-0.42825323185676184	true	-1
GENE0019	19	decreasing	linear	5	-0.47664659141040383	true	-1
GENE0020	20	inactive	linear	5	0.0	false	0
GENE0021	21	inactive	sigmoidal	5	0.0	false	0
GENE0022	22	inactive	linear	5	0.0	false	0
GENE0023	23	negcontrol	linear	5	0.0	false	0
GENE0024	24	inactive	linear	5	0.0	false	0
GENE0025	25	negcontrol	sigmoidal	5	0.0	false	0
GENE0026	26	inactive	linear	5	0.0	false	0
GENE0027	27	inactive	linear	5	0.0	false	0
GENE0028	28	inactive	linear	5	0.0	false	0
GENE0029	29	inactive	linear	5	0.0	false	0
GENE0030	30	inactive	linear	5	0.0	false	0
GENE0031	31	decreasing	sigmoidal	5	-0.8069093205350519	true	-1
GENE0032	32	decreasing	linear	5	-0.619781475626329	true	-1
GENE0033	33	inactive	sigmoidal	5	0.0	false	0
GENE0034	34	increasing	linear	5	0.33625448301613126	true	1
GENE0035	35	inactive	linear	5	0.0	false	0
GENE0036	36	inactive	linear	5	0.0	false	0
GENE0037	37	inactive	linear	5	0.0	false	0
GENE0038	38	inactive	linear	5	0.0	false	0
GENE0039	39	inactive	sigmoidal	5	0.0	false	0
GENE0040	40	inactive	linear	5	0.0	false	0
GENE0041	41	inactive	linear	5	0.0	false	0
GENE0042	42	decreasing	linear	5	-0.2955448382281826	true	-1
GENE0043	43	increasing	sigmoidal	5	0.7252212894892126	true	1
GENE0044	44	inactive	linear	5	0.0	false	0
GENE0045	45	inactive	linear	5	0.0	false	0
GENE0046	46	inactive	linear	5	0.0	false	0
GENE0047	47	inactive	sigmoidal	5	0.0	false	0
GENE0048	48	inactive	sigmoidal	5	0.0	false	0
GENE0049	49	inactive	sigmoidal	5	0.0	false	0
GENE0050	50	inactive	linear	5	0.0	false	0
GENE0051	51	inactive	linear	5	0.0	false	0
GENE0052	52	inactive	linear	5	0.0	false	0
GENE0053	53	inactive	linear	5	0.0	false	0
