"scenario_id","seed","method","moi","high_quality_guide_fraction","genes","is_baseline","effect_spearman","significance_spearman"
"moi_0.25_quality_0.9_genes_400",20250724,"BARCS",0.25,0.9,400,TRUE,0.999576997356233,0.977965612285077
"moi_0.25_quality_0.9_genes_400",20250724,"MAGeCK-MLE",0.25,0.9,400,TRUE,0.999889936812105,0.998067237920237
"moi_0.25_quality_0.9_genes_400",20250725,"BARCS",0.25,0.9,400,TRUE,0.999049181557385,0.975424408902556
"moi_0.25_quality_0.9_genes_400",20250725,"MAGeCK-MLE",0.25,0.9,400,TRUE,0.999845311533197,0.998244988866653
"moi_0.25_quality_0.9_genes_400",20250726,"BARCS",0.25,0.9,400,TRUE,0.998615303845649,0.977891924324527
"moi_0.25_quality_0.9_genes_400",20250726,"MAGeCK-MLE",0.25,0.9,400,TRUE,0.999879624247651,0.998286426790167
"moi_0.25_quality_0.9_genes_400",20250727,"BARCS",0.25,0.9,400,TRUE,0.999457746610916,0.97914236963981
"moi_0.25_quality_0.9_genes_400",20250727,"MAGeCK-MLE",0.25,0.9,400,TRUE,0.999874936718354,0.997389607950877
"moi_0.25_quality_0.9_genes_400",20250728,"BARCS",0.25,0.9,400,TRUE,0.995826036412727,0.973942024637654
"moi_0.25_quality_0.9_genes_400",20250728,"MAGeCK-MLE",0.25,0.9,400,TRUE,0.999839311495697,0.99656141600885
