"analysis_protocol","method","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","genes_simulated","replicates","is_baseline"
"barcs-external-headtohead-v1","BARCS-original",400,79,0.961394376749872,0.922502304975492,0.943670886075949,1,59,0.69620253164557,0.0677966101694915,0.797101449275362,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-partial",400,79,0.94029733033637,0.878273201109185,0.92738558909445,1,47,0.556962025316456,0.0638297872340425,0.698412698412698,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-EB",400,79,0.957727039709768,0.916588313951218,0.926898734177215,1,45,0.569620253164557,0,0.725806451612903,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,79,0.961039473165346,0.904984553135197,0.93356864654333,1,58,0.670886075949367,0.0862068965517241,0.773722627737226,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","edgeR-QL",400,79,0.964588509010608,0.930704935073662,0.942770204479065,1,94,0.89873417721519,0.24468085106383,0.820809248554913,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","DESeq2",400,79,0.96245908750345,0.929733961848893,0.936124634858812,1,96,0.911392405063291,0.25,0.822857142857143,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","limma-voom",400,79,0.96470681020545,0.929968164982354,0.935564751703992,1,92,0.89873417721519,0.228260869565217,0.830409356725146,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-original",400,60,0.947549019607843,0.881906303969296,0.919699916643512,0.983333333333333,40,0.65,0.025,0.78,0.1,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-partial",400,60,0.914705882352941,0.753384125173428,0.937704918032787,1,13,0.216666666666667,0,0.356164383561644,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","BARCS-EB",400,60,0.939019607843137,0.852510171974433,0.935093081411503,1,27,0.45,0,0.620689655172414,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,60,0.969044117647059,0.906543792790293,0.936649069185885,1,44,0.7,0.0454545454545455,0.807692307692308,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","edgeR-QL",400,60,0.966764705882353,0.908048667002621,0.919422061683801,0.983333333333333,76,0.866666666666667,0.31578947368421,0.764705882352941,0.2,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","DESeq2",400,60,0.961960784313725,0.907527877906536,0.918477354820784,0.983333333333333,76,0.866666666666667,0.31578947368421,0.764705882352941,0.25,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"barcs-external-headtohead-v1","limma-voom",400,60,0.966666666666667,0.906199687212615,0.933425951653237,1,74,0.866666666666667,0.297297297297297,0.776119402985075,0.2,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
