"analysis_protocol","scope","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-original","auroc",45,-0.0520234374103842,0.0215198969520801,-0.0584887302009738,-0.0455581446197945
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-original","average_precision",45,-0.153271987783147,0.0556146727426374,-0.169980485204609,-0.136563490361684
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-original","directional_recall_fdr_0_10",45,-0.533622430936692,0.115086830814592,-0.568198342671505,-0.499046519201878
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-original","empirical_fdp_fdr_0_10",45,-0.0290632685759111,0.105302681596297,-0.0606996964672858,0.00257315931546366
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-original","f1_fdr_0_10",45,-0.507795226156442,0.131487120379108,-0.547298330345808,-0.468292121967076
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-original","negative_control_p_below_0_05",45,-0.0120742900621193,0.0708557903564361,-0.0333617261303816,0.00921314600614307
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-original","auroc",45,-0.0333598469225082,0.0186612446622363,-0.0389663054871959,-0.0277533883578205
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-original","average_precision",45,-0.0775914016555676,0.0420887185025616,-0.0902362525535858,-0.0649465507575494
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-original","directional_recall_fdr_0_10",45,-0.289848404438424,0.112716641325081,-0.323712232418701,-0.255984576458147
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-original","empirical_fdp_fdr_0_10",45,-0.0469243695694403,0.0699606973632244,-0.0679428899319813,-0.0259058492068993
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-original","f1_fdr_0_10",45,-0.221235037774604,0.108249918122749,-0.253756913542846,-0.188713162006361
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-original","negative_control_p_below_0_05",45,-0.0459133702763638,0.0593089880262818,-0.0637317628810005,-0.0280949776717271
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-EB","BARCS-original","auroc",45,-0.00901796620156855,0.00979397406503574,-0.0119604017557396,-0.0060755306473975
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-EB","BARCS-original","average_precision",45,-0.0167206781919966,0.0188606853867706,-0.0223870553836811,-0.0110543010003121
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-EB","BARCS-original","directional_recall_fdr_0_10",45,-0.20730178283335,0.0984543983496332,-0.236880758665305,-0.177722807001396
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-EB","BARCS-original","empirical_fdp_fdr_0_10",45,-0.0802510065640552,0.0487185695766585,-0.0948876852318573,-0.065614327896253
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-EB","BARCS-original","f1_fdr_0_10",45,-0.136733829293696,0.0990573065010768,-0.166493938786913,-0.10697371980048
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-EB","BARCS-original","negative_control_p_below_0_05",45,-0.0474470472810553,0.0657082464367949,-0.0671879899498833,-0.0277061046122274
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-original","auroc",45,0.00558069487179051,0.01115061411662,0.0022306795246277,0.00893071021895333
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-original","average_precision",45,0.00219646159008181,0.0212390099860972,-0.00418444341369904,0.00857736659386267
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-original","directional_recall_fdr_0_10",45,-0.0582507881875135,0.0819642045840208,-0.0828755613527151,-0.0336260150223119
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-original","empirical_fdp_fdr_0_10",45,-0.0299371426486303,0.0586787870708038,-0.0475662019259213,-0.0123080833713393
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-original","f1_fdr_0_10",45,-0.0241246415470279,0.0540969159400425,-0.0403771543447941,-0.00787212874926169
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-original","negative_control_p_below_0_05",45,-0.0211026631683083,0.0598269064609443,-0.0390766556965503,-0.00312867064006635
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-original","auroc",45,0.00899821936985986,0.00792263242355441,0.00661799708512689,0.0113784416545928
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-original","average_precision",45,0.0169662295488435,0.0127179175864057,0.0131453441112506,0.0207871149864363
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-original","directional_recall_fdr_0_10",45,0.126192119984885,0.0930418603618758,0.098239250584061,0.154144989385709
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-original","empirical_fdp_fdr_0_10",45,0.155473507699628,0.0698559609996207,0.134486453624218,0.176460561775038
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-original","f1_fdr_0_10",45,0.00752232237087216,0.0757494225273784,-0.0152353235624766,0.0302799683042209
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-original","negative_control_p_below_0_05",45,0.0673944009767762,0.0669875845390106,0.0472691025915895,0.0875196993619628
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-original","auroc",45,0.00793959418290708,0.00696739420284451,0.00584635723065055,0.0100328311351636
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-original","average_precision",45,0.0170670496698763,0.0130536556303632,0.0131452973573185,0.0209888019824342
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-original","directional_recall_fdr_0_10",45,0.128023143966749,0.0939025533401164,0.0998116937688363,0.156234594164661
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-original","empirical_fdp_fdr_0_10",45,0.148442082277156,0.0769841519287234,0.125313482564864,0.171570681989448
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-original","f1_fdr_0_10",45,0.0126474039077442,0.0748139575924318,-0.00982919724582578,0.0351240050613141
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-original","negative_control_p_below_0_05",45,0.0612285419749141,0.0789320720559929,0.0375147222690727,0.0849423616807556
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","auroc",45,0.00876447430695533,0.00837080405818342,0.00624960635710761,0.0112793422568031
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","average_precision",45,0.01633207874797,0.012879851796666,0.0124625428877251,0.0202016146082149
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","directional_recall_fdr_0_10",45,0.118622212309385,0.08577798111287,0.0928516538296999,0.14439277078907
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","empirical_fdp_fdr_0_10",45,0.135086079700735,0.0649874527675865,0.115561687423547,0.154610471977922
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","f1_fdr_0_10",45,0.0143379767386902,0.0745493102325866,-0.0080591155458798,0.0367350690232602
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","negative_control_p_below_0_05",45,0.0586005383403516,0.0672673627387735,0.0383911852786058,0.0788098914020973
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","auroc",45,0.00901796620156855,0.00979397406503574,0.0060755306473975,0.0119604017557396
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","average_precision",45,0.0167206781919966,0.0188606853867706,0.0110543010003121,0.0223870553836811
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","directional_recall_fdr_0_10",45,0.20730178283335,0.0984543983496332,0.177722807001396,0.236880758665305
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","empirical_fdp_fdr_0_10",45,0.0802510065640552,0.0487185695766585,0.065614327896253,0.0948876852318573
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","f1_fdr_0_10",45,0.136733829293696,0.0990573065010768,0.10697371980048,0.166493938786913
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","negative_control_p_below_0_05",45,0.0474470472810553,0.0657082464367949,0.0277061046122274,0.0671879899498833
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-EB","auroc",45,-0.0430054712088156,0.0180186044134667,-0.0484188592687251,-0.0375920831489061
