"analysis_protocol","scenario_id","seed","method","result_source","result_path","result_md5","count_path","count_md5","truth_path","truth_md5","design_path","design_md5","barcs_max_effect_difference","barcs_max_p_difference","barcs_max_fdr_difference"
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250724,"BARCS-original","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/analysis_three_methods/low_bulk_high_original_gene_results.csv","e47eecef8e4d9def35c153249b9a0ed9","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/counts.tsv","e586cf795b0f742fa2948d51958b4080","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/gene_truth.tsv","e3f5f7157210b23a3522994a9dfefb50","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250724,"BARCS-partial","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/analysis_three_methods/low_bulk_high_partial_gene_results.csv","8d577911bdd4a4b3e8e42fcd71dd0db9","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/counts.tsv","e586cf795b0f742fa2948d51958b4080","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/gene_truth.tsv","e3f5f7157210b23a3522994a9dfefb50","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250724,"BARCS-EB","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/analysis_three_methods/low_bulk_high_eb_gene_results.csv","e721512aca90e72f3695902871031769","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/counts.tsv","e586cf795b0f742fa2948d51958b4080","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/gene_truth.tsv","e3f5f7157210b23a3522994a9dfefb50","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250724,"MAGeCK-MLE","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/analysis/mageck_mle_low_bulk_high_gene_results.csv","42e3614487e53af17a23777a7698ce28","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/counts.tsv","e586cf795b0f742fa2948d51958b4080","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/gene_truth.tsv","e3f5f7157210b23a3522994a9dfefb50","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250724,"edgeR-QL","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/analysis/edger_ql_low_bulk_high_gene_results.csv","0162a26c809fdd8428c0099bcd6661f3","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/counts.tsv","e586cf795b0f742fa2948d51958b4080","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/gene_truth.tsv","e3f5f7157210b23a3522994a9dfefb50","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250724,"DESeq2","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/analysis/deseq2_low_bulk_high_gene_results.csv","dac991556868cccb7ba1ab9e133fc17c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/counts.tsv","e586cf795b0f742fa2948d51958b4080","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/gene_truth.tsv","e3f5f7157210b23a3522994a9dfefb50","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250724,"limma-voom","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/analysis/limma_voom_low_bulk_high_gene_results.csv","ba949936a8f33527a95eb09af5dc304d","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/counts.tsv","e586cf795b0f742fa2948d51958b4080","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/gene_truth.tsv","e3f5f7157210b23a3522994a9dfefb50","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250724/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250725,"BARCS-original","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/analysis_three_methods/low_bulk_high_original_gene_results.csv","2cb22e336973c4edffb81b07f6b15603","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/counts.tsv","548ddd14b1d90928f64acd19d072374f","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/gene_truth.tsv","4ef0dd1fb2040099ebb9c600e4ff2420","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250725,"BARCS-partial","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/analysis_three_methods/low_bulk_high_partial_gene_results.csv","d105a6615d5e968e957d88b3a28dd1d9","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/counts.tsv","548ddd14b1d90928f64acd19d072374f","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/gene_truth.tsv","4ef0dd1fb2040099ebb9c600e4ff2420","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250725,"BARCS-EB","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/analysis_three_methods/low_bulk_high_eb_gene_results.csv","fc27a7988d425b375368940682a9d981","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/counts.tsv","548ddd14b1d90928f64acd19d072374f","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/gene_truth.tsv","4ef0dd1fb2040099ebb9c600e4ff2420","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250725,"MAGeCK-MLE","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/analysis/mageck_mle_low_bulk_high_gene_results.csv","1db7427d3280d276ca0e3ff831656812","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/counts.tsv","548ddd14b1d90928f64acd19d072374f","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/gene_truth.tsv","4ef0dd1fb2040099ebb9c600e4ff2420","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250725,"edgeR-QL","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/analysis/edger_ql_low_bulk_high_gene_results.csv","93807fc50cec960ec1971a92e90fdc9d","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/counts.tsv","548ddd14b1d90928f64acd19d072374f","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/gene_truth.tsv","4ef0dd1fb2040099ebb9c600e4ff2420","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250725,"DESeq2","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/analysis/deseq2_low_bulk_high_gene_results.csv","a7a8acf968bec0595f1fbfbc05629e01","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/counts.tsv","548ddd14b1d90928f64acd19d072374f","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/gene_truth.tsv","4ef0dd1fb2040099ebb9c600e4ff2420","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250725,"limma-voom","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/analysis/limma_voom_low_bulk_high_gene_results.csv","73fc71ea20fcadef9295ed07fdab75d8","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/counts.tsv","548ddd14b1d90928f64acd19d072374f","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/gene_truth.tsv","4ef0dd1fb2040099ebb9c600e4ff2420","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250725/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250726,"BARCS-original","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/analysis_three_methods/low_bulk_high_original_gene_results.csv","9136167aaa458e6582e712f4f0a78896","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/counts.tsv","62372e5631f4ba2bd00467b7aa4b587c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/gene_truth.tsv","b96f59e42708dcb79803e0db52bc930c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250726,"BARCS-partial","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/analysis_three_methods/low_bulk_high_partial_gene_results.csv","7289e7db15c721acb27aedb106b9b02e","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/counts.tsv","62372e5631f4ba2bd00467b7aa4b587c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/gene_truth.tsv","b96f59e42708dcb79803e0db52bc930c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250726,"BARCS-EB","current three-method run","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/analysis_three_methods/low_bulk_high_eb_gene_results.csv","2fbe3ec55896f9ba260f945738ccbd41","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/counts.tsv","62372e5631f4ba2bd00467b7aa4b587c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/gene_truth.tsv","b96f59e42708dcb79803e0db52bc930c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250726,"MAGeCK-MLE","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/analysis/mageck_mle_low_bulk_high_gene_results.csv","ec84a21c1788d91d0110c943835ebbef","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/counts.tsv","62372e5631f4ba2bd00467b7aa4b587c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/gene_truth.tsv","b96f59e42708dcb79803e0db52bc930c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250726,"edgeR-QL","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/analysis/edger_ql_low_bulk_high_gene_results.csv","91bf01f1342df36376cda9881f8ece9e","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/counts.tsv","62372e5631f4ba2bd00467b7aa4b587c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/gene_truth.tsv","b96f59e42708dcb79803e0db52bc930c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250726,"DESeq2","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/analysis/deseq2_low_bulk_high_gene_results.csv","1be8ca094f1049192f71015fb98a51de","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/counts.tsv","62372e5631f4ba2bd00467b7aa4b587c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/gene_truth.tsv","b96f59e42708dcb79803e0db52bc930c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
"barcs-external-headtohead-v1","moi_0.25_quality_0.9_genes_400_replicates_4",20250726,"limma-voom","verified stored external fit","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/analysis/limma_voom_low_bulk_high_gene_results.csv","45a3e3321ac2fbf7be11fe4fd5ad28a0","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/counts.tsv","62372e5631f4ba2bd00467b7aa4b587c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/gene_truth.tsv","b96f59e42708dcb79803e0db52bc930c","results/crispulator_facs/repeated/moi_0.25_quality_0.9/seed_20250726/data/sample_design.tsv","259f4c270ceb3c9eb5838c111c405bec",0,0,0
