"analysis_protocol","scope","method","metric","runs","mean","sd","se","minimum","maximum"
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","auroc",45,0.931910907882004,0.04202352730647,0.00626449758077237,0.771881644223955,0.973970588235294
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","average_precision",45,0.880335329693322,0.077095249151651,0.0114926811896916,0.577464532696863,0.959299719852224
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","directional_recall_fdr_0_10",45,0.709034190313838,0.169255755001644,0.0252311582511151,0.230769230769231,0.911111111111111
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","empirical_fdp_fdr_0_10",45,0.0943688045845231,0.0633450961561308,0.00944292940309127,0,0.3
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","f1_fdr_0_10",45,0.77996885904334,0.126249196895394,0.0188201190908571,0.375,0.906077348066298
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","negative_control_p_below_0_05",45,0.0603246762703093,0.0615832246842138,0.00918028511116967,0,0.285714285714286
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","auroc",45,0.87988747047162,0.0579701725723503,0.00864168310261127,0.691486534372785,0.949404761904762
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","average_precision",45,0.727063341910175,0.117134257244541,0.0174613441128494,0.416402042801383,0.885775710965478
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","directional_recall_fdr_0_10",45,0.175411759377146,0.135791442055914,0.0202425930133164,0,0.5
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","empirical_fdp_fdr_0_10",45,0.0653055360086121,0.103347397752973,0.0154061204448904,0,0.5
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","f1_fdr_0_10",45,0.272173632886898,0.189344567493204,0.0282258216056735,0,0.662337662337662
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","negative_control_p_below_0_05",45,0.0482503862081901,0.0499002208134576,0.00743868572207607,0,0.25
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","auroc",45,0.898551060959496,0.0557603585248416,0.00831226347408704,0.704819277108434,0.955124413423242
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","average_precision",45,0.802743928037754,0.110883699473214,0.0165295659745842,0.4490655348563,0.918562151220477
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","directional_recall_fdr_0_10",45,0.419185785875414,0.172894051183367,0.0257735234234224,0.0641025641025641,0.755555555555556
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","empirical_fdp_fdr_0_10",45,0.0474444350150829,0.0474254136837398,0.00706976325719273,0,0.2
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","f1_fdr_0_10",45,0.558733821268736,0.180371787615398,0.0268882385554123,0.119047619047619,0.829268292682927
