"analysis_protocol","method","nominal_fdr","genes","active_genes","calls","true_positive","false_positive","true_negative","false_negative","precision","recall","directional_recall","f1","realized_fdp","specificity","balanced_accuracy","scenario_id","seed","moi","high_quality_guide_fraction","genes_simulated","replicates","is_baseline"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.1,400,79,59,55,4,317,24,0.932203389830508,0.69620253164557,0.69620253164557,0.797101449275362,0.0677966101694915,0.987538940809969,0.841870736227769,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.05,400,79,53,52,1,320,27,0.981132075471698,0.658227848101266,0.658227848101266,0.787878787878788,0.0188679245283019,0.996884735202492,0.827556291651879,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.01,400,79,49,48,1,320,31,0.979591836734694,0.607594936708861,0.607594936708861,0.75,0.0204081632653061,0.996884735202492,0.802239835955676,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.005,400,79,44,44,0,321,35,1,0.556962025316456,0.556962025316456,0.715447154471545,0,1,0.778481012658228,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.001,400,79,35,35,0,321,44,1,0.443037974683544,0.443037974683544,0.614035087719298,0,1,0.721518987341772,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.1,400,79,19,19,0,321,60,1,0.240506329113924,0.240506329113924,0.387755102040816,0,1,0.620253164556962,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.05,400,79,10,10,0,321,69,1,0.126582278481013,0.126582278481013,0.224719101123596,0,1,0.563291139240506,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.01,400,79,0,0,0,321,79,0,0,0,0,0,1,0.5,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.005,400,79,0,0,0,321,79,0,0,0,0,0,1,0.5,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.001,400,79,0,0,0,321,79,0,0,0,0,0,1,0.5,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.1,400,79,47,44,3,318,35,0.936170212765957,0.556962025316456,0.556962025316456,0.698412698412698,0.0638297872340425,0.990654205607477,0.773808115461966,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.05,400,79,38,37,1,320,42,0.973684210526316,0.468354430379747,0.468354430379747,0.632478632478632,0.0263157894736842,0.996884735202492,0.73261958279112,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.01,400,79,25,25,0,321,54,1,0.316455696202532,0.316455696202532,0.480769230769231,0,1,0.658227848101266,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.005,400,79,23,23,0,321,56,1,0.291139240506329,0.291139240506329,0.450980392156863,0,1,0.645569620253165,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.001,400,79,21,21,0,321,58,1,0.265822784810127,0.265822784810127,0.42,0,1,0.632911392405063,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.1,400,79,45,45,0,321,34,1,0.569620253164557,0.569620253164557,0.725806451612903,0,1,0.784810126582278,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.05,400,79,44,44,0,321,35,1,0.556962025316456,0.556962025316456,0.715447154471545,0,1,0.778481012658228,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.01,400,79,32,32,0,321,47,1,0.40506329113924,0.40506329113924,0.576576576576577,0,1,0.70253164556962,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.005,400,79,26,26,0,321,53,1,0.329113924050633,0.329113924050633,0.495238095238095,0,1,0.664556962025316,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.001,400,79,15,15,0,321,64,1,0.189873417721519,0.189873417721519,0.319148936170213,0,1,0.59493670886076,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.1,400,79,58,53,5,316,26,0.913793103448276,0.670886075949367,0.670886075949367,0.773722627737226,0.0862068965517241,0.984423676012461,0.827654875980914,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.05,400,79,49,48,1,320,31,0.979591836734694,0.607594936708861,0.607594936708861,0.75,0.0204081632653061,0.996884735202492,0.802239835955676,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.01,400,79,35,34,1,320,45,0.971428571428571,0.430379746835443,0.430379746835443,0.596491228070175,0.0285714285714286,0.996884735202492,0.713632241018968,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.005,400,79,31,30,1,320,49,0.967741935483871,0.379746835443038,0.379746835443038,0.545454545454546,0.032258064516129,0.996884735202492,0.688315785322765,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.001,400,79,15,15,0,321,64,1,0.189873417721519,0.189873417721519,0.319148936170213,0,1,0.59493670886076,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.1,400,79,94,71,23,298,8,0.75531914893617,0.89873417721519,0.89873417721519,0.820809248554913,0.24468085106383,0.928348909657321,0.913541543436255,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.05,400,79,84,69,15,306,10,0.821428571428571,0.873417721518987,0.873417721518987,0.846625766871166,0.178571428571429,0.953271028037383,0.913344374778185,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.01,400,79,62,59,3,318,20,0.951612903225806,0.746835443037975,0.746835443037975,0.836879432624113,0.0483870967741935,0.990654205607477,0.868744824322726,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.005,400,79,56,54,2,319,25,0.964285714285714,0.683544303797468,0.683544303797468,0.8,0.0357142857142857,0.993769470404984,0.838656887101226,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","edgeR-QL",0.001,400,79,54,53,1,320,26,0.981481481481482,0.670886075949367,0.670886075949367,0.796992481203008,0.0185185185185185,0.996884735202492,0.83388540557593,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","DESeq2",0.1,400,79,96,72,24,297,7,0.75,0.911392405063291,0.911392405063291,0.822857142857143,0.25,0.925233644859813,0.918313024961552,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","DESeq2",0.05,400,79,86,70,16,305,9,0.813953488372093,0.886075949367089,0.886075949367089,0.848484848484849,0.186046511627907,0.950155763239875,0.918115856303482,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
