"analysis_protocol","replicates","method","nominal_fdr","runs","precision_mean","precision_sd","precision_se","recall_mean","recall_sd","recall_se","directional_recall_mean","directional_recall_sd","directional_recall_se","f1_mean","f1_sd","f1_se","realized_fdp_mean","realized_fdp_sd","realized_fdp_se","specificity_mean","specificity_sd","specificity_se","balanced_accuracy_mean","balanced_accuracy_sd","balanced_accuracy_se","calls_mean","calls_sd","calls_se"
"crispulator-f1-threshold-curves-v1",1,"BARCS-EB",0.001,5,0.4,0.547722557505166,0.244948974278318,0.00955572102258625,0.0164441056849128,0.00735402762813117,0.00955572102258625,0.0164441056849128,0.00735402762813117,0.0185176414870945,0.0316878490553353,0.0141712369096965,0,0,0,1,0,0,0.504777860511293,0.00822205284245642,0.00367701381406558,0.8,1.30384048104053,0.58309518948453
"crispulator-f1-threshold-curves-v1",1,"BARCS-EB",0.005,5,0.4,0.547722557505166,0.244948974278318,0.017150657731447,0.0331424875959004,0.0148217710415754,0.017150657731447,0.0331424875959004,0.0148217710415754,0.0321187892632781,0.061542162565005,0.0275224917955388,0,0,0,1,0,0,0.508575328865724,0.0165712437979502,0.00741088552078769,1.4,2.60768096208106,1.16619037896906
"crispulator-f1-threshold-curves-v1",1,"BARCS-EB",0.01,5,0.4,0.547722557505166,0.244948974278318,0.0196823033010673,0.0387635700188194,0.0173355955225306,0.0196823033010673,0.0387635700188194,0.0173355955225306,0.0364416346805148,0.0711299619043146,0.0318102860110035,0,0,0,1,0,0,0.509841151650534,0.0193817850094097,0.0086677977612653,1.6,3.04959013639538,1.36381816969859
"crispulator-f1-threshold-curves-v1",1,"BARCS-EB",0.05,5,0.8,0.447213595499958,0.2,0.0482051863122795,0.073144120844544,0.032711045272572,0.0482051863122795,0.073144120844544,0.032711045272572,0.0851116625310174,0.123014678044145,0.055013836467392,0,0,0,1,0,0,0.52410259315614,0.036572060422272,0.016355522636286,3.8,5.76194411635517,2.57681974534502
"crispulator-f1-threshold-curves-v1",1,"BARCS-EB",0.1,5,1,0,0,0.117285369477088,0.0882748349978552,0.0394777063515564,0.117285369477088,0.0882748349978552,0.0394777063515564,0.201376722692512,0.135777278517816,0.0607214449131517,0,0,0,1,0,0,0.558642684738544,0.0441374174989276,0.0197388531757782,9.8,7.15541752799933,3.2
"crispulator-f1-threshold-curves-v1",1,"BARCS-NORM",0.001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"crispulator-f1-threshold-curves-v1",1,"BARCS-NORM",0.005,5,0.2,0.447213595499958,0.2,0.00392156862745098,0.00876889402941094,0.00392156862745098,0.00392156862745098,0.00876889402941094,0.00392156862745098,0.00769230769230769,0.0172005229038445,0.00769230769230769,0,0,0,1,0,0,0.501960784313725,0.00438444701470545,0.00196078431372548,0.4,0.894427190999916,0.4
"crispulator-f1-threshold-curves-v1",1,"BARCS-NORM",0.01,5,0.2,0.447213595499958,0.2,0.00392156862745098,0.00876889402941094,0.00392156862745098,0.00392156862745098,0.00876889402941094,0.00392156862745098,0.00769230769230769,0.0172005229038445,0.00769230769230769,0,0,0,1,0,0,0.501960784313725,0.00438444701470545,0.00196078431372548,0.4,0.894427190999916,0.4
"crispulator-f1-threshold-curves-v1",1,"BARCS-NORM",0.05,5,0.4,0.547722557505166,0.244948974278318,0.00725490196078431,0.00998845931525492,0.0044669748038802,0.00725490196078431,0.00998845931525492,0.0044669748038802,0.014249684741488,0.0196150593218408,0.00877212120526541,0,0,0,1,0,0,0.503627450980392,0.00499422965762744,0.00223348740194009,0.6,0.894427190999916,0.4
"crispulator-f1-threshold-curves-v1",1,"BARCS-NORM",0.1,5,0.4,0.547722557505166,0.244948974278318,0.00725490196078431,0.00998845931525492,0.0044669748038802,0.00725490196078431,0.00998845931525492,0.0044669748038802,0.014249684741488,0.0196150593218408,0.00877212120526541,0,0,0,1,0,0,0.503627450980392,0.00499422965762744,0.00223348740194009,0.6,0.894427190999916,0.4
