"analysis_protocol","method","nominal_fdr","runs","precision_mean","precision_sd","precision_se","recall_mean","recall_sd","recall_se","directional_recall_mean","directional_recall_sd","directional_recall_se","f1_mean","f1_sd","f1_se","realized_fdp_mean","realized_fdp_sd","realized_fdp_se","specificity_mean","specificity_sd","specificity_se","balanced_accuracy_mean","balanced_accuracy_sd","balanced_accuracy_se","calls_mean","calls_sd","calls_se","scope"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.001,45,0.977777777777778,0.149071198499986,0.0222222222222222,0.167155992568282,0.119163683249382,0.0177638730796581,0.167155992568282,0.119163683249382,0.0177638730796581,0.269896137653042,0.166673666825533,0.0248462432720695,0,0,0,1,0,0,0.583577996284141,0.059581841624691,0.00888193653982904,15.1555555555556,12.1785122907587,1.81546542313021,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.005,45,0.998148148148148,0.0124225998749988,0.00185185185185185,0.251652607018038,0.15244584488621,0.0227252848035303,0.251652607018038,0.15244584488621,0.0227252848035303,0.379070573804955,0.188969789311554,0.0281699529729632,0.00185185185185185,0.0124225998749988,0.00185185185185185,0.999732262382865,0.00179603853614437,0.000267737617135201,0.625692434700451,0.0758722925221184,0.0113103735792137,22.7555555555556,16.7632655144238,2.49892008100864,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.01,45,0.997181964573269,0.0138805325150848,0.00206918761784171,0.289246252509971,0.166093925375414,0.0247598205192801,0.289246252509971,0.166093925375414,0.0247598205192801,0.422782332989312,0.200585323374563,0.0299014945569533,0.00281803542673108,0.0138805325150848,0.00206918761784172,0.999666902905741,0.00183907432706808,0.000274153014066594,0.644456577707856,0.0827409656816385,0.0123342949192081,26.3111111111111,19.1522870960651,2.85505439142624,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.05,45,0.995786596674919,0.0126328935201042,0.00188320057756464,0.429167515067465,0.174586783933904,0.0260258611232851,0.429167515067465,0.174586783933904,0.0260258611232851,0.577348862067558,0.185014685823216,0.0275803609557652,0.00421340332508063,0.0126328935201043,0.00188320057756465,0.999398176600525,0.00197312794231825,0.000294136547155193,0.714282845833995,0.0869455483704952,0.0129610770998282,38.8222222222222,26.2611784760223,3.91478534944267,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.1,45,0.985882201979532,0.0341625440274358,0.0050926513819784,0.501732407480487,0.180751461827132,0.026944837045195,0.501732407480487,0.180751461827132,0.026944837045195,0.643235029749644,0.180939051847345,0.0269728013143348,0.014117798020468,0.0341625440274358,0.0050926513819784,0.998080016026066,0.00545884498789101,0.000813756564770555,0.749906211753277,0.0897493726818831,0.0133790465503102,46.1333333333333,31.140882220235,4.64220863491733,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.001,45,0.0222222222222222,0.149071198499986,0.0222222222222222,0.000435729847494553,0.00292296467647031,0.000435729847494553,0.000435729847494553,0.00292296467647031,0.000435729847494553,0.000854700854700856,0.00573350763461485,0.000854700854700855,0,0,0,1,0,0,0.500217864923747,0.00146148233823509,0.000217864923747266,0.0444444444444444,0.298142396999972,0.0444444444444444,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.005,45,0.133333333333333,0.343775825476164,0.0512470743190538,0.00205984857171648,0.00604184291606705,0.000900664764646765,0.00205984857171648,0.00604184291606705,0.000900664764646765,0.00404158076289224,0.0118141853079156,0.0017611547631519,0,0,0,1,0,0,0.501029924285858,0.00302092145803349,0.000450332382323377,0.2,0.587753813645259,0.0876171654230361,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.01,45,0.222222222222222,0.420437482591261,0.0626751194241962,0.00338345692004776,0.00774331606841147,0.0011543054066823,0.00338345692004776,0.00774331606841147,0.0011543054066823,0.00663021864870125,0.0150922177878939,0.00224981499366416,0,0,0,1,0,0,0.501691728460024,0.00387165803420575,0.000577152703341151,0.333333333333333,0.738548945875996,0.110096376512636,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.05,45,0.663174563715293,0.456555168540173,0.0680592261556467,0.0694528697371503,0.0843774235715743,0.0125782436581555,0.0694528697371503,0.0843774235715743,0.0125782436581555,0.118198699372601,0.134577903163058,0.0200616893161322,0.0257143251735955,0.0749290611374044,0.0111697649462316,0.998820509874559,0.00385853425474385,0.000575196325807916,0.534136689805854,0.0414023180544863,0.00617189317305988,6.04444444444444,7.74290160421307,1.15424362200751,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.1,45,0.823583352880277,0.311205106573989,0.0463917182163004,0.175411759377146,0.135791442055914,0.0202425930133164,0.175411759377146,0.135791442055914,0.0202425930133164,0.272173632886898,0.189344567493204,0.0282258216056735,0.0653055360086121,0.103347397752973,0.0154061204448904,0.996136174046866,0.00500715359655518,0.000746422387711996,0.585773966712006,0.0665181718703413,0.00991594360273983,17.3333333333333,15.3311922088745,2.28543919701057,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.001,45,1,0,0,0.342246936820025,0.185369570734072,0.0276332640747561,0.342246936820025,0.185369570734072,0.0276332640747561,0.481537275875582,0.212141387670661,0.0316241709115156,0,0,0,1,0,0,0.671123468410013,0.0926847853670362,0.0138166320373781,30.6222222222222,21.5314662855097,3.20972148464297,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.005,45,0.995934922777028,0.0159471740967119,0.00237726435528477,0.460667773087931,0.191529953778251,0.0285515997583708,0.460667773087931,0.191529953778251,0.0285515997583708,0.604842118399857,0.19325520720072,0.0288087853537744,0.00406507722297196,0.0159471740967119,0.00237726435528477,0.999296940806604,0.00266876063215075,0.000397835345944292,0.729982356947267,0.0954647840843236,0.0142310497779925,41.6888888888889,27.2470367214677,4.06174841964232,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.01,45,0.990575324466298,0.0182916066052711,0.00272675171913802,0.523996648404156,0.186552569033182,0.0278096150490277,0.523996648404156,0.186552569033182,0.0278096150490277,0.663781345009276,0.176732121738594,0.0263456692010176,0.00942467553370214,0.0182916066052711,0.00272675171913802,0.998282675275205,0.0034602092794627,0.000515817544350278,0.761139661839681,0.0928087050010632,0.0138351048857401,47.1333333333333,28.9455601871074,4.31494934834557,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.05,45,0.946000958142274,0.052071403815668,0.00776234657437838,0.650066173966229,0.179032469520394,0.0266885848018174,0.650066173966229,0.179032469520394,0.0266885848018174,0.75290850725468,0.148957777405497,0.0222053144037316,0.0539990418577255,0.0520714038156681,0.00776234657437838,0.989244584640879,0.0108190195400647,0.00161280420943222,0.819655379303554,0.087484275771793,0.0130413858392045,61.9111111111111,37.7809609472947,5.63205312889439,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.1,45,0.905631195415477,0.0633450961561308,0.00944292940309128,0.709034190313838,0.169255755001644,0.0252311582511151,0.709034190313838,0.169255755001644,0.0252311582511151,0.77996885904334,0.126249196895394,0.0188201190908571,0.0943688045845231,0.0633450961561308,0.00944292940309127,0.979104276831107,0.0157003672622544,0.00234047256467421,0.844069233572472,0.0809618727046001,0.012069083396878,70.7111111111111,42.8165336704824,6.38271198987382,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.001,45,0.998888888888889,0.00745355992499931,0.00111111111111111,0.186404746472527,0.103471824742462,0.0154246689253393,0.186404746472527,0.103471824742462,0.0154246689253393,0.30141115198523,0.149203165867204,0.0222418947558163,0.00111111111111111,0.0074535599249993,0.00111111111111111,0.999934640522876,0.000438444701470512,6.53594771241778e-05,0.593169693497701,0.0516942841474708,0.0077061288934623,17.2,12.9642866087081,1.93260174245743,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.005,45,0.999074074074074,0.00621129993749946,0.000925925925925932,0.237510221272286,0.124146842381629,0.0185067185838182,0.237510221272286,0.124146842381629,0.0185067185838182,0.367186533554486,0.169059699612691,0.0252019320393115,0.000925925925925927,0.00621129993749942,0.000925925925925927,0.999934640522876,0.000438444701470512,6.53594771241778e-05,0.618722430897581,0.0620345380385552,0.0092475629338004,22.0444444444444,16.5405226304639,2.4657155323394,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.01,45,0.994021567354901,0.0242811355034828,0.00361961797044474,0.268771169909738,0.134886874164518,0.0201077479936215,0.268771169909738,0.134886874164518,0.0201077479936215,0.404403290192958,0.176492210431606,0.0263099053349512,0.00597843264509931,0.0242811355034828,0.00361961797044474,0.999452400997595,0.00207138855041823,0.000308784373769994,0.634111785453666,0.0672308257335205,0.0100221797682396,24.9333333333333,18.2848670664121,2.72574704800298,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.05,45,0.981567308946114,0.0270193236690603,0.00402780296200585,0.359904741684192,0.153005431437757,0.0228087030414339,0.359904741684192,0.153005431437757,0.0228087030414339,0.506499422794394,0.176451021981215,0.0263037653232871,0.0184326910538857,0.0270193236690602,0.00402780296200585,0.998078170915108,0.00254815738065576,0.000379856874700939,0.67899145629965,0.0758351188345998,0.0113048320530627,33.7111111111111,23.5773603100924,3.51470535889147,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.1,45,0.952555564984917,0.0474254136837398,0.00706976325719273,0.419185785875414,0.172894051183367,0.0257735234234224,0.419185785875414,0.172894051183367,0.0257735234234224,0.558733821268736,0.180371787615398,0.0268882385554123,0.0474444350150829,0.0474254136837398,0.00706976325719273,0.994196624038721,0.00681908139525338,0.00101652863625938,0.706691204957067,0.0844259428445436,0.0125854764843274,40.2,27.8188948215221,4.14699599198935,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","DESeq2",0.001,45,0.985561265631889,0.0221347663609117,0.00329965614993827,0.646749083034631,0.134252328847299,0.0200131555626812,0.646749083034631,0.134252328847299,0.0200131555626812,0.772147837349459,0.110026831848181,0.0164018316907648,0.0144387343681113,0.0221347663609117,0.00329965614993829,0.997405310765625,0.00492290403514024,0.000733863204618773,0.822077196900128,0.066982443727678,0.00998515316494282,58.8,34.0918545323446,5.08211361422379,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","DESeq2",0.005,45,0.962666780564421,0.0367096913754959,0.00547235768990977,0.711378990979104,0.131060160794455,0.0195372952452303,0.711378990979104,0.131060160794455,0.0195372952452303,0.810625686414433,0.0998669382122923,0.0148872841698305,0.0373332194355791,0.0367096913754959,0.00547235768990978,0.992741729539583,0.0070365321934288,0.00104894428735817,0.852060360259344,0.0650848223417745,0.00970227247064699,66.4666666666667,38.670284574734,5.76462566789112,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","DESeq2",0.01,45,0.936981095682697,0.0455112717119428,0.00678441981935781,0.738140998756303,0.127993839857898,0.0190801951082321,0.738140998756303,0.127993839857898,0.0190801951082321,0.819238090854372,0.0969690962475577,0.0144552993950839,0.0630189043173029,0.0455112717119428,0.00678441981935781,0.987251031525304,0.0093750844480601,0.0013975550747109,0.862696015140803,0.0637356570736139,0.00950115078714774,70.8666666666667,41.2137443976245,6.14378227202597,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","DESeq2",0.05,45,0.836613574088998,0.0588033337786076,0.00876588344217174,0.810942994574425,0.110606536962243,0.0164882490268946,0.810383745867028,0.111488873817237,0.0166197800393493,0.819459857220569,0.0749564365163835,0.0111738458267854,0.163386425911002,0.0588033337786076,0.00876588344217174,0.959469924276003,0.013571732216347,0.00202315438721172,0.885206459425214,0.0543583128291108,0.00810325884187271,86.7777777777778,48.5156436293251,7.23228514182171,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","DESeq2",0.1,45,0.757189113138321,0.0689642116094855,0.0102805776782326,0.837616582987983,0.0969944702344631,0.0144590819257226,0.837057334280586,0.0978993215980484,0.0145939692029566,0.792616262951084,0.0704313018468536,0.0104992785782247,0.242810886861679,0.0689642116094855,0.0102805776782326,0.931130840304376,0.0172296917911872,0.00256845080509765,0.88437371164618,0.0484878796874578,0.00722814633773246,99.1111111111111,55.0872127639529,8.21191682874618,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.001,45,0.955555555555556,0.208409077139993,0.0310677909075347,0.187550283686416,0.119234960547873,0.01777449847197,0.187550283686416,0.119234960547873,0.01777449847197,0.300567447167041,0.157102404154621,0.0234194436745585,0,0,0,1,0,0,0.593775141843208,0.0596174802739366,0.008887249235985,17.4666666666667,13.1608924814805,1.96191001554376,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.005,45,0.995976275814985,0.0193672111124675,0.00288709337213777,0.302035122408624,0.143837226622956,0.0214419877615981,0.302035122408624,0.143837226622956,0.0214419877615981,0.445389293694067,0.165643895970852,0.024692734096582,0.00402372418501451,0.0193672111124675,0.00288709337213777,0.999593806169642,0.0018898292029275,0.000281719104240676,0.650814464289133,0.0717476499000554,0.0106955081601587,27.0444444444444,18.5471825299149,2.76485072853241,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.01,45,0.996451499118166,0.0171857313371514,0.00256189756752793,0.367336855224461,0.153196630424171,0.0228372053034905,0.367336855224461,0.153196630424171,0.0228372053034905,0.518478488814998,0.165212089456403,0.0246283641819529,0.00354850088183421,0.0171857313371514,0.00256189756752792,0.999593806169642,0.0018898292029275,0.000281719104240676,0.683465330697052,0.0764386897441853,0.0113948070919343,33.0222222222222,21.4205603110751,3.19318859811319,"multi-replicate settings"
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.05,45,0.969299852114358,0.0358250359026904,0.00534048103831908,0.561724170553133,0.169244365802796,0.0252294604495928,0.561724170553133,0.169244365802796,0.0252294604495928,0.696133513466427,0.150708390184148,0.0224662803487544,0.0307001478856422,0.0358250359026904,0.00534048103831908,0.995691200632461,0.00472992321840567,0.000705095322980644,0.778707685592797,0.0843665724719572,0.0125766260717306,51.8,31.7744894816295,4.7366612287517,"multi-replicate settings"
