"analysis_protocol","gene","class","behavior","theoretical_phenotype","mean_knockdown","mean_variance_inflation","barcs_fdr","edger_fdr","deseq_fdr","limma_fdr"
"crispulator-miss-cases-v1","GENE0314","increasing","sigmoidal",0.67215743022386,0.602070747638251,3.83525312672248,0.252700273168916,0.0150760885391797,0.00615651867686707,0.0453001104766547
"crispulator-miss-cases-v1","GENE0338","decreasing","linear",-0.661173500782813,1,2.99426369997281,0.117781285728416,0.0367004960942118,0.030556391521082,0.017049949487993
"crispulator-miss-cases-v1","GENE0153","decreasing","sigmoidal",-0.656920654121875,1,3.03520158812335,0.124273362272141,0.0184636646505691,0.0108377345644982,0.0110821944280613
"crispulator-miss-cases-v1","GENE0063","increasing","linear",0.561593712928549,1,2.91481621178035,0.336655418831325,0.0962038906260279,0.0797988129706859,0.0495810785913209
"crispulator-miss-cases-v1","GENE0322","increasing","linear",0.559257597027405,1,4.02168539077816,0.215530992904058,0.0127987957162033,0.00778725219096574,0.0190809395272876
"crispulator-miss-cases-v1","GENE0106","increasing","linear",0.527950156284986,1,3.41168651710941,0.128774735443044,0.0509347762066619,0.0217936619010868,0.089158867345332
"crispulator-miss-cases-v1","GENE0112","increasing","sigmoidal",0.42435362319624,1,3.14785700927823,0.231995093724519,0.0275273937976602,0.026360737624725,0.0295699045276581
"crispulator-miss-cases-v1","GENE0086","decreasing","linear",-0.406523382889895,0.808133571851113,4.20731931687598,0.181621581602116,0.00516058739501063,0.00237201988352999,0.0481365180359455
"crispulator-miss-cases-v1","GENE0341","decreasing","linear",-0.371115523611361,0.801377586431466,3.89007414885677,0.128774735443044,0.031646110658498,0.0290883885808602,0.00598940923431784
"crispulator-miss-cases-v1","GENE0017","decreasing","linear",-0.370218465312647,0.815634035381413,2.06457936597448,0.197753969156067,0.0378595821233444,0.0293975442973967,0.077620856998743
"crispulator-miss-cases-v1","GENE0207","decreasing","sigmoidal",-0.33935324251551,0.803076708006047,3.85507020047409,0.195747463715675,0.0565266368765082,0.060530300656875,0.0239420952779236
"crispulator-miss-cases-v1","GENE0042","decreasing","linear",-0.295544838228183,1,2.94280977626971,0.184495232729082,0.0225341767757027,0.0150214931840051,0.0236285346699711
"crispulator-miss-cases-v1","GENE0144","increasing","linear",0.282341157680061,1,2.63305726628565,0.186972660570621,0.0424439422635544,0.0375671919221439,0.0703577029857664
"crispulator-miss-cases-v1","GENE0246","increasing","linear",0.280481604274206,0.62818337434396,2.45181724256383,0.20817657027337,0.0399424104895565,0.035505037047408,0.0289865142187745
"crispulator-miss-cases-v1","GENE0318","decreasing","linear",-0.233849169733123,1,3.24921503592911,0.184495232729082,0.0191162758245728,0.0244006818678286,0.0407351423643844
"crispulator-miss-cases-v1","GENE0397","increasing","linear",0.0443016113774241,0.446088566604545,1.72981752884025,0.111017339307208,0.0204910595947873,0.00778725219096574,0.0128728417673476
