"analysis_protocol","moi","design","method","matched_fdp","runs","f1","f1_sd"
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.001,3,0.640304624673189,0.0561834307513429
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.002,3,0.676995353902933,0.0277245405991055
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.005,3,0.724338203496402,0.0196463613363529
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.01,3,0.763940825151642,0.013121050715816
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.02,3,0.80811323161962,0.010736492411653
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.05,3,0.837792603391616,0.00766530539426017
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.1,3,0.846865645472322,0.00716940223467254
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.001,3,0.491349519655398,0.112383125198625
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.002,3,0.529436771024734,0.100460693425553
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.005,3,0.630584970873227,0.0480103111878777
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.01,3,0.677954425984605,0.0187275168954582
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.02,3,0.737928428816708,0.00727365651900613
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.05,3,0.795418038975662,0.0102931687439671
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.1,3,0.818886580020298,0.00949995009988842
"crispulator-moi-10k-v1",0.2,"low-bulk-high","CRISPhieRmix",0.001,3,0.372437551053712,0.0913165011118804
"crispulator-moi-10k-v1",0.2,"low-bulk-high","CRISPhieRmix",0.002,3,0.415058171819013,0.089653087153381
"crispulator-moi-10k-v1",0.2,"low-bulk-high","CRISPhieRmix",0.005,3,0.487953829755125,0.0578713102327882
"crispulator-moi-10k-v1",0.2,"low-bulk-high","CRISPhieRmix",0.01,3,0.552848572372794,0.037592005013484
"crispulator-moi-10k-v1",0.2,"low-bulk-high","CRISPhieRmix",0.02,3,0.64042024985389,0.0239626293109202
"crispulator-moi-10k-v1",0.2,"low-bulk-high","CRISPhieRmix",0.05,3,0.724588038724606,0.0350729892466639
"crispulator-moi-10k-v1",0.2,"low-bulk-high","CRISPhieRmix",0.1,3,0.775081057393944,0.0124983762539387
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.001,3,0.468973579647172,0.00464345033863961
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.002,3,0.508739760783971,0.0602598158729319
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.005,3,0.666238609143479,0.0313470575592411
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.01,3,0.739371829786707,0.0173338886370822
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.02,2,0.788883418421492,0.0231081029933859
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.05,0,NA,NA
"crispulator-moi-10k-v1",0.2,"low-bulk-high","MAGeCK-MLE",0.1,0,NA,NA
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.001,3,0.664869151771373,0.0602057250744879
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.002,3,0.669055131691661,0.080374081979848
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.005,3,0.732766418220833,0.0358509335140226
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.01,3,0.772223073211351,0.0152648232662701
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.02,3,0.813478239791687,0.0120238013759599
