"analysis_protocol","moi","design","method","nominal_fdr","runs","precision","recall","directional_recall","realized_fdp","realized_fdp_sd","f1","f1_sd","calls"
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",1e-06,3,1,0.141826180724774,0.141826180724774,0,0,0.2483752559535,0.0108308062393084,276
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",3e-06,3,1,0.175063465700354,0.175063465700354,0,0,0.297907200802724,0.0120469301069846,340.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",1e-05,3,1,0.21528335872786,0.21528335872786,0,0,0.354278966383679,0.00594840303310772,419
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",3e-05,3,1,0.258447167082747,0.258447167082747,0,0,0.410732145092391,0.00426824376180671,503
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",1e-04,3,1,0.314615331176067,0.314615331176067,0,0,0.478635623640739,0.00393995966370437,612.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",3e-04,3,0.999527186761229,0.369582370645723,0.369582370645723,0.000472813238770686,0.000818936552042022,0.539602627949311,0.00843708963639035,719.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.001,3,0.999603174603175,0.435358461585662,0.435358461585662,0.000396825396825397,0.000687321749035269,0.606538379269602,0.00459726690464262,847.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.003,3,0.998650516551138,0.510731922529916,0.510731922529916,0.00134948344886195,0.00116951595726983,0.675756638052112,0.0126164294791484,995.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.01,3,0.993185237531475,0.600078043647879,0.600078043647879,0.00681476246852473,0.000967335957713927,0.74810094594299,0.00873951104565885,1176
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.03,3,0.98176441035553,0.681912305374072,0.681739861849326,0.0182355896444702,0.0016733111570651,0.804750428543829,0.0105158263628119,1352
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.05,3,0.969174475395179,0.72183597639588,0.721663532871135,0.0308255246048211,0.00277712287462363,0.8273933535151,0.0077518110145453,1449.66666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.1,3,0.933946799472101,0.774565793470925,0.77439334994618,0.0660532005278988,0.00159640231409873,0.846773535288304,0.00754243712067164,1614.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-moderated",0.2,3,0.863813418007408,0.830908428799148,0.830393125935069,0.136186581992592,0.00113251629919021,0.84700036959669,0.00696113679809976,1872.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",1e-06,3,1,0.0237855102571888,0.0237855102571888,0,0,0.0464353956255653,0.00945285557388502,46.3333333333333
