"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","calls","directional_recall","realized_fdp","f1","negative_control_gene_p_below_0_05","guide_fit_seconds","prior_df","control_scale_original","control_scale_moderated","moi","seed","genes_simulated","replicates","scope"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",9475,1956,0.948286698917616,0.907603521187383,0.920731131484164,1544,0.734662576687117,0.069300518134715,0.821142857142857,0.0419047619047619,69.358,44.3900718941661,1.27668704617665,1.30466109553291,0.2,20250724,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",9475,1956,0.954528282951084,0.921887409303838,0.920731131484164,1651,0.787832310838446,0.066626287098728,0.854449681175492,0.0457142857142857,69.358,44.3900718941661,1.27668704617665,1.30466109553291,0.2,20250724,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",9475,1956,0.942385289237272,0.89316537480013,0.919678806017063,1283,0.628323108384458,0.0420888542478566,0.7588761963569,0.0285714285714286,69.358,44.3900718941661,1.27668704617665,1.30466109553291,0.2,20250724,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",9475,1956,0.954672498382421,0.922723712227792,0.919678806017063,1649,0.788343558282209,0.0648878107944209,0.855478502080444,0.0476190476190476,69.358,44.3900718941661,1.27668704617665,1.30466109553291,0.2,20250724,10000,4,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",9475,1956,0.953379727050028,0.919202706398486,0.920312142520546,2131,0.864519427402863,0.206006569685594,0.827991191583068,0.104761904761905,69.358,44.3900718941661,1.27668704617665,1.30466109553291,0.2,20250724,10000,4,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",9475,1956,0.953940950138314,0.919547611584925,0.922154221606952,2173,0.868609406952965,0.217671421997239,0.823443933155728,0.112380952380952,69.358,44.3900718941661,1.27668704617665,1.30466109553291,0.2,20250724,10000,4,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",9475,1956,0.95797993413278,0.92348673355528,0.931394666758327,1171,0.594580777096115,0.00683176771989752,0.743843939878478,NA,69.358,44.3900718941661,1.27668704617665,1.30466109553291,0.2,20250724,10000,4,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",9475,1956,0.953276444051348,0.920060733643166,0.920038883201436,2256,0.875766871165644,0.23936170212766,0.814814814814815,0.118095238095238,69.358,44.3900718941661,1.27668704617665,1.30466109553291,0.2,20250724,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",9484,1950,0.950380088896149,0.904595837469559,0.923641675903138,1510,0.721538461538462,0.0682119205298013,0.813294797687861,0.0542635658914729,106.18,42.7400596763484,1.28729090329919,1.28906396752014,0.2,20250725,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",9484,1950,0.957216652032155,0.921115028018126,0.923641675903138,1620,0.774871794871795,0.067283950617284,0.846498599439776,0.060077519379845,106.18,42.7400596763484,1.28729090329919,1.28906396752014,0.2,20250725,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",9484,1950,0.944824896367238,0.889522781659228,0.923118211217732,1249,0.614358974358974,0.0408326661329063,0.748984057517974,0.0368217054263566,106.18,42.7400596763484,1.28729090329919,1.28906396752014,0.2,20250725,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",9484,1950,0.957680600083042,0.922311059987324,0.923118211217732,1618,0.775897435897436,0.0648949320148331,0.848094170403587,0.0562015503875969,106.18,42.7400596763484,1.28729090329919,1.28906396752014,0.2,20250725,10000,4,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",9484,1950,0.955841144078468,0.918741487304542,0.922480614296293,2121,0.863076923076923,0.205563413484206,0.827806435765168,0.133720930232558,106.18,42.7400596763484,1.28729090329919,1.28906396752014,0.2,20250725,10000,4,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",9484,1950,0.956461851572019,0.919008750937199,0.92251074994519,2144,0.866666666666667,0.211753731343284,0.825598436736688,0.131782945736434,106.18,42.7400596763484,1.28729090329919,1.28906396752014,0.2,20250725,10000,4,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",9484,1950,0.959221886422577,0.921888003837963,0.931361123810453,1046,0.534358974358974,0.00382409177820268,0.695594125500668,NA,106.18,42.7400596763484,1.28729090329919,1.28906396752014,0.2,20250725,10000,4,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",9484,1950,0.955677714021223,0.919681267981889,0.922300358740213,2244,0.874871794871795,0.238859180035651,0.81449690033381,0.13953488372093,106.18,42.7400596763484,1.28729090329919,1.28906396752014,0.2,20250725,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",9517,1933,0.94349432246066,0.894791600212005,0.927818562207832,1419,0.691153647180548,0.0577871740662438,0.797732696897375,0.041407867494824,70.0110000000001,45.1413913320019,1.3236156778414,1.28551326403769,0.2,20250726,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",9517,1933,0.951334772909341,0.913405489267768,0.927818562207832,1572,0.760475944128298,0.0642493638676845,0.839372325249643,0.05175983436853,70.0110000000001,45.1413913320019,1.3236156778414,1.28551326403769,0.2,20250726,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",9517,1933,0.936387439126344,0.878290511163274,0.926917355742616,1214,0.602172788411795,0.0411861614497529,0.739752144899905,0.0559006211180124,70.0110000000001,45.1413913320019,1.3236156778414,1.28551326403769,0.2,20250726,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",9517,1933,0.952128572473211,0.915176685969564,0.926917355742616,1572,0.764097258147957,0.0604325699745547,0.842796005706134,0.0496894409937888,70.0110000000001,45.1413913320019,1.3236156778414,1.28551326403769,0.2,20250726,10000,4,"main"
