"analysis_protocol","moi","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"crispulator-moi-10k-v1",0.2,"BARCS-original","BARCS-moderated","auroc",3,-0.00697286587271817,0.000808101033565661,-0.00898030012510305,-0.00496543162033329
"crispulator-moi-10k-v1",0.2,"BARCS-original","BARCS-moderated","average_precision",3,-0.0164723225735954,0.00216538091081264,-0.0218514269544494,-0.0110932181927414
"crispulator-moi-10k-v1",0.2,"BARCS-original","BARCS-moderated","effect_spearman_active",3,0,0,0,0
"crispulator-moi-10k-v1",0.2,"BARCS-original","BARCS-moderated","calls",3,-123.333333333333,25.7358375292768,-187.264697883289,-59.4019687833773
"crispulator-moi-10k-v1",0.2,"BARCS-original","BARCS-moderated","directional_recall",3,-0.0586084548108041,0.00927882003137415,-0.081658321571285,-0.0355585880503232
"crispulator-moi-10k-v1",0.2,"BARCS-original","BARCS-moderated","realized_fdp",3,-0.000953329617645435,0.00485005282149468,-0.0130015287355015,0.0110948695002106
"crispulator-moi-10k-v1",0.2,"BARCS-original","BARCS-moderated","f1",3,-0.0360500847122727,0.0048409608524698,-0.048075698127,-0.0240244712975455
"crispulator-moi-10k-v1",0.2,"BARCS-original","BARCS-moderated","negative_control_gene_p_below_0_05",3,-0.00665848139053397,0.00335198610456008,-0.0149852764821348,0.00166831370106682
"crispulator-moi-10k-v1",0.2,"edgeR-QL","BARCS-moderated","auroc",3,-0.00100690858761384,0.000456224247509553,-0.00214023244586723,0.000126415270639558
"crispulator-moi-10k-v1",0.2,"edgeR-QL","BARCS-moderated","average_precision",3,-0.00264493660909023,0.000253859569114618,-0.00327555873821654,-0.00201431447996392
"crispulator-moi-10k-v1",0.2,"edgeR-QL","BARCS-moderated","effect_spearman_active",3,-0.00107211853886509,0.000613512643059084,-0.00259616843212378,0.000451931354393597
"crispulator-moi-10k-v1",0.2,"edgeR-QL","BARCS-moderated","calls",3,485,14.1774468787578,449.781269552141,520.218730447859
"crispulator-moi-10k-v1",0.2,"edgeR-QL","BARCS-moderated","directional_recall",3,0.0823826020244061,0.00576005664446381,0.0680738280920755,0.0966913759567367
"crispulator-moi-10k-v1",0.2,"edgeR-QL","BARCS-moderated","realized_fdp",3,0.138911313249457,0.00056819775615582,0.137499831775658,0.140322794723255
"crispulator-moi-10k-v1",0.2,"edgeR-QL","BARCS-moderated","f1",3,-0.0217405488412373,0.00414361152292058,-0.0320338504881675,-0.0114472471943071
"crispulator-moi-10k-v1",0.2,"edgeR-QL","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.0725257194215738,0.0129554647361504,0.0403425608972511,0.104708877945897
"crispulator-moi-10k-v1",0.2,"limma-voom","BARCS-moderated","auroc",3,-0.000675779024258823,8.41306901494853e-05,-0.000884771244374742,-0.000466786804142905
"crispulator-moi-10k-v1",0.2,"limma-voom","BARCS-moderated","average_precision",3,-0.00182116641274714,0.000705785975409382,-0.00357443597068607,-6.78968548081999e-05
"crispulator-moi-10k-v1",0.2,"limma-voom","BARCS-moderated","effect_spearman_active",3,-0.000120036307508564,0.00135764742386982,-0.00349261947240428,0.00325254685738715
"crispulator-moi-10k-v1",0.2,"limma-voom","BARCS-moderated","calls",3,521,3.60555127546399,512.04331410497,529.95668589503
"crispulator-moi-10k-v1",0.2,"limma-voom","BARCS-moderated","directional_recall",3,0.0871842755593815,0.00572438893304675,0.0729641051340738,0.101404445984689
"crispulator-moi-10k-v1",0.2,"limma-voom","BARCS-moderated","realized_fdp",3,0.147935812608905,0.00330215867637434,0.13973279571074,0.15613882950707
"crispulator-moi-10k-v1",0.2,"limma-voom","BARCS-moderated","f1",3,-0.0244257471474704,0.00570331556504448,-0.0385935684246101,-0.0102579258703308
