"analysis_protocol","moi","design","scope","method","metric","runs","mean","sd","se"
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-original","auroc",3,0.947387036758142,0.00352994176324773,0.00203801282723478
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-original","average_precision",3,0.902330319622982,0.00669968343317061,0.00386806403362633
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-original","effect_spearman_active",3,0.924063789865044,0.00356252069654704,0.00205682228314505
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-original","calls",3,1491,64.6297145282261,37.31398308052
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-original","directional_recall",3,0.715784895135375,0.0223178041363374,0.0128851902258358
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-original","realized_fdp",3,0.0650998709102534,0.0063563285421418,0.00366982799486327
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-original","f1",3,0.810723450576031,0.011915022876895,0.00687914166537586
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-original","negative_control_gene_p_below_0_05",3,0.0458587317636863,0.00728303875798843,0.0042048643874431
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-moderated","auroc",3,0.95435990263086,0.00294455250471606,0.0017000381812408
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-moderated","average_precision",3,0.918802642196577,0.004689998722318,0.0027077720248293
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-moderated","effect_spearman_active",3,0.924063789865044,0.00356252069654704,0.00205682228314505
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-moderated","calls",3,1614.33333333333,39.8036849215413,22.9806682041909
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-moderated","directional_recall",3,0.77439334994618,0.013684457682172,0.00790072532651605
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-moderated","realized_fdp",3,0.0660532005278988,0.00159640231409873,0.000921683305779841
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-moderated","f1",3,0.846773535288304,0.00754243712067169,0.00435462810196563
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.0525172131542202,0.00721150728361442,0.00416356567145773
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","edgeR-QL","auroc",3,0.953352994043246,0.00250162366937824,0.00144431309892667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","edgeR-QL","average_precision",3,0.916157705587487,0.00488012042108078,0.00281753883878878
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","edgeR-QL","effect_spearman_active",3,0.922991671326179,0.00296823953563698,0.0017137138949193
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","edgeR-QL","calls",3,2099.33333333333,46.4578662158878,26.8224615657185
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","edgeR-QL","directional_recall",3,0.856775951970586,0.012184213705225,0.00703455906257558
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","edgeR-QL","realized_fdp",3,0.204964513777356,0.00143827965038909,0.000830391143322102
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","edgeR-QL","f1",3,0.825032986447066,0.0049646178870075,0.00286632347348741
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","edgeR-QL","negative_control_gene_p_below_0_05",3,0.125042932575794,0.0176246707961555,0.0101756084285389
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","limma-voom","auroc",3,0.953684123606601,0.00291464007326008,0.00168276823088758
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","limma-voom","average_precision",3,0.91698147578383,0.00398712438316878,0.00230196733591502
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","limma-voom","effect_spearman_active",3,0.923943753557536,0.00279648524128969,0.00161455150684342
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","limma-voom","calls",3,2135.33333333333,42.6653645634645,24.6328597157898
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","limma-voom","directional_recall",3,0.861577625505561,0.010541789007812,0.00608630472140048
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","limma-voom","realized_fdp",3,0.213989013136804,0.00321331576876973,0.00185520872409047
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","limma-voom","f1",3,0.822347788140833,0.00391553731190594,0.00226063652105092
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","limma-voom","negative_control_gene_p_below_0_05",3,0.126246489158522,0.012088817943487,0.00697948229385657
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","MAGeCK-MLE","auroc",3,0.957499862834375,0.00200562403997995,0.00115794757937561
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","MAGeCK-MLE","average_precision",3,0.921198730019108,0.00269946652393125,0.00155853772426009
