"method","replicates","metric","n","mean","sd","se"
"BARCS-EB",1,"average_precision",5,0.632461023533772,0.034342676131772,0.0153585116719803
"BARCS-EB",3,"average_precision",5,0.874741127564527,0.0179386403267751,0.00802240383891765
"BARCS-EB",4,"average_precision",5,0.902691427445082,0.0289513585260922,0.012947441141062
"BARCS-EB",6,"average_precision",5,0.94152239038612,0.0080965970594123,0.00362090828225416
"BARCS-NORM",1,"average_precision",5,0.517077513249102,0.058017481578236,0.0259462065384555
"BARCS-NORM",3,"average_precision",5,0.739967302600899,0.0810969681221135,0.0362676666980358
"BARCS-NORM",4,"average_precision",5,0.776612981794012,0.0797187523823796,0.0356513098816948
"BARCS-NORM",6,"average_precision",5,0.826899226539833,0.0609179891554128,0.0272433529608196
"BARCS-original",1,"average_precision",5,0.632863584977172,0.0315737411740503,0.0141202063138321
"BARCS-original",3,"average_precision",5,0.883316385569505,0.0224801797089922,0.0100534419951436
"BARCS-original",4,"average_precision",5,0.916887142459818,0.0208378833201862,0.00931898472222909
"BARCS-original",6,"average_precision",5,0.949278961836551,0.0110389557839893,0.00493677110672293
"BARCS-partial",1,"average_precision",5,0.561963350760079,0.0431901295188123,0.0193152131122169
"BARCS-partial",3,"average_precision",5,0.810290292774009,0.0492914532735046,0.0220438080458622
"BARCS-partial",4,"average_precision",5,0.842153392972155,0.0516620516086483,0.023103971850808
"BARCS-partial",6,"average_precision",5,0.899560744737334,0.0215510728847485,0.00963793279167003
"BARCS-EB",1,"directional_recall_fdr_0_10",5,0.117285369477088,0.0882748349978552,0.0394777063515563
"BARCS-EB",3,"directional_recall_fdr_0_10",5,0.472344380056187,0.105400433008188,0.0471365066128441
"BARCS-EB",4,"directional_recall_fdr_0_10",5,0.550585033866785,0.123600760443563,0.0552759404844949
"BARCS-EB",6,"directional_recall_fdr_0_10",5,0.69799079859425,0.0817451118102955,0.0365575253672283
"BARCS-NORM",1,"directional_recall_fdr_0_10",5,0.00725490196078432,0.00998845931525493,0.00446697480388021
"BARCS-NORM",3,"directional_recall_fdr_0_10",5,0.0996033827216449,0.0822669982853518,0.0367909200941811
"BARCS-NORM",4,"directional_recall_fdr_0_10",5,0.208521839849497,0.079144490876505,0.0353944923288954
"BARCS-NORM",6,"directional_recall_fdr_0_10",5,0.370634134409589,0.0917354927606717,0.0410253595524603
"BARCS-original",1,"directional_recall_fdr_0_10",5,0,0,0
"BARCS-original",3,"directional_recall_fdr_0_10",5,0.694898687414793,0.0926696523424847,0.0414431284178137
"BARCS-original",4,"directional_recall_fdr_0_10",5,0.764227718605329,0.0885358127998467,0.0395944191727306
"BARCS-original",6,"directional_recall_fdr_0_10",5,0.868373063406247,0.0354536324744739,0.0158553464524435
"BARCS-partial",1,"directional_recall_fdr_0_10",5,0.128342236179006,0.030354800253222,0.0135750793619265
"BARCS-partial",3,"directional_recall_fdr_0_10",5,0.436476235696994,0.105979866227542,0.0473956370262238
"BARCS-partial",4,"directional_recall_fdr_0_10",5,0.449911870820609,0.16091484635617,0.0719633070082661
"BARCS-partial",6,"directional_recall_fdr_0_10",5,0.607993388512991,0.0938672757383275,0.0419787218827234
"BARCS-EB",1,"empirical_fdp_fdr_0_10",5,0,0,0
"BARCS-EB",3,"empirical_fdp_fdr_0_10",5,0.0147117688513037,0.013936694501519,0.00623267925740882
"BARCS-EB",4,"empirical_fdp_fdr_0_10",5,0.00835401157981802,0.0119232999849743,0.00533226185650494
"BARCS-EB",6,"empirical_fdp_fdr_0_10",5,0.00637037037037036,0.00891354604829114,0.00398625897691072
"BARCS-NORM",1,"empirical_fdp_fdr_0_10",5,0,0,0
"BARCS-NORM",3,"empirical_fdp_fdr_0_10",5,0.00952380952380952,0.021295885499998,0.00952380952380952
"BARCS-NORM",4,"empirical_fdp_fdr_0_10",5,0.0494345944436689,0.0525411088829151,0.0234970982150832
"BARCS-NORM",6,"empirical_fdp_fdr_0_10",5,0.0820169195137102,0.0496350636623909,0.0221974752833271
"BARCS-original",1,"empirical_fdp_fdr_0_10",5,0,0,0
"BARCS-original",3,"empirical_fdp_fdr_0_10",5,0.0788114184665909,0.058920671862448,0.0263501255128785
"BARCS-original",4,"empirical_fdp_fdr_0_10",5,0.0864231655074979,0.0435439354556713,0.0194734399373488
"BARCS-original",6,"empirical_fdp_fdr_0_10",5,0.0790720848320977,0.0546543332957621,0.0244421609028508
"BARCS-partial",1,"empirical_fdp_fdr_0_10",5,0.0901960784313724,0.0933977551785424,0.0417687459050207
"BARCS-partial",3,"empirical_fdp_fdr_0_10",5,0.0862021731769631,0.0227955984518526,0.0101945015452263
"BARCS-partial",4,"empirical_fdp_fdr_0_10",5,0.0464127704039663,0.0328968256782528,0.0147119076921068
"BARCS-partial",6,"empirical_fdp_fdr_0_10",5,0.048650856739092,0.0303259333621074,0.0135621696957602
