"analysis_protocol","design","method","shared_guide_fit_seconds","gene_aggregation_seconds","converged_fraction","guide_control_scale","gene_null_scale","prior_tau2","prior_df","scenario_id","seed","moi","high_quality_guide_fraction","genes","replicates","total_seconds"
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.42,0.146,0.999,1.23834153011528,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,0.566
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.42,0.395,0.999,1.23834153011528,1.38579039612011,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,0.815
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.42,0.353,0.999,1.23834153011528,1.2861853669253,0.00490615773802092,4,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,0.773
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.391,0.137,0.999,1.30959427830465,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,0.528
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.391,0.365,0.999,1.30959427830465,2.07715540837296,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,0.756
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.391,0.364,0.999,1.30959427830465,1.36946373891192,0.00459073099787539,4,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,0.755
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.395,0.136,0.999,1.19026267946382,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,400,4,0.531
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.395,0.392,0.999,1.19026267946382,1.56082515473562,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,400,4,0.787
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.395,0.337,0.999,1.19026267946382,1.37694002289755,0.00525352498352122,4,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,400,4,0.732
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.431,0.149,0.9995,1.08864695278161,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,0.58
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.431,0.383,0.9995,1.08864695278161,1.44671458630066,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,0.814
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.431,0.344,0.9995,1.08864695278161,1.29342957699182,0.00469840292902169,4,"moi_0.25_quality_0.9_genes_400_replicates_4",20250727,0.25,0.9,400,4,0.775
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.446,0.152,0.9995,1.00584933058406,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,0.598
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.446,0.521,0.9995,1.00584933058406,1.3183484474019,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,0.967
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.446,0.383,0.9995,1.00584933058406,1.22401062126145,0.00490714747933661,4,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,0.829
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.3,0.146,0.951,1,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,0.446
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.3,0.384,0.951,1,1.65297891051998,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,0.684
