"scenario_id","method","moi","high_quality_guide_fraction","genes","replicates","metric","n","mean","sd","se"
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-EB",0.1,0.9,400,4,"total_seconds",5,0.624,0.00659545297913647,0.00294957624075053
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-NORM",0.1,0.9,400,4,"total_seconds",5,0.466,0.00636396103067893,0.00284604989415154
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-original",0.1,0.9,400,4,"total_seconds",5,0.4532,0.0097313925005623,0.00435201102939779
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-partial",0.1,0.9,400,4,"total_seconds",5,0.6432,0.00794984276574072,0.00355527776692624
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-EB",0.25,0.6,400,4,"total_seconds",5,0.7256,0.0541414813243967,0.0242128065287773
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-NORM",0.25,0.6,400,4,"total_seconds",5,0.5624,0.0609122319407194,0.0272407782561365
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-original",0.25,0.6,400,4,"total_seconds",5,0.5324,0.0411132582021907,0.0183864080233198
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-partial",0.25,0.6,400,4,"total_seconds",5,0.7686,0.0696763948550727,0.0311602310646118
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-EB",0.25,0.75,400,4,"total_seconds",5,0.6266,0.0049295030175465,0.00220454076850486
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-NORM",0.25,0.75,400,4,"total_seconds",5,0.4688,0.0034928498393146,0.00156204993518133
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-original",0.25,0.75,400,4,"total_seconds",5,0.4544,0.00207364413533277,0.000927361849549571
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-partial",0.25,0.75,400,4,"total_seconds",5,0.6456,0.00350713558335004,0.00156843871413581
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-EB",0.25,0.9,100,4,"total_seconds",5,0.2216,0.00194935886896183,0.000871779788708152
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-NORM",0.25,0.9,100,4,"total_seconds",5,0.198,0.00187082869338697,0.000836660026534076
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-original",0.25,0.9,100,4,"total_seconds",5,0.1766,0.0018165902124585,0.000812403840463597
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-partial",0.25,0.9,100,4,"total_seconds",5,0.26,0.0014142135623731,0.000632455532033676
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-EB",0.25,0.9,1000,4,"total_seconds",5,1.4482,0.00649615270756469,0.00290516780926679
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-NORM",0.25,0.9,1000,4,"total_seconds",5,1.0808,0.00554075807087803,0.00247790233867277
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-original",0.25,0.9,1000,4,"total_seconds",5,1.0244,0.00450555213042749,0.00201494416796097
"moi_0.25_quality_0.9_genes_1000_replicates_4","BARCS-partial",0.25,0.9,1000,4,"total_seconds",5,1.4972,0.00852642949891694,0.00381313519298755
"moi_0.25_quality_0.9_genes_400_replicates_1","BARCS-EB",0.25,0.9,400,1,"total_seconds",5,0.662,0.0360693775937429,0.0161307160411434
"moi_0.25_quality_0.9_genes_400_replicates_1","BARCS-NORM",0.25,0.9,400,1,"total_seconds",5,0.4762,0.0341277013582808,0.0152623720305856
"moi_0.25_quality_0.9_genes_400_replicates_1","BARCS-original",0.25,0.9,400,1,"total_seconds",5,0.46,0.0342636833980237,0.0153231850475024
"moi_0.25_quality_0.9_genes_400_replicates_1","BARCS-partial",0.25,0.9,400,1,"total_seconds",5,0.7002,0.0347591714515752,0.0155447740414584
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-EB",0.25,0.9,400,3,"total_seconds",5,0.738,0.00659545297913647,0.00294957624075053
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-NORM",0.25,0.9,400,3,"total_seconds",5,0.5524,0.00502991053598372,0.0022494443758404
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-original",0.25,0.9,400,3,"total_seconds",5,0.535,0.0058309518948453,0.00260768096208106
"moi_0.25_quality_0.9_genes_400_replicates_3","BARCS-partial",0.25,0.9,400,3,"total_seconds",5,0.7746,0.00642650760522386,0.00287402157263998
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-EB",0.25,0.9,400,4,"total_seconds",5,0.7542,0.00258843582110896,0.00115758369027902
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-NORM",0.25,0.9,400,4,"total_seconds",5,0.569,0.00524404424085071,0.00234520787991169
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-original",0.25,0.9,400,4,"total_seconds",5,0.5516,0.00606630035524119,0.00271293199325009
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS-partial",0.25,0.9,400,4,"total_seconds",5,0.7916,0.00642650760522383,0.00287402157263997
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-EB",0.25,0.9,400,6,"total_seconds",5,0.6514,0.00811171991626931,0.00362767142944342
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-NORM",0.25,0.9,400,6,"total_seconds",5,0.494,0.00812403840463597,0.00363318042491699
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-original",0.25,0.9,400,6,"total_seconds",5,0.4794,0.00944986772394197,0.00422610932182309
"moi_0.25_quality_0.9_genes_400_replicates_6","BARCS-partial",0.25,0.9,400,6,"total_seconds",5,0.6712,0.00756306816047562,0.00338230690505756
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-EB",0.4,0.9,400,4,"total_seconds",5,0.6288,0.0102810505299799,0.00459782557302905
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-NORM",0.4,0.9,400,4,"total_seconds",5,0.4716,0.00901665126307987,0.00403236903073118
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-original",0.4,0.9,400,4,"total_seconds",5,0.4574,0.00873498712076897,0.00390640499692492
"moi_0.4_quality_0.9_genes_400_replicates_4","BARCS-partial",0.4,0.9,400,4,"total_seconds",5,0.6544,0.0172858323490655,0.00773045923603508
