"scenario_id","method","design","moi","high_quality_guide_fraction","genes","replicates","is_baseline","metric","n","mean","sd","se"
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-EB","Low + bulk + high",0.1,0.9,400,4,FALSE,"auroc",5,0.96135817326298,0.00428518545219173,0.00191639319345878
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-EB","Two 25% tails",0.1,0.9,400,4,FALSE,"auroc",5,0.957412999278297,0.00349171075695353,0.00156154052206307
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-EB","Unsorted 0-100%",0.1,0.9,400,4,FALSE,"auroc",5,0.508279612599841,0.0485574178851541,0.0217155374406137
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-NORM","Low + bulk + high",0.1,0.9,400,4,FALSE,"auroc",5,0.927693717524079,0.0179517722161437,0.00802827659837785
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-NORM","Two 25% tails",0.1,0.9,400,4,FALSE,"auroc",5,0.92692014555153,0.0165619246361805,0.00740671786494561
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-NORM","Unsorted 0-100%",0.1,0.9,400,4,FALSE,"auroc",5,0.503565154758848,0.0284887907682787,0.0127405745509279
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-original","Low + bulk + high",0.1,0.9,400,4,FALSE,"auroc",5,0.965954992048375,0.00656547075439301,0.00293616778222192
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-original","Two 25% tails",0.1,0.9,400,4,FALSE,"auroc",5,0.963413613865803,0.00556823025946913,0.00249018827490885
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-original","Unsorted 0-100%",0.1,0.9,400,4,FALSE,"auroc",5,0.501748002144654,0.0417043199751437,0.0186507388839647
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-partial","Low + bulk + high",0.1,0.9,400,4,FALSE,"auroc",5,0.944773198017303,0.0062318676464506,0.00278697593684903
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-partial","Two 25% tails",0.1,0.9,400,4,FALSE,"auroc",5,0.940114341852001,0.00663425513861135,0.00296692909400245
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-partial","Unsorted 0-100%",0.1,0.9,400,4,FALSE,"auroc",5,0.509113522884772,0.0478696364866255,0.0214079522484598
