"method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","is_baseline"
"BARCS","Low + bulk + high",400,79,0.961354943018258,0.922490020326955,0.943670886075949,1,59,0.69620253164557,0.0677966101694915,0.797101449275362,0,"moi_0.25_quality_0.9_genes_400",20250724,0.25,0.9,TRUE
"MAGeCK-MLE","Low + bulk + high",400,79,0.961039473165346,0.904984553135197,0.93356864654333,1,58,0.670886075949367,0.0862068965517241,0.773722627737226,0,"moi_0.25_quality_0.9_genes_400",20250724,0.25,0.9,TRUE
"BARCS","Two 25% tails",400,79,0.960171931069837,0.91964778042139,0.937463485881207,1,52,0.645569620253165,0.0192307692307692,0.778625954198473,0,"moi_0.25_quality_0.9_genes_400",20250724,0.25,0.9,TRUE
"MAGeCK-MLE","Two 25% tails",400,79,0.962616822429907,0.911435119114235,0.932570593962999,1,45,0.556962025316456,0.0222222222222222,0.709677419354839,0,"moi_0.25_quality_0.9_genes_400",20250724,0.25,0.9,TRUE
"Bulk vs input","Unsorted 0-100%",400,79,0.480460585985252,0.187642177184974,0.0578383641674781,0.455696202531646,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400",20250724,0.25,0.9,TRUE
"BARCS","Low + bulk + high",400,60,0.947794117647059,0.882183791431375,0.919699916643512,0.983333333333333,40,0.65,0.025,0.78,0.1,"moi_0.25_quality_0.9_genes_400",20250725,0.25,0.9,TRUE
"MAGeCK-MLE","Low + bulk + high",400,60,0.969044117647059,0.906543792790293,0.936649069185885,1,44,0.7,0.0454545454545455,0.807692307692308,0.05,"moi_0.25_quality_0.9_genes_400",20250725,0.25,0.9,TRUE
"BARCS","Two 25% tails",400,60,0.937107843137255,0.862241312475596,0.921756043345374,0.983333333333333,37,0.616666666666667,0,0.762886597938144,0.1,"moi_0.25_quality_0.9_genes_400",20250725,0.25,0.9,TRUE
"MAGeCK-MLE","Two 25% tails",400,60,0.96656862745098,0.899735171590833,0.935537649347041,1,29,0.483333333333333,0,0.651685393258427,0.05,"moi_0.25_quality_0.9_genes_400",20250725,0.25,0.9,TRUE
"Bulk vs input","Unsorted 0-100%",400,60,0.516617647058824,0.163414717957273,0.0327313142539594,0.566666666666667,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400",20250725,0.25,0.9,TRUE
"BARCS","Low + bulk + high",400,92,0.961780067758329,0.924973945327872,0.910392552748794,1,82,0.804347826086957,0.0975609756097561,0.850574712643678,0.0555555555555556,"moi_0.25_quality_0.9_genes_400",20250726,0.25,0.9,TRUE
"MAGeCK-MLE","Low + bulk + high",400,92,0.97264963297572,0.936961864294279,0.912966416472728,1,72,0.75,0.0416666666666667,0.841463414634146,0,"moi_0.25_quality_0.9_genes_400",20250726,0.25,0.9,TRUE
"BARCS","Two 25% tails",400,92,0.960050818746471,0.915773088527921,0.908990028204614,1,59,0.608695652173913,0.0508474576271186,0.741721854304636,0.0555555555555556,"moi_0.25_quality_0.9_genes_400",20250726,0.25,0.9,TRUE
