"scenario_id","metric","method","reference","n","mean_difference","sd_difference","lower_95","upper_95"
"moi_0.1_quality_0.9_genes_400_replicates_4","auroc","BARCS-partial","BARCS-original",5,-0.0211817940310718,0.00795710335590629,-0.031061842798087,-0.0113017452640566
"moi_0.25_quality_0.6_genes_400_replicates_4","auroc","BARCS-partial","BARCS-original",5,-0.0659626108050652,0.0121676747876675,-0.0810707745307636,-0.0508544470793668
"moi_0.25_quality_0.75_genes_400_replicates_4","auroc","BARCS-partial","BARCS-original",5,-0.0494131510835042,0.0131910092739346,-0.0657919523989207,-0.0330343497680877
"moi_0.25_quality_0.9_genes_100_replicates_4","auroc","BARCS-partial","BARCS-original",5,-0.0190931626801226,0.0162000143179405,-0.0392081372290949,0.00102181186884965
"moi_0.25_quality_0.9_genes_1000_replicates_4","auroc","BARCS-partial","BARCS-original",5,-0.02375791365173,0.0040891180389771,-0.0288352243051335,-0.0186806029983266
"moi_0.25_quality_0.9_genes_400_replicates_1","auroc","BARCS-partial","BARCS-original",5,-0.0266238847020182,0.0201153135219422,-0.0516003453147952,-0.00164742408924115
"moi_0.25_quality_0.9_genes_400_replicates_3","auroc","BARCS-partial","BARCS-original",5,-0.0303305446567028,0.0139885333699403,-0.0476996029298297,-0.012961486383576
"moi_0.25_quality_0.9_genes_400_replicates_4","auroc","BARCS-partial","BARCS-original",5,-0.0294563695328926,0.00665677916824115,-0.0377218525700904,-0.0211908864956948
"moi_0.25_quality_0.9_genes_400_replicates_6","auroc","BARCS-partial","BARCS-original",5,-0.0185724792748264,0.0063377683206993,-0.0264418580275951,-0.0107031005220578
"moi_0.4_quality_0.9_genes_400_replicates_4","auroc","BARCS-partial","BARCS-original",5,-0.0424705965866584,0.0165076618876971,-0.0629675660471323,-0.0219736271261846
"moi_0.1_quality_0.9_genes_400_replicates_4","auroc","BARCS-EB","BARCS-original",5,-0.0045968187853952,0.00601002303770153,-0.0120592480196844,0.00286561044889402
"moi_0.25_quality_0.6_genes_400_replicates_4","auroc","BARCS-EB","BARCS-original",5,-0.024192111209335,0.00936561906793031,-0.0358210632268747,-0.0125631591917952
"moi_0.25_quality_0.75_genes_400_replicates_4","auroc","BARCS-EB","BARCS-original",5,-0.0119288669872534,0.0052492562396116,-0.0184466794773256,-0.00541105449718117
"moi_0.25_quality_0.9_genes_100_replicates_4","auroc","BARCS-EB","BARCS-original",5,-0.00376720826274979,0.0098271415220459,-0.0159692160959275,0.00843479957042794
"moi_0.25_quality_0.9_genes_1000_replicates_4","auroc","BARCS-EB","BARCS-original",5,-0.00273384085424742,0.00201293560717948,-0.00523323052838461,-0.000234451180110223
"moi_0.25_quality_0.9_genes_400_replicates_1","auroc","BARCS-EB","BARCS-original",5,0.00156031919053861,0.00935394493918245,-0.0100541374816245,0.0131747758627017
"moi_0.25_quality_0.9_genes_400_replicates_3","auroc","BARCS-EB","BARCS-original",5,-0.00649891483615304,0.00981842971095605,-0.0186901055271413,0.00569227585483528
"moi_0.25_quality_0.9_genes_400_replicates_4","auroc","BARCS-EB","BARCS-original",5,-0.0062180966736288,0.00269824870173604,-0.00956841494477449,-0.00286777840248312
"moi_0.25_quality_0.9_genes_400_replicates_6","auroc","BARCS-EB","BARCS-original",5,-0.00336165775345123,0.00184789854506718,-0.00565612684919426,-0.0010671886577082
"moi_0.4_quality_0.9_genes_400_replicates_4","auroc","BARCS-EB","BARCS-original",5,-0.0178641804519032,0.0115679737715218,-0.0322277170161672,-0.00350064388763911
"moi_0.1_quality_0.9_genes_400_replicates_4","auroc","BARCS-EB","BARCS-partial",5,0.0165849752456766,0.00657044333031909,0.00842669231018136,0.0247432581811719
"moi_0.25_quality_0.6_genes_400_replicates_4","auroc","BARCS-EB","BARCS-partial",5,0.0417704995957302,0.00762922279230933,0.0322975683202442,0.0512434308712163
"moi_0.25_quality_0.75_genes_400_replicates_4","auroc","BARCS-EB","BARCS-partial",5,0.0374842840962508,0.0083647411410679,0.0270980861670929,0.0478704820254087
"moi_0.25_quality_0.9_genes_100_replicates_4","auroc","BARCS-EB","BARCS-partial",5,0.0153259544173728,0.0146865115262828,-0.0029097582040172,0.0335616670387628
"moi_0.25_quality_0.9_genes_1000_replicates_4","auroc","BARCS-EB","BARCS-partial",5,0.0210240727974826,0.00289871541475703,0.0174248422259405,0.0246233033690247
