"rank","term","p_value","odds_ratio","combined_score","overlapping_genes","adjusted_p_value","terminal_coefficient","method_specific_set","gene_set_library","input_genes"
1,"Regulation Of Mitotic Cell Cycle (GO:0007346)",1.63889050443663e-06,19.2207498383969,256.049047268579,"CDC20;PRMT5;PLK1;CDC16;ANAPC2;MAD2L1",0.000930889806520006,"GSC0131","BARCS","GO_Biological_Process_2023",58
2,"Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666)",1.52898112322332e-05,77.6415584415584,860.914746853174,"CDC20;PLK1;MAD2L1",0.00311502455081105,"GSC0131","BARCS","GO_Biological_Process_2023",58
3,"DNA-templated Transcription (GO:0006351)",2.36814860953144e-05,11.8068951773615,125.753079783875,"PRMT5;GTF2A2;GTF3C4;POLR2A;GTF2H3;PMF1",0.00311502455081105,"GSC0131","BARCS","GO_Biological_Process_2023",58
1,"mRNA Splicing, Via Spliceosome (GO:0000398)",3.65605110582727e-11,21.7129,521.805550356686,"RBM17;DBR1;SF3B2;SART3;PRPF38A;DHX9;SNRNP27;PRPF19;LSM4;RBMX;LSM2",1.71103191752716e-08,"GSC0827","BARCS","GO_Biological_Process_2023",61
2,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",3.675736173673e-09,20.0080971659919,388.587507309278,"DBR1;SF3B2;SART3;PRPF38A;SNRNP27;PRPF19;LSM4;RBMX;LSM2",8.60122264639482e-07,"GSC0827","BARCS","GO_Biological_Process_2023",61
3,"mRNA Processing (GO:0006397)",1.66378500026963e-08,16.6609756097561,298.424491088064,"DBR1;SF3B2;SART3;PRPF38A;SNRNP27;PRPF19;LSM4;RBMX;LSM2",2.59550460042062e-06,"GSC0827","BARCS","GO_Biological_Process_2023",61
1,"rRNA Processing (GO:0006364)",1.30238252962304e-05,18.7916666666667,211.382387642265,"NOP58;EIF6;MAK16;WDR74;RRP9",0.005483030449713,"NSCCB660","BARCS","GO_Biological_Process_2023",60
2,"Ribosomal Large Subunit Export From Nucleus (GO:0000055)",0.000131728120879271,171.862068965517,1535.54813522869,"NUP88;RAN",0.0169400940478847,"NSCCB660","BARCS","GO_Biological_Process_2023",60
3,"Ribosomal Small Subunit Export From Nucleus (GO:0000056)",0.000131728120879271,171.862068965517,1535.54813522869,"NUP88;RAN",0.0169400940478847,"NSCCB660","BARCS","GO_Biological_Process_2023",60
1,"DNA-templated Transcription (GO:0006351)",1.33353982129007e-06,14.6964285714286,198.808489263458,"PRMT5;XAB2;GTF2A2;TBP;POLR2A;POLR2D;ERCC2",0.000500077432983775,"NSCU5","BARCS","GO_Biological_Process_2023",56
2,"Ribonucleoprotein Complex Biogenesis (GO:0022613)",1.97198733377543e-05,17.2054485511019,186.401827436337,"NOP58;NOP14;KRR1;GRWD1;RRP9",0.00369747625082894,"NSCU5","BARCS","GO_Biological_Process_2023",56
3,"protein-RNA Complex Assembly (GO:0022618)",6.23012020676634e-05,13.3867478025693,129.630971773682,"PRMT5;XAB2;DDX39B;POLR2D;EIF3H",0.00545892190009261,"NSCU5","BARCS","GO_Biological_Process_2023",56
1,"Ribosome Biogenesis (GO:0042254)",6.14725542994614e-10,24.9041095890411,528.212309707655,"NOP16;UTP3;WDR18;RPL14;NAT10;NOC4L;SDAD1;GTPBP4;RPL7",2.85847377492496e-07,"GSC0131","MAGeCK-MLE","GO_Biological_Process_2023",58
2,"Ribosomal Large Subunit Biogenesis (GO:0042273)",1.05719644994935e-08,47.8221153846154,878.256027842988,"NOP16;RPL14;SDAD1;RPL6;GTPBP4;RPL7",2.45798174613223e-06,"GSC0131","MAGeCK-MLE","GO_Biological_Process_2023",58
3,"Ribonucleoprotein Complex Biogenesis (GO:0022613)",4.874601074105e-08,24.5216392863452,412.862073535773,"NOP16;UTP3;RPL14;NAT10;SDAD1;GTPBP4;RPL7",7.55563166486275e-06,"GSC0131","MAGeCK-MLE","GO_Biological_Process_2023",58
1,"Peptide Biosynthetic Process (GO:0043043)",8.5720220718317e-06,14.2011961722488,165.685453807716,"RPS14;RPS5;RPL35A;MRPL36;FURIN;MRPL12",0.00415743070483838,"GSC0827","MAGeCK-MLE","GO_Biological_Process_2023",61
2,"Ribonucleoprotein Complex Biogenesis (GO:0022613)",2.99999122934673e-05,15.6652970922882,163.143355717268,"RPS14;RPS5;RPL35A;MRPL36;SDAD1",0.00515728427727971,"GSC0827","MAGeCK-MLE","GO_Biological_Process_2023",61
3,"Gene Expression (GO:0010467)",3.19007274883281e-05,8.81391772395233,91.2494478899919,"RPS14;RPS5;HNRNPU;RPL35A;MRPL36;FURIN;MRPL12",0.00515728427727971,"GSC0827","MAGeCK-MLE","GO_Biological_Process_2023",61
1,"Macromolecule Biosynthetic Process (GO:0009059)",3.65123121993642e-09,20.0466531440162,389.470414792182,"POLD3;RPL10;RPS6;RPS3;RPL24;RPL37;YARS2;RPS21;RPS13",1.97896732120554e-06,"NSCCB660","MAGeCK-MLE","GO_Biological_Process_2023",60
2,"Cytoplasmic Translation (GO:0002181)",1.18081582760998e-08,30.4910048266784,556.59729036562,"RPL10;RPS6;RPS3;RPL24;RPL37;RPS21;RPS13",3.20001089282304e-06,"NSCCB660","MAGeCK-MLE","GO_Biological_Process_2023",60
3,"Peptide Biosynthetic Process (GO:0043043)",2.29293430812841e-08,20.2974358974359,357.049117564599,"RPL10;RPS6;RPS3;RPL24;RPL37;YARS2;RPS21;RPS13",4.14256798335199e-06,"NSCCB660","MAGeCK-MLE","GO_Biological_Process_2023",60
1,"Gene Expression (GO:0010467)",5.10953273695162e-10,16.8615204678363,360.747896506501,"MRPL41;RPS28;MCM3AP;RPS18;RPS8;EXOSC8;RPS3;SRSF3;ZNF830;RPS27A;RPS24",2.55987590121276e-07,"NSCU5","MAGeCK-MLE","GO_Biological_Process_2023",56
2,"Maturation Of SSU-rRNA (GO:0030490)",6.70504017361104e-08,59.1532976827095,977.083596621987,"RPS28;RPS8;NAT10;TSR1;RIOK1",1.67961256348957e-05,"NSCU5","MAGeCK-MLE","GO_Biological_Process_2023",56
3,"Ribosomal Small Subunit Biogenesis (GO:0042274)",1.25673257353035e-07,30.5630769230769,485.634470906259,"RPS28;RPS8;NAT10;UTP20;RIOK1;RPS24",2.09874339779569e-05,"NSCU5","MAGeCK-MLE","GO_Biological_Process_2023",56
1,"Cell Cycle R-HSA-1640170",3.73498948381548e-09,9.59616477272727,186.218575423116,"TOP2A;BARD1;RMI1;PLK1;CDC20;POLD3;POLR2A;CDC16;OIP5;NUP88;TUBGCP4;NOP10;ANAPC2;MAD2L1",1.3520661931412e-06,"GSC0131","BARCS","Reactome_2022",58
2,"Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430",3.67215250710931e-07,86.8191721132898,1286.42725101965,"CDC20;CDC16;ANAPC2;MAD2L1",4.45361421967403e-05,"GSC0131","BARCS","Reactome_2022",58
3,"Metabolism Of RNA R-HSA-8953854",3.69084051354202e-07,7.69365775827683,113.960316252295,"PRMT5;METTL14;EXOSC4;POLR2A;CSTF3;GEMIN4;TSR1;NUP88;SNRPD3;GTF2H3;NOP10;RRP9",4.45361421967403e-05,"GSC0131","BARCS","Reactome_2022",58
1,"Metabolism Of RNA R-HSA-8953854",8.51499531195353e-12,11.4837512256619,292.711543917744,"RBM17;SF3B2;NOP58;PRPF38A;DHX9;PRPF19;LSM4;LSM2;CTU1;MYC;RPL37A;POLR2E;SNRNP27;UTP14A;RBMX;EXOSC1;RPL19",2.7673734763849e-09,"GSC0827","BARCS","Reactome_2022",61
2,"mRNA Splicing - Major Pathway R-HSA-72163",1.73665083389374e-10,22.667125329664,509.4185374815,"RBM17;SF3B2;PRPF38A;DHX9;POLR2E;SNRNP27;PRPF19;LSM4;RBMX;LSM2",2.82205760507734e-08,"GSC0827","BARCS","Reactome_2022",61
3,"mRNA Splicing R-HSA-72172",2.65569265387882e-10,21.6453061671596,477.260503398311,"RBM17;SF3B2;PRPF38A;DHX9;POLR2E;SNRNP27;PRPF19;LSM4;RBMX;LSM2",2.87700037503539e-08,"GSC0827","BARCS","Reactome_2022",61
1,"Metabolism Of RNA R-HSA-8953854",5.4494370698624e-07,7.37232415902141,106.32795957493,"TRMT112;HSPA8;XAB2;NOP58;PRPF38A;PDCD7;PCF11;EXOSC8;NUP88;PRPF19;RAN;RRP9",0.000209803327189703,"NSCCB660","BARCS","Reactome_2022",60
2,"Cytosolic Iron-Sulfur Cluster Assembly R-HSA-2564830",5.53907240806523e-06,116.555555555556,1410.75155537936,"NDOR1;ABCB7;NUBP2",0.000999726575611077,"NSCCB660","BARCS","Reactome_2022",60
3,"Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203",7.79007721255385e-06,11.0746688077077,130.267561431879,"HSPA8;XAB2;PRPF38A;PDCD7;PCF11;NUP88;PRPF19",0.000999726575611077,"NSCCB660","BARCS","Reactome_2022",60
1,"Metabolism Of RNA R-HSA-8953854",8.78347834673318e-15,15.3157191194285,495.707093158343,"PRMT5;NOP58;NOP14;KRR1;BUD31;PSMA7;RRP9;SRRM1;PSMD8;NUP93;RPL7A;XAB2;LSM11;PSMA4;DDX39B;POLR2A;POLR2D;ERCC2;NUP88",3.36407220679881e-12,"NSCU5","BARCS","Reactome_2022",56
