"cell_line","pseudo_gene","n_guides"
"HAP1","NT_HAP1_0001",4
"HAP1","NT_HAP1_0002",4
"HAP1","NT_HAP1_0003",4
"HAP1","NT_HAP1_0004",7
"HAP1","NT_HAP1_0005",9
"HAP1","NT_HAP1_0006",6
"HAP1","NT_HAP1_0007",6
"HAP1","NT_HAP1_0008",6
"HAP1","NT_HAP1_0009",8
"HAP1","NT_HAP1_0010",7
"HAP1","NT_HAP1_0011",5
"HAP1","NT_HAP1_0012",8
"HAP1","NT_HAP1_0013",9
"HAP1","NT_HAP1_0014",9
"HAP1","NT_HAP1_0015",8
"HAP1","NT_HAP1_0016",9
"HAP1","NT_HAP1_0017",7
"HAP1","NT_HAP1_0018",6
"HAP1","NT_HAP1_0019",9
"HAP1","NT_HAP1_0020",5
"HAP1","NT_HAP1_0021",4
"HAP1","NT_HAP1_0022",4
"HAP1","NT_HAP1_0023",8
"HAP1","NT_HAP1_0024",7
"HAP1","NT_HAP1_0025",6
"HAP1","NT_HAP1_0026",9
"HAP1","NT_HAP1_0027",6
"HAP1","NT_HAP1_0028",5
"HAP1","NT_HAP1_0029",8
"HAP1","NT_HAP1_0030",5
"HAP1","NT_HAP1_0031",6
"HAP1","NT_HAP1_0032",8
"HAP1","NT_HAP1_0033",6
"HAP1","NT_HAP1_0034",8
"HAP1","NT_HAP1_0035",5
"HAP1","NT_HAP1_0036",7
"HAP1","NT_HAP1_0037",6
"HAP1","NT_HAP1_0038",6
"HAP1","NT_HAP1_0039",10
"HAP1","NT_HAP1_0040",6
"HAP1","NT_HAP1_0041",6
"HAP1","NT_HAP1_0042",7
"HAP1","NT_HAP1_0043",4
"HAP1","NT_HAP1_0044",6
"HAP1","NT_HAP1_0045",7
"HAP1","NT_HAP1_0046",6
"HAP1","NT_HAP1_0047",6
"HAP1","NT_HAP1_0048",7
"HAP1","NT_HAP1_0049",7
"HAP1","NT_HAP1_0050",4
"HAP1","NT_HAP1_0051",7
"HAP1","NT_HAP1_0052",6
"HAP1","NT_HAP1_0053",6
"HAP1","NT_HAP1_0054",6
"HAP1","NT_HAP1_0055",8
"HAP1","NT_HAP1_0056",6
"HAP1","NT_HAP1_0057",7
"HAP1","NT_HAP1_0058",5
"HAP1","NT_HAP1_0059",4
"HAP1","NT_HAP1_0060",6
"HAP1","NT_HAP1_0061",6
"HAP1","NT_HAP1_0062",4
"HAP1","NT_HAP1_0063",4
"HAP1","NT_HAP1_0064",7
"HAP1","NT_HAP1_0065",8
"HAP1","NT_HAP1_0066",6
"HAP1","NT_HAP1_0067",4
"HAP1","NT_HAP1_0068",9
"HAP1","NT_HAP1_0069",6
"HAP1","NT_HAP1_0070",5
"HAP1","NT_HAP1_0071",5
"HAP1","NT_HAP1_0072",8
"HAP1","NT_HAP1_0073",7
"HAP1","NT_HAP1_0074",8
"HAP1","NT_HAP1_0075",8
"HAP1","NT_HAP1_0076",4
"HAP1","NT_HAP1_0077",8
"HAP1","NT_HAP1_0078",6
"HAP1","NT_HAP1_0079",7
"HAP1","NT_HAP1_0080",5
"HAP1","NT_HAP1_0081",5
"HAP1","NT_HAP1_0082",6
"HAP1","NT_HAP1_0083",7
"HAP1","NT_HAP1_0084",6
"HAP1","NT_HAP1_0085",5
"HAP1","NT_HAP1_0086",5
"HAP1","NT_HAP1_0087",6
"HAP1","NT_HAP1_0088",8
"HAP1","NT_HAP1_0089",6
"HAP1","NT_HAP1_0090",5
"HAP1","NT_HAP1_0091",4
"HAP1","NT_HAP1_0092",6
"HAP1","NT_HAP1_0093",8
"HAP1","NT_HAP1_0094",4
"HAP1","NT_HAP1_0095",4
"HAP1","NT_HAP1_0096",6
"HAP1","NT_HAP1_0097",6
"HAP1","NT_HAP1_0098",7
"HAP1","NT_HAP1_0099",6
"HAP1","NT_HAP1_0100",7
"HAP1","NT_HAP1_0101",8
"HAP1","NT_HAP1_0102",8
"HAP1","NT_HAP1_0103",8
"HAP1","NT_HAP1_0104",7
"HAP1","NT_HAP1_0105",5
"HAP1","NT_HAP1_0106",6
"HAP1","NT_HAP1_0107",7
"HAP1","NT_HAP1_0108",7
"HAP1","NT_HAP1_0109",8
"HAP1","NT_HAP1_0110",6
"HAP1","NT_HAP1_0111",5
"HAP1","NT_HAP1_0112",6
"HAP1","NT_HAP1_0113",9
"HAP1","NT_HAP1_0114",6
"HAP1","NT_HAP1_0115",6
"HAP1","NT_HAP1_0116",5
"HAP1","NT_HAP1_0117",6
"HAP1","NT_HAP1_0118",7
"HAP1","NT_HAP1_0119",5
"HAP1","NT_HAP1_0120",8
"HAP1","NT_HAP1_0121",6
"HAP1","NT_HAP1_0122",9
"HAP1","NT_HAP1_0123",7
"HAP1","NT_HAP1_0124",6
"HAP1","NT_HAP1_0125",5
"HAP1","NT_HAP1_0126",8
"HAP1","NT_HAP1_0127",6
"HAP1","NT_HAP1_0128",4
"HAP1","NT_HAP1_0129",6
"HAP1","NT_HAP1_0130",4
"HAP1","NT_HAP1_0131",8
"HAP1","NT_HAP1_0132",6
"HAP1","NT_HAP1_0133",8
"HAP1","NT_HAP1_0134",6
"HAP1","NT_HAP1_0135",5
"HAP1","NT_HAP1_0136",6
"HAP1","NT_HAP1_0137",6
"HAP1","NT_HAP1_0138",7
"HAP1","NT_HAP1_0139",8
"HAP1","NT_HAP1_0140",6
"HAP1","NT_HAP1_0141",6
"HAP1","NT_HAP1_0142",7
"HAP1","NT_HAP1_0143",5
"HAP1","NT_HAP1_0144",8
"HAP1","NT_HAP1_0145",4
"HAP1","NT_HAP1_0146",6
"HAP1","NT_HAP1_0147",4
"HAP1","NT_HAP1_0148",7
"HAP1","NT_HAP1_0149",8
"HAP1","NT_HAP1_0150",4
"HAP1","NT_HAP1_0151",5
"HAP1","NT_HAP1_0152",6
"HAP1","NT_HAP1_0153",4
"HAP1","NT_HAP1_0154",6
"HAP1","NT_HAP1_0155",4
"HAP1","NT_HAP1_0156",8
"HAP1","NT_HAP1_0157",7
"HAP1","NT_HAP1_0158",5
"HAP1","NT_HAP1_0159",4
"HEK293FT","NT_HEK293FT_0001",9
"HEK293FT","NT_HEK293FT_0002",10
"HEK293FT","NT_HEK293FT_0003",9
"HEK293FT","NT_HEK293FT_0004",6
"HEK293FT","NT_HEK293FT_0005",4
"HEK293FT","NT_HEK293FT_0006",6
"HEK293FT","NT_HEK293FT_0007",6
"HEK293FT","NT_HEK293FT_0008",4
"HEK293FT","NT_HEK293FT_0009",8
"HEK293FT","NT_HEK293FT_0010",8
"HEK293FT","NT_HEK293FT_0011",7
"HEK293FT","NT_HEK293FT_0012",5
"HEK293FT","NT_HEK293FT_0013",7
"HEK293FT","NT_HEK293FT_0014",6
"HEK293FT","NT_HEK293FT_0015",4
"HEK293FT","NT_HEK293FT_0016",6
"HEK293FT","NT_HEK293FT_0017",6
"HEK293FT","NT_HEK293FT_0018",7
"HEK293FT","NT_HEK293FT_0019",6
"HEK293FT","NT_HEK293FT_0020",6
"HEK293FT","NT_HEK293FT_0021",5
"HEK293FT","NT_HEK293FT_0022",8
"HEK293FT","NT_HEK293FT_0023",7
"HEK293FT","NT_HEK293FT_0024",7
"HEK293FT","NT_HEK293FT_0025",7
"HEK293FT","NT_HEK293FT_0026",5
"HEK293FT","NT_HEK293FT_0027",6
"HEK293FT","NT_HEK293FT_0028",6
"HEK293FT","NT_HEK293FT_0029",4
"HEK293FT","NT_HEK293FT_0030",4
"HEK293FT","NT_HEK293FT_0031",7
"HEK293FT","NT_HEK293FT_0032",5
"HEK293FT","NT_HEK293FT_0033",7
"HEK293FT","NT_HEK293FT_0034",5
"HEK293FT","NT_HEK293FT_0035",5
"HEK293FT","NT_HEK293FT_0036",6
"HEK293FT","NT_HEK293FT_0037",9
"HEK293FT","NT_HEK293FT_0038",5
"HEK293FT","NT_HEK293FT_0039",7
"HEK293FT","NT_HEK293FT_0040",5
"HEK293FT","NT_HEK293FT_0041",4
"HEK293FT","NT_HEK293FT_0042",5
"HEK293FT","NT_HEK293FT_0043",6
"HEK293FT","NT_HEK293FT_0044",5
"HEK293FT","NT_HEK293FT_0045",7
"HEK293FT","NT_HEK293FT_0046",6
"HEK293FT","NT_HEK293FT_0047",6
"HEK293FT","NT_HEK293FT_0048",5
"HEK293FT","NT_HEK293FT_0049",6
"HEK293FT","NT_HEK293FT_0050",5
"HEK293FT","NT_HEK293FT_0051",7
"HEK293FT","NT_HEK293FT_0052",9
"HEK293FT","NT_HEK293FT_0053",7
"HEK293FT","NT_HEK293FT_0054",5
"HEK293FT","NT_HEK293FT_0055",4
"HEK293FT","NT_HEK293FT_0056",6
"HEK293FT","NT_HEK293FT_0057",7
"HEK293FT","NT_HEK293FT_0058",6
"HEK293FT","NT_HEK293FT_0059",6
"HEK293FT","NT_HEK293FT_0060",5
"HEK293FT","NT_HEK293FT_0061",8
"HEK293FT","NT_HEK293FT_0062",5
"HEK293FT","NT_HEK293FT_0063",8
"HEK293FT","NT_HEK293FT_0064",5
"HEK293FT","NT_HEK293FT_0065",5
"HEK293FT","NT_HEK293FT_0066",6
"HEK293FT","NT_HEK293FT_0067",7
"HEK293FT","NT_HEK293FT_0068",7
"HEK293FT","NT_HEK293FT_0069",6
"HEK293FT","NT_HEK293FT_0070",5
"HEK293FT","NT_HEK293FT_0071",8
"HEK293FT","NT_HEK293FT_0072",6
"HEK293FT","NT_HEK293FT_0073",5
"HEK293FT","NT_HEK293FT_0074",6
"HEK293FT","NT_HEK293FT_0075",9
"HEK293FT","NT_HEK293FT_0076",3
"HEK293FT","NT_HEK293FT_0077",6
"HEK293FT","NT_HEK293FT_0078",6
"HEK293FT","NT_HEK293FT_0079",7
"HEK293FT","NT_HEK293FT_0080",6
"HEK293FT","NT_HEK293FT_0081",6
"HEK293FT","NT_HEK293FT_0082",6
"HEK293FT","NT_HEK293FT_0083",5
"HEK293FT","NT_HEK293FT_0084",5
"HEK293FT","NT_HEK293FT_0085",5
"HEK293FT","NT_HEK293FT_0086",7
"HEK293FT","NT_HEK293FT_0087",7
"HEK293FT","NT_HEK293FT_0088",5
"HEK293FT","NT_HEK293FT_0089",8
"HEK293FT","NT_HEK293FT_0090",8
"HEK293FT","NT_HEK293FT_0091",8
"HEK293FT","NT_HEK293FT_0092",5
"HEK293FT","NT_HEK293FT_0093",6
"HEK293FT","NT_HEK293FT_0094",6
"HEK293FT","NT_HEK293FT_0095",4
"HEK293FT","NT_HEK293FT_0096",6
"HEK293FT","NT_HEK293FT_0097",4
"HEK293FT","NT_HEK293FT_0098",5
"HEK293FT","NT_HEK293FT_0099",6
"HEK293FT","NT_HEK293FT_0100",6
"HEK293FT","NT_HEK293FT_0101",6
"HEK293FT","NT_HEK293FT_0102",5
"HEK293FT","NT_HEK293FT_0103",9
"HEK293FT","NT_HEK293FT_0104",7
"HEK293FT","NT_HEK293FT_0105",9
"HEK293FT","NT_HEK293FT_0106",7
"HEK293FT","NT_HEK293FT_0107",7
"HEK293FT","NT_HEK293FT_0108",9
"HEK293FT","NT_HEK293FT_0109",6
"HEK293FT","NT_HEK293FT_0110",5
"HEK293FT","NT_HEK293FT_0111",4
"HEK293FT","NT_HEK293FT_0112",9
"HEK293FT","NT_HEK293FT_0113",8
"HEK293FT","NT_HEK293FT_0114",8
"HEK293FT","NT_HEK293FT_0115",6
"HEK293FT","NT_HEK293FT_0116",6
"HEK293FT","NT_HEK293FT_0117",6
"HEK293FT","NT_HEK293FT_0118",6
"HEK293FT","NT_HEK293FT_0119",7
"HEK293FT","NT_HEK293FT_0120",3
"HEK293FT","NT_HEK293FT_0121",8
"HEK293FT","NT_HEK293FT_0122",4
"HEK293FT","NT_HEK293FT_0123",7
"HEK293FT","NT_HEK293FT_0124",6
"HEK293FT","NT_HEK293FT_0125",6
"HEK293FT","NT_HEK293FT_0126",6
"HEK293FT","NT_HEK293FT_0127",5
"HEK293FT","NT_HEK293FT_0128",9
"HEK293FT","NT_HEK293FT_0129",6
"HEK293FT","NT_HEK293FT_0130",7
"HEK293FT","NT_HEK293FT_0131",7
"HEK293FT","NT_HEK293FT_0132",8
"HEK293FT","NT_HEK293FT_0133",8
"HEK293FT","NT_HEK293FT_0134",6
"HEK293FT","NT_HEK293FT_0135",4
"HEK293FT","NT_HEK293FT_0136",6
"HEK293FT","NT_HEK293FT_0137",5
"HEK293FT","NT_HEK293FT_0138",9
"HEK293FT","NT_HEK293FT_0139",7
"HEK293FT","NT_HEK293FT_0140",4
"HEK293FT","NT_HEK293FT_0141",8
"HEK293FT","NT_HEK293FT_0142",8
"HEK293FT","NT_HEK293FT_0143",7
"HEK293FT","NT_HEK293FT_0144",7
"HEK293FT","NT_HEK293FT_0145",3
"HEK293FT","NT_HEK293FT_0146",4
"HEK293FT","NT_HEK293FT_0147",6
"HEK293FT","NT_HEK293FT_0148",8
"HEK293FT","NT_HEK293FT_0149",4
"HEK293FT","NT_HEK293FT_0150",6
"HEK293FT","NT_HEK293FT_0151",7
"HEK293FT","NT_HEK293FT_0152",4
"HEK293FT","NT_HEK293FT_0153",7
"HEK293FT","NT_HEK293FT_0154",5
"HEK293FT","NT_HEK293FT_0155",9
"HEK293FT","NT_HEK293FT_0156",6
"HEK293FT","NT_HEK293FT_0157",9
"HEK293FT","NT_HEK293FT_0158",5
"HEK293FT","NT_HEK293FT_0159",4
"MDA-MB-231","NT_MDAMB231_0001",8
"MDA-MB-231","NT_MDAMB231_0002",6
"MDA-MB-231","NT_MDAMB231_0003",7
"MDA-MB-231","NT_MDAMB231_0004",5
"MDA-MB-231","NT_MDAMB231_0005",9
"MDA-MB-231","NT_MDAMB231_0006",6
"MDA-MB-231","NT_MDAMB231_0007",8
"MDA-MB-231","NT_MDAMB231_0008",8
"MDA-MB-231","NT_MDAMB231_0009",7
"MDA-MB-231","NT_MDAMB231_0010",5
"MDA-MB-231","NT_MDAMB231_0011",8
"MDA-MB-231","NT_MDAMB231_0012",5
"MDA-MB-231","NT_MDAMB231_0013",7
"MDA-MB-231","NT_MDAMB231_0014",6
"MDA-MB-231","NT_MDAMB231_0015",6
"MDA-MB-231","NT_MDAMB231_0016",7
"MDA-MB-231","NT_MDAMB231_0017",7
"MDA-MB-231","NT_MDAMB231_0018",6
"MDA-MB-231","NT_MDAMB231_0019",7
"MDA-MB-231","NT_MDAMB231_0020",9
"MDA-MB-231","NT_MDAMB231_0021",6
"MDA-MB-231","NT_MDAMB231_0022",7
"MDA-MB-231","NT_MDAMB231_0023",5
"MDA-MB-231","NT_MDAMB231_0024",6
"MDA-MB-231","NT_MDAMB231_0025",6
"MDA-MB-231","NT_MDAMB231_0026",7
"MDA-MB-231","NT_MDAMB231_0027",6
"MDA-MB-231","NT_MDAMB231_0028",5
"MDA-MB-231","NT_MDAMB231_0029",7
"MDA-MB-231","NT_MDAMB231_0030",6
"MDA-MB-231","NT_MDAMB231_0031",6
"MDA-MB-231","NT_MDAMB231_0032",9
"MDA-MB-231","NT_MDAMB231_0033",8
"MDA-MB-231","NT_MDAMB231_0034",6
"MDA-MB-231","NT_MDAMB231_0035",7
"MDA-MB-231","NT_MDAMB231_0036",7
"MDA-MB-231","NT_MDAMB231_0037",7
"MDA-MB-231","NT_MDAMB231_0038",9
"MDA-MB-231","NT_MDAMB231_0039",6
"MDA-MB-231","NT_MDAMB231_0040",9
"MDA-MB-231","NT_MDAMB231_0041",5
"MDA-MB-231","NT_MDAMB231_0042",6
"MDA-MB-231","NT_MDAMB231_0043",4
"MDA-MB-231","NT_MDAMB231_0044",5
"MDA-MB-231","NT_MDAMB231_0045",4
"MDA-MB-231","NT_MDAMB231_0046",8
"MDA-MB-231","NT_MDAMB231_0047",6
"MDA-MB-231","NT_MDAMB231_0048",4
"MDA-MB-231","NT_MDAMB231_0049",5
"MDA-MB-231","NT_MDAMB231_0050",9
"MDA-MB-231","NT_MDAMB231_0051",8
"MDA-MB-231","NT_MDAMB231_0052",7
"MDA-MB-231","NT_MDAMB231_0053",4
"MDA-MB-231","NT_MDAMB231_0054",7
"MDA-MB-231","NT_MDAMB231_0055",5
"MDA-MB-231","NT_MDAMB231_0056",9
"MDA-MB-231","NT_MDAMB231_0057",6
"MDA-MB-231","NT_MDAMB231_0058",7
"MDA-MB-231","NT_MDAMB231_0059",9
"MDA-MB-231","NT_MDAMB231_0060",8
"MDA-MB-231","NT_MDAMB231_0061",9
"MDA-MB-231","NT_MDAMB231_0062",6
"MDA-MB-231","NT_MDAMB231_0063",9
"MDA-MB-231","NT_MDAMB231_0064",6
"MDA-MB-231","NT_MDAMB231_0065",4
"MDA-MB-231","NT_MDAMB231_0066",5
"MDA-MB-231","NT_MDAMB231_0067",6
"MDA-MB-231","NT_MDAMB231_0068",8
"MDA-MB-231","NT_MDAMB231_0069",5
"MDA-MB-231","NT_MDAMB231_0070",6
"MDA-MB-231","NT_MDAMB231_0071",6
"MDA-MB-231","NT_MDAMB231_0072",5
"MDA-MB-231","NT_MDAMB231_0073",7
"MDA-MB-231","NT_MDAMB231_0074",8
"MDA-MB-231","NT_MDAMB231_0075",9
"MDA-MB-231","NT_MDAMB231_0076",5
"MDA-MB-231","NT_MDAMB231_0077",6
"MDA-MB-231","NT_MDAMB231_0078",6
"MDA-MB-231","NT_MDAMB231_0079",6
"MDA-MB-231","NT_MDAMB231_0080",8
"MDA-MB-231","NT_MDAMB231_0081",6
"MDA-MB-231","NT_MDAMB231_0082",5
"MDA-MB-231","NT_MDAMB231_0083",8
"MDA-MB-231","NT_MDAMB231_0084",5
"MDA-MB-231","NT_MDAMB231_0085",5
"MDA-MB-231","NT_MDAMB231_0086",6
"MDA-MB-231","NT_MDAMB231_0087",5
"MDA-MB-231","NT_MDAMB231_0088",4
"MDA-MB-231","NT_MDAMB231_0089",7
"MDA-MB-231","NT_MDAMB231_0090",8
"MDA-MB-231","NT_MDAMB231_0091",6
"MDA-MB-231","NT_MDAMB231_0092",6
"MDA-MB-231","NT_MDAMB231_0093",5
"MDA-MB-231","NT_MDAMB231_0094",5
"MDA-MB-231","NT_MDAMB231_0095",6
"MDA-MB-231","NT_MDAMB231_0096",4
"MDA-MB-231","NT_MDAMB231_0097",9
"MDA-MB-231","NT_MDAMB231_0098",4
"MDA-MB-231","NT_MDAMB231_0099",8
"MDA-MB-231","NT_MDAMB231_0100",6
"MDA-MB-231","NT_MDAMB231_0101",5
"MDA-MB-231","NT_MDAMB231_0102",9
"MDA-MB-231","NT_MDAMB231_0103",6
"MDA-MB-231","NT_MDAMB231_0104",9
"MDA-MB-231","NT_MDAMB231_0105",6
"MDA-MB-231","NT_MDAMB231_0106",8
"MDA-MB-231","NT_MDAMB231_0107",6
"MDA-MB-231","NT_MDAMB231_0108",7
"MDA-MB-231","NT_MDAMB231_0109",8
"MDA-MB-231","NT_MDAMB231_0110",5
"MDA-MB-231","NT_MDAMB231_0111",6
"MDA-MB-231","NT_MDAMB231_0112",5
"MDA-MB-231","NT_MDAMB231_0113",5
"MDA-MB-231","NT_MDAMB231_0114",6
"MDA-MB-231","NT_MDAMB231_0115",8
"MDA-MB-231","NT_MDAMB231_0116",5
"MDA-MB-231","NT_MDAMB231_0117",6
"MDA-MB-231","NT_MDAMB231_0118",6
"MDA-MB-231","NT_MDAMB231_0119",6
"MDA-MB-231","NT_MDAMB231_0120",5
"MDA-MB-231","NT_MDAMB231_0121",6
"MDA-MB-231","NT_MDAMB231_0122",9
"MDA-MB-231","NT_MDAMB231_0123",5
"MDA-MB-231","NT_MDAMB231_0124",9
"MDA-MB-231","NT_MDAMB231_0125",6
"MDA-MB-231","NT_MDAMB231_0126",6
"MDA-MB-231","NT_MDAMB231_0127",10
"MDA-MB-231","NT_MDAMB231_0128",5
"MDA-MB-231","NT_MDAMB231_0129",5
"MDA-MB-231","NT_MDAMB231_0130",4
"MDA-MB-231","NT_MDAMB231_0131",8
"MDA-MB-231","NT_MDAMB231_0132",8
"MDA-MB-231","NT_MDAMB231_0133",7
"MDA-MB-231","NT_MDAMB231_0134",5
"MDA-MB-231","NT_MDAMB231_0135",6
"MDA-MB-231","NT_MDAMB231_0136",8
"MDA-MB-231","NT_MDAMB231_0137",6
"MDA-MB-231","NT_MDAMB231_0138",7
"MDA-MB-231","NT_MDAMB231_0139",6
"MDA-MB-231","NT_MDAMB231_0140",6
"MDA-MB-231","NT_MDAMB231_0141",6
"MDA-MB-231","NT_MDAMB231_0142",8
"MDA-MB-231","NT_MDAMB231_0143",6
"MDA-MB-231","NT_MDAMB231_0144",5
"MDA-MB-231","NT_MDAMB231_0145",5
"MDA-MB-231","NT_MDAMB231_0146",5
"MDA-MB-231","NT_MDAMB231_0147",8
"MDA-MB-231","NT_MDAMB231_0148",5
"MDA-MB-231","NT_MDAMB231_0149",6
"MDA-MB-231","NT_MDAMB231_0150",6
"MDA-MB-231","NT_MDAMB231_0151",6
"MDA-MB-231","NT_MDAMB231_0152",8
"MDA-MB-231","NT_MDAMB231_0153",6
"MDA-MB-231","NT_MDAMB231_0154",5
"MDA-MB-231","NT_MDAMB231_0155",7
"MDA-MB-231","NT_MDAMB231_0156",2
"THP1","NT_THP1_0001",6
"THP1","NT_THP1_0002",8
"THP1","NT_THP1_0003",8
"THP1","NT_THP1_0004",9
"THP1","NT_THP1_0005",6
"THP1","NT_THP1_0006",5
"THP1","NT_THP1_0007",4
"THP1","NT_THP1_0008",9
"THP1","NT_THP1_0009",8
"THP1","NT_THP1_0010",8
"THP1","NT_THP1_0011",6
"THP1","NT_THP1_0012",8
"THP1","NT_THP1_0013",5
"THP1","NT_THP1_0014",9
"THP1","NT_THP1_0015",5
"THP1","NT_THP1_0016",4
"THP1","NT_THP1_0017",6
"THP1","NT_THP1_0018",6
"THP1","NT_THP1_0019",6
"THP1","NT_THP1_0020",5
"THP1","NT_THP1_0021",8
"THP1","NT_THP1_0022",5
"THP1","NT_THP1_0023",10
"THP1","NT_THP1_0024",5
"THP1","NT_THP1_0025",5
"THP1","NT_THP1_0026",5
"THP1","NT_THP1_0027",6
"THP1","NT_THP1_0028",4
"THP1","NT_THP1_0029",6
"THP1","NT_THP1_0030",8
"THP1","NT_THP1_0031",5
"THP1","NT_THP1_0032",6
"THP1","NT_THP1_0033",9
"THP1","NT_THP1_0034",8
"THP1","NT_THP1_0035",5
"THP1","NT_THP1_0036",4
"THP1","NT_THP1_0037",6
"THP1","NT_THP1_0038",6
"THP1","NT_THP1_0039",4
"THP1","NT_THP1_0040",5
"THP1","NT_THP1_0041",4
"THP1","NT_THP1_0042",5
"THP1","NT_THP1_0043",9
"THP1","NT_THP1_0044",5
"THP1","NT_THP1_0045",9
"THP1","NT_THP1_0046",6
"THP1","NT_THP1_0047",8
"THP1","NT_THP1_0048",5
"THP1","NT_THP1_0049",6
"THP1","NT_THP1_0050",6
"THP1","NT_THP1_0051",6
"THP1","NT_THP1_0052",6
"THP1","NT_THP1_0053",6
"THP1","NT_THP1_0054",8
"THP1","NT_THP1_0055",6
"THP1","NT_THP1_0056",9
"THP1","NT_THP1_0057",8
"THP1","NT_THP1_0058",4
"THP1","NT_THP1_0059",8
