"cell_line","method","control_scale"
"HAP1","BARCS",1.09849611731071
"HAP1","DESeq2",1.18348818469449
"HAP1","edgeR-QL",1.15969271144764
"HAP1","limma-voom",1.15602952667704
"HAP1","MAGeCK-MLE",1.16742514396042
"HEK293FT","BARCS",1.0503358418788
"HEK293FT","DESeq2",1.09784041139842
"HEK293FT","edgeR-QL",1.06807112548514
"HEK293FT","limma-voom",1.03653591624926
"HEK293FT","MAGeCK-MLE",1.24657481341172
"MDA-MB-231","BARCS",1.45600975337107
"MDA-MB-231","DESeq2",1.5856747963517
"MDA-MB-231","edgeR-QL",1.50967720066638
"MDA-MB-231","limma-voom",1.51643301997797
"MDA-MB-231","MAGeCK-MLE",1.24597467808014
"THP1","BARCS",1.37579857898405
"THP1","DESeq2",1.45502900234718
"THP1","edgeR-QL",1.35415814813622
"THP1","limma-voom",1.39809133685774
"THP1","MAGeCK-MLE",1.14444498090325
