"cell_line","method_1","method_2","spearman"
"HAP1","Liang RRA","DESeq2",0.778817564035251
"HAP1","Liang RRA","MAGeCK-MLE",0.854355450205581
"HAP1","Liang RRA","MAGeCK-RRA",0.761520797205313
"HAP1","Liang RRA","BARCS",0.777102531460811
"HAP1","Liang RRA","limma-voom",0.778000293772794
"HAP1","Liang RRA","edgeR-QL",0.778848095825917
"HAP1","DESeq2","MAGeCK-MLE",0.872172024119611
"HAP1","DESeq2","MAGeCK-RRA",0.823139807229276
"HAP1","DESeq2","BARCS",0.990929200647233
"HAP1","DESeq2","limma-voom",0.995085692669857
"HAP1","DESeq2","edgeR-QL",0.999988233726041
"HAP1","MAGeCK-MLE","MAGeCK-RRA",0.874981683660673
"HAP1","MAGeCK-MLE","BARCS",0.874478880089907
"HAP1","MAGeCK-MLE","limma-voom",0.874362169955748
"HAP1","MAGeCK-MLE","edgeR-QL",0.87230505422468
"HAP1","MAGeCK-RRA","BARCS",0.824021769569055
"HAP1","MAGeCK-RRA","limma-voom",0.824268438862478
"HAP1","MAGeCK-RRA","edgeR-QL",0.823225098620305
"HAP1","BARCS","limma-voom",0.998942616590342
"HAP1","BARCS","edgeR-QL",0.991262765098904
"HAP1","limma-voom","edgeR-QL",0.995357893882009
"HEK293FT","Liang RRA","DESeq2",0.74566533834165
"HEK293FT","Liang RRA","MAGeCK-MLE",0.843526260334883
"HEK293FT","Liang RRA","MAGeCK-RRA",0.724013469691709
"HEK293FT","Liang RRA","BARCS",0.743603909109706
"HEK293FT","Liang RRA","limma-voom",0.74451425977496
"HEK293FT","Liang RRA","edgeR-QL",0.74565655510342
"HEK293FT","DESeq2","MAGeCK-MLE",0.845631361906623
"HEK293FT","DESeq2","MAGeCK-RRA",0.794033990353287
"HEK293FT","DESeq2","BARCS",0.993861459415933
"HEK293FT","DESeq2","limma-voom",0.99709219894461
"HEK293FT","DESeq2","edgeR-QL",0.999994997625736
"HEK293FT","MAGeCK-MLE","MAGeCK-RRA",0.849788678689916
"HEK293FT","MAGeCK-MLE","BARCS",0.848164416627977
"HEK293FT","MAGeCK-MLE","limma-voom",0.847558969721628
"HEK293FT","MAGeCK-MLE","edgeR-QL",0.845691890027546
"HEK293FT","MAGeCK-RRA","BARCS",0.795882359067485
"HEK293FT","MAGeCK-RRA","limma-voom",0.795123818160164
"HEK293FT","MAGeCK-RRA","edgeR-QL",0.794094356362308
"HEK293FT","BARCS","limma-voom",0.999142173040625
"HEK293FT","BARCS","edgeR-QL",0.994075866463317
"HEK293FT","limma-voom","edgeR-QL",0.997250200455403
"K562","Liang RRA","DESeq2",0.78920733504767
"K562","Liang RRA","MAGeCK-MLE",0.879371662163589
"K562","Liang RRA","MAGeCK-RRA",0.78931478569685
"K562","Liang RRA","BARCS",0.789213990453789
"K562","Liang RRA","limma-voom",0.789450132722853
"K562","Liang RRA","edgeR-QL",0.789209074276368
"K562","DESeq2","MAGeCK-MLE",0.882030385921984
"K562","DESeq2","MAGeCK-RRA",0.999972492814916
"K562","DESeq2","BARCS",0.999999815941501
"K562","DESeq2","limma-voom",0.997874492494614
"K562","DESeq2","edgeR-QL",0.999999944508234
"K562","MAGeCK-MLE","MAGeCK-RRA",0.882086476364369
"K562","MAGeCK-MLE","BARCS",0.88202801264383
"K562","MAGeCK-MLE","limma-voom",0.88159615640414
"K562","MAGeCK-MLE","edgeR-QL",0.882029555074063
"K562","MAGeCK-RRA","BARCS",0.999972782150282
"K562","MAGeCK-RRA","limma-voom",0.997826164442756
"K562","MAGeCK-RRA","edgeR-QL",0.999973579258467
"K562","BARCS","limma-voom",0.997875001888645
"K562","BARCS","edgeR-QL",0.999999790669124
"K562","limma-voom","edgeR-QL",0.997872280994881
"MDA-MB-231","Liang RRA","DESeq2",0.816320490045824
"MDA-MB-231","Liang RRA","MAGeCK-MLE",0.895908349954849
"MDA-MB-231","Liang RRA","MAGeCK-RRA",0.8133160377226
"MDA-MB-231","Liang RRA","BARCS",0.815060150248648
"MDA-MB-231","Liang RRA","limma-voom",0.815645528062018
"MDA-MB-231","Liang RRA","edgeR-QL",0.816305768678854
"MDA-MB-231","DESeq2","MAGeCK-MLE",0.895609961323497
"MDA-MB-231","DESeq2","MAGeCK-RRA",0.871037635426187
"MDA-MB-231","DESeq2","BARCS",0.996310354683366
"MDA-MB-231","DESeq2","limma-voom",0.998118077186674
"MDA-MB-231","DESeq2","edgeR-QL",0.999997450769413
