"cell_line","day","processed_replicate","sample","processed_column","input_scale","mean_absolute_rounding","maximum_absolute_rounding"
"HAP1",0,1,"HAP1_Day00_R1","Day0 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.25000945589912,0.499999093355996
"HAP1",0,2,"HAP1_Day00_R2","Day0 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.25000945589912,0.499999093355996
"HAP1",14,1,"HAP1_Day14_R1","Day14 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.25000945589912,0.499999093355996
"HAP1",14,2,"HAP1_Day14_R2","Day14 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.25000945589912,0.499999093355996
"HEK293FT",0,1,"HEK293FT_Day00_R1","Day0 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.250393057145619,0.499994853884004
"HEK293FT",0,2,"HEK293FT_Day00_R2","Day0 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.250393057145619,0.499994853884004
"HEK293FT",14,1,"HEK293FT_Day14_R1","Day14 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.250393057145619,0.499994853884004
"HEK293FT",14,2,"HEK293FT_Day14_R2","Day14 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.250393057145619,0.499994853884004
"K562",0,2,"K562_Day00_R2","Day0 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.249965864375834,0.499999889550963
"K562",14,1,"K562_Day14_R1","Day14 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.249965864375834,0.499999889550963
"K562",14,2,"K562_Day14_R2","Day14 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.249965864375834,0.499999889550963
"MDA-MB-231",0,1,"MDA-MB-231_Day00_R1","Day0 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.250003511096006,0.499995913919975
"MDA-MB-231",0,2,"MDA-MB-231_Day00_R2","Day0 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.250003511096006,0.499995913919975
"MDA-MB-231",14,1,"MDA-MB-231_Day14_R1","Day14 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.250003511096006,0.499995913919975
"MDA-MB-231",14,2,"MDA-MB-231_Day14_R2","Day14 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.250003511096006,0.499995913919975
"THP1",0,1,"THP1_Day00_R1","Day0 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.250229390090414,0.499999036500412
"THP1",0,2,"THP1_Day00_R2","Day0 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.250229390090414,0.499999036500412
"THP1",14,1,"THP1_Day14_R1","Day14 Replicate 1 (Count)","rounded_normalized_ComBat_pseudocount",0.250229390090414,0.499999036500412
"THP1",14,2,"THP1_Day14_R2","Day14 Replicate 2 (Count)","rounded_normalized_ComBat_pseudocount",0.250229390090414,0.499999036500412
