"cell_line","method","positives","nulls","auroc","average_precision","recall_at_5pct_null_fpr","null_p_lt_0_05","null_calibration_error","essential_fdr_0_10_recall"
"HAP1","BARCS",60,1570,0.967929936305732,0.885847949407724,0.9,0.0624203821656051,0.0124203821656051,0.783333333333333
"HEK293FT","BARCS",60,1413,0.89274593064402,0.662483965646701,0.683333333333333,0.0290162774239207,0.0209837225760793,0.266666666666667
"MDA-MB-231","BARCS",60,1785,0.979495798319328,0.942985128989981,0.95,0.0745098039215686,0.0245098039215686,0.866666666666667
"THP1","BARCS",60,1915,0.930113141862489,0.859862390253686,0.916666666666667,0.0913838120104439,0.0413838120104439,0.716666666666667
"HAP1","DESeq2",60,1570,0.971528662420382,0.90612263318397,0.9,0.13312101910828,0.0831210191082803,0.883333333333333
"HEK293FT","DESeq2",60,1413,0.894739325312574,0.727592460822981,0.75,0.0403397027600849,0.00966029723991508,0.483333333333333
"MDA-MB-231","DESeq2",60,1785,0.987292250233427,0.957076360236562,0.966666666666667,0.2,0.15,0.95
"THP1","DESeq2",60,1915,0.934186248912097,0.904781009345981,0.9,0.146736292428198,0.0967362924281984,0.883333333333333
"HAP1","edgeR-QL",60,1570,0.971772823779193,0.905084651576387,0.9,0.117197452229299,0.0671974522292994,0.866666666666667
"HEK293FT","edgeR-QL",60,1413,0.896673743807502,0.733654390906177,0.75,0.0396319886765747,0.0103680113234253,0.516666666666667
"MDA-MB-231","edgeR-QL",60,1785,0.987983193277311,0.958738198005999,0.966666666666667,0.177591036414566,0.127591036414566,0.95
"THP1","edgeR-QL",60,1915,0.936692776327241,0.90044687797304,0.9,0.132114882506527,0.0821148825065274,0.883333333333333
"HAP1","limma-voom",60,1570,0.971677282377919,0.903749474594925,0.9,0.121656050955414,0.071656050955414,0.866666666666667
"HEK293FT","limma-voom",60,1413,0.901615947157348,0.743282126610516,0.733333333333333,0.0389242745930644,0.0110757254069356,0.55
"MDA-MB-231","limma-voom",60,1785,0.988160597572362,0.956691249066741,0.966666666666667,0.179271708683473,0.129271708683473,0.95
"THP1","limma-voom",60,1915,0.937380330722367,0.902167507874665,0.916666666666667,0.134725848563969,0.0847258485639687,0.883333333333333
"HAP1","MAGeCK-MLE",60,1570,0.962887473460722,0.892881251831595,0.883333333333333,0.128025477707006,0.0780254777070064,0.883333333333333
"HEK293FT","MAGeCK-MLE",60,1413,0.909389006841236,0.75255217214895,0.783333333333333,0.0651096956829441,0.0151096956829441,0.5
"MDA-MB-231","MAGeCK-MLE",60,1785,0.991792717086835,0.96017917716547,0.966666666666667,0.140056022408964,0.0900560224089636,0.966666666666667
"THP1","MAGeCK-MLE",60,1915,0.955953002610966,0.902646042614294,0.916666666666667,0.0950391644908616,0.0450391644908616,0.9
