"analysis_protocol","cell_line","input_scale","method","p_value_threshold","null_controls","false_positive_nulls","specificity"
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","BARCS",0.001,1570,0,1
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","BARCS",0.005,1570,4,0.997452229299363
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","BARCS",0.01,1570,6,0.996178343949045
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","BARCS",0.05,1570,68,0.956687898089172
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","BARCS",0.1,1570,150,0.904458598726115
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","BARCS",0.2,1570,319,0.796815286624204
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","MAGeCK-MLE",0.001,1570,3,0.998089171974522
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","MAGeCK-MLE",0.005,1570,14,0.991082802547771
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","MAGeCK-MLE",0.01,1570,32,0.979617834394904
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","MAGeCK-MLE",0.05,1570,165,0.894904458598726
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","MAGeCK-MLE",0.1,1570,298,0.810191082802548
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","MAGeCK-MLE",0.2,1570,521,0.668152866242038
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","edgeR-QL",0.001,1570,1,0.999363057324841
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","edgeR-QL",0.005,1570,11,0.992993630573248
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","edgeR-QL",0.01,1570,20,0.987261146496815
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","edgeR-QL",0.05,1570,108,0.931210191082803
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","edgeR-QL",0.1,1570,209,0.86687898089172
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","edgeR-QL",0.2,1570,376,0.760509554140127
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","DESeq2",0.001,1570,2,0.998726114649682
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","DESeq2",0.005,1570,7,0.995541401273885
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","DESeq2",0.01,1570,18,0.988535031847134
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","DESeq2",0.05,1570,93,0.940764331210191
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","DESeq2",0.1,1570,176,0.887898089171975
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","DESeq2",0.2,1570,344,0.780891719745223
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","limma-voom",0.001,1570,1,0.999363057324841
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","limma-voom",0.005,1570,10,0.993630573248408
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","limma-voom",0.01,1570,19,0.987898089171975
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","limma-voom",0.05,1570,112,0.928662420382166
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","limma-voom",0.1,1570,222,0.85859872611465
"liang-hap1-specificity-volcano-v2","HAP1","rounded_normalized_ComBat_pseudocount","limma-voom",0.2,1570,396,0.747770700636943
