"cell_line","gene","guide","sample","day","replicate","processed_count","library_size","counts_per_million"
"HAP1","Hum_XLOC_047119","gL_028460","HAP1_Day00_R1",0,1,1062,47033221,22.5797846164948
"HAP1","Hum_XLOC_047119","gL_028460","HAP1_Day00_R2",0,2,824,47628084,17.3007169467493
"HAP1","Hum_XLOC_047119","gL_028460","HAP1_Day07_R1",7,1,323,47538563,6.79448388038149
"HAP1","Hum_XLOC_047119","gL_028460","HAP1_Day07_R2",7,2,379,46985324,8.0663485474741
"HAP1","Hum_XLOC_047119","gL_028460","HAP1_Day14_R1",14,1,233,47672020,4.88756297719291
"HAP1","Hum_XLOC_047119","gL_028460","HAP1_Day14_R2",14,2,567,47047711,12.0515958789153
"THP1","Hum_XLOC_037359","gL_044332","THP1_Day00_R1",0,1,9568,324740258,29.4635474484349
"THP1","Hum_XLOC_037359","gL_044332","THP1_Day00_R2",0,2,10491,323380538,32.4416554715485
"THP1","Hum_XLOC_037359","gL_044332","THP1_Day07_R1",7,1,7833,315960693,24.7910584244731
"THP1","Hum_XLOC_037359","gL_044332","THP1_Day07_R2",7,2,7032,316201725,22.2389678614182
"THP1","Hum_XLOC_037359","gL_044332","THP1_Day14_R1",14,1,8562,311670945,27.4712806482491
"THP1","Hum_XLOC_037359","gL_044332","THP1_Day14_R2",14,2,6490,311757261,20.8174782495282
"MDA-MB-231","Hum_XLOC_047245","gL_028545","MDA-MB-231_Day00_R1",0,1,1500,132521648,11.3189054213995
"MDA-MB-231","Hum_XLOC_047245","gL_028545","MDA-MB-231_Day00_R2",0,2,2637,130745776,20.1689116136341
"MDA-MB-231","Hum_XLOC_047245","gL_028545","MDA-MB-231_Day07_R1",7,1,1474,125913892,11.7064128237732
"MDA-MB-231","Hum_XLOC_047245","gL_028545","MDA-MB-231_Day07_R2",7,2,825,125462082,6.5756919289766
"MDA-MB-231","Hum_XLOC_047245","gL_028545","MDA-MB-231_Day14_R1",14,1,787,121906122,6.45578734757882
"MDA-MB-231","Hum_XLOC_047245","gL_028545","MDA-MB-231_Day14_R2",14,2,1108,123905480,8.94230021141922
