"cell_line","gene","guide","method","effect","p_value"
"HAP1","Hum_XLOC_013346","gL_036790","BARCS",0.733363731972949,0.205232537243055
"HAP1","Hum_XLOC_013346","gL_036790","DESeq2",1.2456035657966,0.0100762374423159
"HAP1","Hum_XLOC_013346","gL_036790","edgeR-QL",1.23369943755668,0.0139938955055288
"HAP1","Hum_XLOC_013346","gL_036790","limma-voom",1.15646352659885,0.0116161919540176
"MDA-MB-231","Hum_XLOC_029247","gL_017527","BARCS",0.66548976687462,0.271380903634265
"MDA-MB-231","Hum_XLOC_029247","gL_017527","DESeq2",1.08901230900166,0.0119778162173185
"MDA-MB-231","Hum_XLOC_029247","gL_017527","edgeR-QL",1.0844588598792,0.0108230983458918
"MDA-MB-231","Hum_XLOC_029247","gL_017527","limma-voom",0.964756855538212,0.0142989923838194
"HEK293FT","Hum_XLOC_000540","gL_000389","BARCS",0.494093277926534,0.20478356519605
"HEK293FT","Hum_XLOC_000540","gL_000389","DESeq2",0.786054368347161,0.0137264643577166
"HEK293FT","Hum_XLOC_000540","gL_000389","edgeR-QL",0.783419151945628,0.0175329367427003
"HEK293FT","Hum_XLOC_000540","gL_000389","limma-voom",0.791016659331691,0.010428487276575
