"analysis_protocol","method","seed","guides","substantial_guides","held_out_controls","effect_spearman","auroc","average_precision","calls","directional_recall","realized_fdp","f1","held_out_control_call_rate","safe_harbor_call_rate","control_scale","guide_fit_seconds"
"simcrispr-interaction-v1","BARCS-original [library]",20250724,1843,555,150,0.73196210479703,0.740036036036036,0.915114445266791,11,0.0198198198198198,0,0.03886925795053,0,0,1.74864530724628,2.784
"simcrispr-interaction-v1","BARCS-moderated [library]",20250724,1843,555,150,0.73196210479703,0.841333333333333,0.95817555605289,3,0.00540540540540541,0,0.010752688172043,0,0,1.89538200639073,2.784
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250724,1843,555,150,0.731548847300084,0.951147147147147,0.987200030603015,370,0.664864864864865,0.0027027027027027,0.797837837837838,0.00666666666666667,0.045,1,2.784
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250724,1843,555,150,0.731548847300084,0.964720720720721,0.991375977798389,453,0.810810810810811,0,0.898809523809524,0,0.04,1,2.784
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250724,1843,555,150,0.731418915788205,0.951591591591592,0.987406333075575,374,0.67027027027027,0.0053475935828877,0.800861141011841,0.0133333333333333,0.05,1,2.784
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250724,1843,555,150,0.731418915788205,0.963747747747748,0.991136622313848,453,0.810810810810811,0,0.898809523809524,0,0.035,1,2.784
"simcrispr-interaction-v1","MAGeCK-MLE [non-targeting]",20250724,1843,555,150,0.745691500582079,0.865309309309309,0.96580183356659,2,0.0036036036036036,0,0.00718132854578097,0,0,NA,2.784
"simcrispr-interaction-v1","BARCS-original [library]",20250725,1839,532,150,0.662834587218297,0.852105263157895,0.961934821431028,292,0.548872180451128,0,0.70873786407767,0,0,2.37351691335291,2.629
"simcrispr-interaction-v1","BARCS-moderated [library]",20250725,1839,532,150,0.662834587218297,0.870100250626566,0.967961100247566,274,0.515037593984962,0,0.679900744416873,0,0,2.76182550275256,2.629
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250725,1839,532,150,0.659996756178782,0.955701754385965,0.988412214959226,470,0.847744360902256,0.0148936170212766,0.924151696606787,0.0466666666666667,0.095,1,2.629
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250725,1839,532,150,0.659996756178782,0.95750626566416,0.989116610211826,488,0.859022556390977,0.0245901639344262,0.933333333333333,0.08,0.115,1,2.629
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250725,1839,532,150,0.659940701755865,0.946353383458647,0.986196028574649,469,0.843984962406015,0.0149253731343284,0.923076923076923,0.0466666666666667,0.035,1.02719139139782,2.629
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250725,1839,532,150,0.659940701755865,0.94859649122807,0.987025526945345,475,0.849624060150376,0.0126315789473684,0.931479642502482,0.04,0.03,1.12431910600731,2.629
"simcrispr-interaction-v1","MAGeCK-MLE [non-targeting]",20250725,1839,532,150,0.666474391016363,0.831152882205514,0.954757002580765,1,0.0018796992481203,0,0.00375234521575985,0,0,NA,2.629
"simcrispr-interaction-v1","BARCS-original [library]",20250726,1835,549,150,0.674727507468308,0.853236187006679,0.960856575501528,309,0.5591985428051,0.00647249190938511,0.715617715617716,0.0133333333333333,0.005,1.83537867600172,2.923
"simcrispr-interaction-v1","BARCS-moderated [library]",20250726,1835,549,150,0.674727507468308,0.886593806921676,0.971638950220877,332,0.604735883424408,0,0.753688989784336,0,0,2.06864841554258,2.923
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250726,1835,549,150,0.669508788442738,0.942586520947177,0.985291327405217,445,0.794171220400729,0.00674157303370787,0.88933601609658,0.02,0.07,1,2.923
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250726,1835,549,150,0.669508788442738,0.949751062537948,0.987561755020004,479,0.845173041894353,0.0125260960334029,0.92023346303502,0.04,0.085,1,2.923
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250726,1835,549,150,0.669638625226629,0.937061323618701,0.983264443271681,438,0.770491803278688,0.0228310502283105,0.867274569402229,0.0666666666666667,0.04,1.08695990842303,2.923
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250726,1835,549,150,0.669638625226629,0.946873102610807,0.986504577432869,470,0.830601092896175,0.0127659574468085,0.910696761530913,0.04,0.04,1.07797607042756,2.923
"simcrispr-interaction-v1","MAGeCK-MLE [non-targeting]",20250726,1835,549,150,0.680478132828015,0.865865209471767,0.965319732518892,2,0.00364298724954463,0,0.00725952813067151,0,0,NA,2.923
