"analysis_protocol","method","seed","guide","estimate"
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt2",0.184467090908477
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt4",0.199634113218099
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt10",0.0968749867751844
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt11",0.192703731295702
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt13",0.112875634355802
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt14",0.199429244164233
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt16",0.14182364529169
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt17",0.175320242603114
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt18",0.114834380021019
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt19",0.235250398300487
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt20",0.187074201632819
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt21",0.122276555238323
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt24",0.104739887976738
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt29",0.161894247608416
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt30",0.282356974039947
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt31",0.275556448590742
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt32",0.0950046326620191
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt34",0.241373063122959
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt36",0.113990924641378
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt37",0.21667843171462
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt41",0.0468110064068061
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt44",0.159965826690978
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt50",0.194200288290309
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt52",0.215956785929316
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt59",0.166168638005254
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt60",0.149273791261201
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt61",0.194730932265492
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt65",0.272656801213521
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt66",0.0652963858229293
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt69",0.171008070970221
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt71",0.173897196492021
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt72",0.30123836702632
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt74",0.187320891684954
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt75",0.125528740699667
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt77",0.231374960917935
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt80",0.0384370721539735
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt82",0.266947721594934
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt83",0.226842805596903
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt87",0.249360100771617
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt89",0.23969684102792
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt90",0.236627926008861
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt94",0.134650497574251
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt97",0.225445764147458
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt104",0.260346142079994
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt107",0.234952373728703
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt110",0.200191658132013
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt111",0.110471685117376
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt113",0.0438168780095872
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt114",0.266385079583146
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt115",0.223250052339527
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt116",0.0966363823771927
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt119",0.193282203535448
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt120",0.124496814198957
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt121",0.283016147947297
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt122",0.0961881226767118
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt125",0.144087930037583
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt127",0.057648609325521
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt128",0.0944862495039325
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt131",0.220167569966011
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt138",0.110135469100721
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt140",0.150073599573195
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt141",0.225498106630005
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt143",0.124995553193682
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt144",0.309111588918527
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt145",0.113875436753756
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt146",0.127308577308365
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt147",0.203265674589127
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt148",0.193987294380089
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt149",0.205600104687653
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt150",0.169645136317464
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt151",0.145144272693202
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt152",0.192033246225755
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt154",0.187244700000319
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt155",0.137209419931541
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt156",0.230379101269316
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt157",0.193050332579947
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt158",0.134203563674621
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt160",0.254099590701177
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt162",0.180201522955372
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt163",0.23566914044435
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt166",0.185597386578643
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt167",0.230831457918762
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt173",0.174112493020996
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt175",0.126185612217657
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt176",0.121463137674242
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt181",0.16724957141165
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt183",0.142856475862298
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt185",0.299066695454758
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt186",0.231210807378097
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt187",0.12427554527959
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt189",0.177639533787394
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt190",0.116529902295691
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt191",0.171172024610732
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt192",0.113861735393946
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt194",0.23906865061415
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt195",0.139661343644069
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt196",0.145512704876785
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt199",0.267637862868258
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt202",0.0915793148384581
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt205",0.189574082844496
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt208",0.20985496111578
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt210",0.0849688007462192
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt213",0.155877523832951
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt214",0.155396544175512
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt215",0.239639060306308
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt221",0.201065116271129
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt223",0.160103656582103
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt225",0.11013678644706
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt227",0.199561433954969
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt228",0.180771131340871
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt229",0.149768976076486
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt230",0.238914417448522
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt231",0.16985811157481
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt232",0.0587884593936761
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt234",0.150169277926027
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt238",0.228854644384354
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt241",0.0112639111383294
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt242",0.261225156526959
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt245",0.169288462015016
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt246",0.158213501821744
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt248",0.227637819350385
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt250",0.294354026788024
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt253",0.216537519061713
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt255",0.171057815293099
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt258",0.154241350230873
"simcrispr-interaction-v1","BARCS-original [library]",20250724,"ntgt259",0.223694381829182
