"analysis_protocol","method","seed","nominal_fdr","calls","realized_fdp","held_out_control_call_rate","safe_harbor_call_rate","f1"
"simcrispr-interaction-v1","BARCS-original [library]",20250724,1e-04,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-original [library]",20250724,0.001,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-original [library]",20250724,0.01,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-original [library]",20250724,0.05,5,0,0,0,0.0178571428571429
"simcrispr-interaction-v1","BARCS-original [library]",20250724,0.1,11,0,0,0,0.03886925795053
"simcrispr-interaction-v1","BARCS-original [library]",20250724,0.2,44,0,0,0,0.146911519198664
"simcrispr-interaction-v1","BARCS-moderated [library]",20250724,1e-04,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-moderated [library]",20250724,0.001,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-moderated [library]",20250724,0.01,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-moderated [library]",20250724,0.05,1,0,0,0,0.00359712230215827
"simcrispr-interaction-v1","BARCS-moderated [library]",20250724,0.1,3,0,0,0,0.010752688172043
"simcrispr-interaction-v1","BARCS-moderated [library]",20250724,0.2,4,0,0,0,0.0143112701252236
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250724,1e-04,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250724,0.001,4,0,0,0,0.0143112701252236
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250724,0.01,49,0,0,0,0.162251655629139
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250724,0.05,236,0,0,0.005,0.596713021491783
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250724,0.1,370,0.0027027027027027,0.00666666666666667,0.045,0.797837837837838
"simcrispr-interaction-v1","BARCS-original [non-targeting]",20250724,0.2,485,0.0206185567010309,0.0666666666666667,0.12,0.913461538461538
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250724,1e-04,1,0,0,0,0.00359712230215827
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250724,0.001,105,0,0,0,0.318181818181818
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250724,0.01,318,0,0,0,0.72852233676976
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250724,0.05,415,0,0,0.015,0.855670103092784
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250724,0.1,453,0,0,0.04,0.898809523809524
"simcrispr-interaction-v1","BARCS-moderated [non-targeting]",20250724,0.2,501,0.0119760479041916,0.04,0.1,0.9375
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250724,1e-04,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250724,0.001,4,0,0,0,0.0143112701252236
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250724,0.01,55,0,0,0,0.180327868852459
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250724,0.05,262,0,0,0.01,0.641370869033048
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250724,0.1,374,0.0053475935828877,0.0133333333333333,0.05,0.800861141011841
"simcrispr-interaction-v1","BARCS-original [safe-harbor]",20250724,0.2,482,0.020746887966805,0.0666666666666667,0.125,0.910318225650916
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250724,1e-04,0,0,0,0,0
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250724,0.001,131,0,0,0,0.381924198250729
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250724,0.01,322,0,0,0,0.734321550741163
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250724,0.05,413,0,0,0.02,0.853305785123967
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250724,0.1,453,0,0,0.035,0.898809523809524
"simcrispr-interaction-v1","BARCS-moderated [safe-harbor]",20250724,0.2,504,0.0158730158730159,0.0533333333333333,0.095,0.936732766761095
"simcrispr-interaction-v1","MAGeCK-MLE [non-targeting]",20250724,1e-04,2,0,0,0,0.00718132854578097
