"method","nominal_fdr","metric","runs","mean","sd","se"
"BARCS-moderated [library]",1e-04,"calls",3,0,0,0
"BARCS-moderated [library]",1e-04,"realized_fdp",3,0,0,0
"BARCS-moderated [library]",1e-04,"held_out_control_call_rate",3,0,0,0
"BARCS-moderated [library]",1e-04,"safe_harbor_call_rate",3,0,0,0
"BARCS-moderated [library]",1e-04,"f1",3,0,0,0
"BARCS-moderated [non-targeting]",1e-04,"calls",3,211,185.394174665765,107.037376649468
"BARCS-moderated [non-targeting]",1e-04,"realized_fdp",3,0,0,0
"BARCS-moderated [non-targeting]",1e-04,"held_out_control_call_rate",3,0,0,0
"BARCS-moderated [non-targeting]",1e-04,"safe_harbor_call_rate",3,0,0,0
"BARCS-moderated [non-targeting]",1e-04,"f1",3,0.491829959554127,0.427119083058601,0.246597317579909
"BARCS-moderated [safe-harbor]",1e-04,"calls",3,193.666666666667,169.959799168313,98.1263358012403
"BARCS-moderated [safe-harbor]",1e-04,"realized_fdp",3,0,0,0
"BARCS-moderated [safe-harbor]",1e-04,"held_out_control_call_rate",3,0,0,0
"BARCS-moderated [safe-harbor]",1e-04,"safe_harbor_call_rate",3,0,0,0
"BARCS-moderated [safe-harbor]",1e-04,"f1",3,0.465339515116391,0.40611365586073,0.234469828532776
"BARCS-original [library]",1e-04,"calls",3,0,0,0
"BARCS-original [library]",1e-04,"realized_fdp",3,0,0,0
"BARCS-original [library]",1e-04,"held_out_control_call_rate",3,0,0,0
"BARCS-original [library]",1e-04,"safe_harbor_call_rate",3,0,0,0
"BARCS-original [library]",1e-04,"f1",3,0,0,0
"BARCS-original [non-targeting]",1e-04,"calls",3,92.3333333333333,87.4890469335067,50.5118247982039
"BARCS-original [non-targeting]",1e-04,"realized_fdp",3,0,0,0
"BARCS-original [non-targeting]",1e-04,"held_out_control_call_rate",3,0,0,0
"BARCS-original [non-targeting]",1e-04,"safe_harbor_call_rate",3,0,0,0
"BARCS-original [non-targeting]",1e-04,"f1",3,0.269622922423632,0.249703250911342,0.144166239131188
"BARCS-original [safe-harbor]",1e-04,"calls",3,73.3333333333333,73.5005668912379,42.4355720802463
"BARCS-original [safe-harbor]",1e-04,"realized_fdp",3,0,0,0
"BARCS-original [safe-harbor]",1e-04,"held_out_control_call_rate",3,0,0,0
"BARCS-original [safe-harbor]",1e-04,"safe_harbor_call_rate",3,0,0,0
"BARCS-original [safe-harbor]",1e-04,"f1",3,0.222572126274848,0.216750589613342,0.125141011260273
"MAGeCK-MLE [non-targeting]",1e-04,"calls",3,1.66666666666667,0.577350269189626,0.333333333333333
"MAGeCK-MLE [non-targeting]",1e-04,"realized_fdp",3,0,0,0
"MAGeCK-MLE [non-targeting]",1e-04,"held_out_control_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",1e-04,"safe_harbor_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",1e-04,"f1",3,0.00606440063073744,0.00200268044760383,0.00115624809552487
"BARCS-moderated [library]",0.001,"calls",3,4.33333333333333,7.50555349946513,4.33333333333333
"BARCS-moderated [library]",0.001,"realized_fdp",3,0,0,0
"BARCS-moderated [library]",0.001,"held_out_control_call_rate",3,0,0,0
"BARCS-moderated [library]",0.001,"safe_harbor_call_rate",3,0,0,0
"BARCS-moderated [library]",0.001,"f1",3,0.0154211150652432,0.026710154802367,0.0154211150652432
"BARCS-moderated [non-targeting]",0.001,"calls",3,277.333333333333,154.130896751214,88.9875147297517
"BARCS-moderated [non-targeting]",0.001,"realized_fdp",3,0,0,0
"BARCS-moderated [non-targeting]",0.001,"held_out_control_call_rate",3,0,0,0
