"method","metric","runs","mean","sd","se"
"BARCS-moderated [library]","effect_spearman",3,0.689841399827879,0.0369591088683426,0.0213383514541463
"BARCS-moderated [library]","auroc",3,0.866009130293859,0.0229059068046384,0.0132247314596905
"BARCS-moderated [library]","average_precision",3,0.965925202173778,0.00695876471478893,0.00401764468131066
"BARCS-moderated [library]","calls",3,203,175.616058491244,101.391978643941
"BARCS-moderated [library]","directional_recall",3,0.375059627604925,0.323256289613272,0.186632105825462
"BARCS-moderated [library]","realized_fdp",3,0,0,0
"BARCS-moderated [library]","f1",3,0.481447474124417,0.409299844161546,0.23630937520594
"BARCS-moderated [library]","held_out_control_call_rate",3,0,0,0
"BARCS-moderated [library]","safe_harbor_call_rate",3,0,0,0
"BARCS-moderated [library]","control_scale",3,2.24195197489529,0.458483015890625,0.264705292643324
"BARCS-moderated [non-targeting]","effect_spearman",3,0.687018130640534,0.0388568942931296,0.0224340383800112
"BARCS-moderated [non-targeting]","auroc",3,0.95732601630761,0.00748645669861031,0.00432230779021914
"BARCS-moderated [non-targeting]","average_precision",3,0.98935144767674,0.00191792474486992,0.00110731436773609
"BARCS-moderated [non-targeting]","calls",3,473.333333333333,18.1750745069541,10.4933841591315
"BARCS-moderated [non-targeting]","directional_recall",3,0.838335469698714,0.0248225179649369,0.0143312874290206
"BARCS-moderated [non-targeting]","realized_fdp",3,0.0123720866559431,0.0122958053720262,0.00709898654144257
"BARCS-moderated [non-targeting]","f1",3,0.917458773392625,0.0174283542816807,0.0100622650360605
"BARCS-moderated [non-targeting]","held_out_control_call_rate",3,0.04,0.04,0.023094010767585
"BARCS-moderated [non-targeting]","safe_harbor_call_rate",3,0.08,0.0377491721763538,0.0217944947177034
"BARCS-moderated [non-targeting]","control_scale",3,1,0,0
"BARCS-moderated [safe-harbor]","effect_spearman",3,0.6869994142569,0.0387728193084847,0.0223854976649944
"BARCS-moderated [safe-harbor]","auroc",3,0.953072447195542,0.00928515204460723,0.00536078503242059
"BARCS-moderated [safe-harbor]","average_precision",3,0.988222242230687,0.00253733236894182,0.00146492952623211
"BARCS-moderated [safe-harbor]","calls",3,466,11.5325625946708,6.65832811847939
"BARCS-moderated [safe-harbor]","directional_recall",3,0.830345321285787,0.0194078887417288,0.0112051497894394
"BARCS-moderated [safe-harbor]","realized_fdp",3,0.00846584546472564,0.00733194510138611,0.00423310047796883
"BARCS-moderated [safe-harbor]","f1",3,0.91366197594764,0.0165356746537865,0.00954687621259571
"BARCS-moderated [safe-harbor]","held_out_control_call_rate",3,0.0266666666666667,0.023094010767585,0.0133333333333333
"BARCS-moderated [safe-harbor]","safe_harbor_call_rate",3,0.035,0.005,0.00288675134594813
"BARCS-moderated [safe-harbor]","control_scale",3,1.06743172547829,0.0628267255029362,0.0362730268814229
"BARCS-original [library]","effect_spearman",3,0.689841399827879,0.0369591088683426,0.0213383514541463
"BARCS-original [library]","auroc",3,0.815125828733537,0.0650321264661024,0.037546315721178
"BARCS-original [library]","average_precision",3,0.945968614066449,0.026725932215911,0.0154302241591999
"BARCS-original [library]","calls",3,204,167.358895789856,96.6247035355521
"BARCS-original [library]","directional_recall",3,0.375963514358683,0.308472700266506,0.178096796536518
"BARCS-original [library]","realized_fdp",3,0.00215749730312837,0.00373689494621117,0.00215749730312837
"BARCS-original [library]","f1",3,0.487741612548639,0.388750081840687,0.22444496439821
"BARCS-original [library]","held_out_control_call_rate",3,0.00444444444444444,0.00769800358919501,0.00444444444444445
"BARCS-original [library]","safe_harbor_call_rate",3,0.00166666666666667,0.00288675134594813,0.00166666666666667
"BARCS-original [library]","control_scale",3,1.98584696553364,0.338521285365581,0.195445355232236
"BARCS-original [non-targeting]","effect_spearman",3,0.687018130640534,0.0388568942931296,0.0224340383800112
"BARCS-original [non-targeting]","auroc",3,0.94981180749343,0.00665880515044332,0.00384446294608972
"BARCS-original [non-targeting]","average_precision",3,0.986967857655819,0.00157334452337964,0.00090837088410126
"BARCS-original [non-targeting]","calls",3,428.333333333333,52.0416499866533,30.0462606288666
"BARCS-original [non-targeting]","directional_recall",3,0.768926815389283,0.0940169532903983,0.0542807132905999
"BARCS-original [non-targeting]","realized_fdp",3,0.00811263091922905,0.00621002800112768,0.00358536133812618
"BARCS-original [non-targeting]","f1",3,0.870441850180401,0.0652421631962532,0.0376675804838703
"BARCS-original [non-targeting]","held_out_control_call_rate",3,0.0244444444444444,0.0203670030886926,0.0117588947158426
"BARCS-original [non-targeting]","safe_harbor_call_rate",3,0.07,0.025,0.0144337567297406
"BARCS-original [non-targeting]","control_scale",3,1,0,0
"BARCS-original [safe-harbor]","effect_spearman",3,0.6869994142569,0.0387728193084847,0.0223854976649944
"BARCS-original [safe-harbor]","auroc",3,0.945002099556313,0.00735878033233324,0.00424859380577992
"BARCS-original [safe-harbor]","average_precision",3,0.985622268307302,0.0021297214419238,0.00122959524779362
"BARCS-original [safe-harbor]","calls",3,427,48.4458460551573,27.9702222610642
