gene,n_guides,estimate,std_error,statistic,p_value,fdr,guide_direction_agreement,raw_statistic,converged_fraction,control_gene,null_center,null_scale
ADORA2A,6,0.045484270783627156,0.03500029801664233,0.31014079599968336,0.7564538899934358,0.9330069434376209,0.8333333333333334,1.299539528549151,1,false,0.4700724117234837,2.674485677229364
ADRB1,6,-0.024408897672121573,0.029426330895698655,-0.4859117913743361,0.6270297078483054,0.9274258631553403,0.6666666666666666,-0.8294917147040409,1,false,0.4700724117234837,2.674485677229364
ADRB2,6,0.013042278885844473,0.027745254902379782,0,1,1,0.16666666666666666,0.4700724117234837,1,false,0.4700724117234837,2.674485677229364
ALDH3B1,6,-0.02558900009065301,0.029827684737909994,-0.4965316142722151,0.6195193881030261,0.9274258631553403,0.5,-0.8578942789391307,1,false,0.4700724117234837,2.674485677229364
CBLB,6,-0.05036091737052414,0.03775631897285669,-0.6744897502234225,0.49999999998262357,0.9274258631553403,0.8333333333333334,-1.3338407646870711,1,false,0.4700724117234837,2.674485677229364
CDKN1B,6,0.01163242062281761,0.02377679862015126,0.0071646246958776425,0.9942835054776246,1,0.8333333333333334,0.48923409785533223,1,false,0.4700724117234837,2.674485677229364
DGKZ,6,-0.0519087851763833,0.03385759743333709,-0.7490123108267683,0.4538497854005946,0.9274258631553403,1,-1.5331502856511765,1,false,0.4700724117234837,2.674485677229364
FAM76A,6,0.00862646984728461,0.03089864630325935,-0.0713731245732375,0.9431007985304214,1,0.6666666666666666,0.27918601231325285,1,false,0.4700724117234837,2.674485677229364
FBXO45,6,-0.030440007817894403,0.034525977736311976,-0.5054159098954374,0.6132667466295268,0.9274258631553403,0.5,-0.8816552003357101,1,false,0.4700724117234837,2.674485677229364
FDXR,6,-0.024727501936000023,0.04091562106169116,-0.40173181620687026,0.6878814067241195,0.9330069434376209,0.5,-0.6043535768091299,1,false,0.4700724117234837,2.674485677229364
GNA13,6,0.1253010273610663,0.025062043943730107,1.6936193911252009,0.09033763086301413,0.33424923419315233,1,4.9996332159657495,1,false,0.4700724117234837,2.674485677229364
GNAS,6,0.22741254051376603,0.03464474201923242,2.278589935754207,0.02269145276570848,0.10494796904140172,0.8333333333333334,6.564128559177088,1,false,0.4700724117234837,2.674485677229364
GOLGA1,6,0.025945725018562717,0.02817476013920051,0.16856062588815582,0.8661422533041162,1,0.8333333333333334,0.9208853914061735,1,false,0.4700724117234837,2.674485677229364
GPR65,6,0.00881147076440286,0.024749029711836734,-0.042639762160426434,0.9659886986787583,1,0.5,0.3560329785449566,1,false,0.4700724117234837,2.674485677229364
H2AFB3,6,-0.02565644369640998,0.026677738609954496,-0.5353514358056543,0.5924068651235772,0.9274258631553403,0.8333333333333334,-0.961717335622914,1,false,0.4700724117234837,2.674485677229364
IFNG,6,-0.5560983487951401,0.0582877760763787,-3.7430142376095765,0.0001818259221857849,0.0033637795604370205,1,-9.540565556428916,1,false,0.4700724117234837,2.674485677229364
IL2,6,-0.05687818919574854,0.027439739088768792,-0.9508042794130307,0.34170373980852375,0.8428692248610253,0.8333333333333334,-2.072840015415053,1,false,0.4700724117234837,2.674485677229364
JMJD8,6,-0.031545708456912964,0.030588761156073167,-0.5613627705253317,0.5745502582860689,0.9274258631553403,0.6666666666666666,-1.03128427777631,1,false,0.4700724117234837,2.674485677229364
LCP2,6,0.06601584668502222,0.050302650228621265,0.314939327801527,0.752807720608135,0.9330069434376209,0.8333333333333334,1.3123731331249113,1,false,0.4700724117234837,2.674485677229364
LRIG3,6,0.00352068438721482,0.032430225000330416,-0.13517013403394862,0.8924773599361614,1,0.6666666666666666,0.10856182426051468,1,false,0.4700724117234837,2.674485677229364
MED12,6,0.25835247807014067,0.03354997827794042,2.703493083346435,0.006861487600116832,0.036267863029188975,1,7.700525941622175,1,false,0.4700724117234837,2.674485677229364
NFKBIA,6,0.26463066225977305,0.0332287560111213,2.8019715477363163,0.005079135290006313,0.03132133428837226,1,7.963905184148454,1,false,0.4700724117234837,2.674485677229364
NTCTRL,52,-0.026249348605717572,0.009558890818229485,-1.2025260814112961,0.2291597673572513,0.6522239532475614,0.6538461538461539,-2.7460663695057796,1,true,0.4700724117234837,2.674485677229364
P2RY8,6,-0.10360850078129452,0.03324440410028398,-1.3410586155517834,0.1799014223666594,0.5546960522971999,1,-3.116569647894801,1,false,0.4700724117234837,2.674485677229364
PPIAL4D,6,-0.020974580688835034,0.02758631277052951,-0.460050339432195,0.6454800882521121,0.9274258631553403,0.5,-0.760325631892429,1,false,0.4700724117234837,2.674485677229364
PPP6C,6,0.08834296959647887,0.03338883496752216,0.8135437661337213,0.41590636404744785,0.9274258631553403,0.8333333333333334,2.6458835620473566,1,false,0.4700724117234837,2.674485677229364
PTGER4,6,0.1388931092802801,0.03196146879964807,1.4490897723500509,0.14731251387591351,0.4955057284917091,1,4.345642252893255,1,false,0.4700724117234837,2.674485677229364
RASA2,6,0.20296576575185205,0.02392255071391483,2.9965438995980014,0.002730589188613904,0.025257949994678612,1,8.484286152387364,1,false,0.4700724117234837,2.674485677229364
RHOG,6,0.049011857316837645,0.029220290747976812,0.45139531325599214,0.6517046605956445,0.9274258631553403,0.6666666666666666,1.6773227117950968,1,false,0.4700724117234837,2.674485677229364
SPTLC2,5,-0.08264988943672502,0.03523527478859144,-1.052811767506367,0.2924272706372941,0.7728435009699917,1,-2.3456575812908262,1,false,0.4700724117234837,2.674485677229364
STAT1,6,0.03052791241021389,0.0318253128093076,0.18289919730856571,0.8548771127286332,1,0.6666666666666666,0.9592336953019901,1,false,0.4700724117234837,2.674485677229364
STT3B,6,0.24351568362882406,0.028204944908783402,3.0524454253892337,0.0022698500176271184,0.025257949994678612,1,8.633793982451282,1,false,0.4700724117234837,2.674485677229364
STUB1,6,0.07566702017925958,0.03241759068918712,0.6969796874681994,0.48581550584505984,0.9274258631553403,0.8333333333333334,2.3341346031769814,1,false,0.4700724117234837,2.674485677229364
TNF,6,-0.2587507856377758,0.035831857638579254,-2.875813477459805,0.004029877690780802,0.029821094911777934,1,-7.221249544125935,1,false,0.4700724117234837,2.674485677229364
TNFAIP3,6,0.27574313730210676,0.023258308522147293,4.257121611130327,0.000020707572719433375,0.0007661801906190349,0.8333333333333334,11.855683186915138,1,false,0.4700724117234837,2.674485677229364
VAV1,6,0.0501011629790936,0.03855700091470862,0.31009052636720374,0.7564921163007737,0.9330069434376209,0.8333333333333334,1.2994050831370845,1,false,0.4700724117234837,2.674485677229364
ZC3H12A,6,0.2369947579473179,0.03756525028773641,2.1831525760626245,0.029024575834774535,0.11932325620962864,1,6.308882707609363,1,false,0.4700724117234837,2.674485677229364
