gene,guide,estimate,std_error,t_value,df,p_value,fdr,rho,mean_cpm,converged,control,dispersion_boundary,raw_std_error,raw_t_value,raw_p_value,raw_fdr
IFNG,IFNG_1,-1.684944422030233,0.27041864367327606,-6.230873726539389,7,0.000432088746926915,0.030412546605595094,0.0004218304089235059,2730.6281391805246,true,false,false,0.27041864367327606,-6.230873726539389,0.000432088746926915,0.030412546605595094
IFNG,IFNG_6,-1.047786375984822,0.16208939201131944,-6.464250146065391,7,0.00034558204939549083,0.030412546605595094,0.00022411644775813678,2780.7460554898535,true,false,false,0.16208939201131944,-6.464250146065391,0.00034558204939549083,0.030412546605595094
IFNG,IFNG_2,-0.9495364902114426,0.1980998439785738,-4.793221797358624,7,0.0019817427304970312,0.04716331004334244,0.00034436902886219483,2732.8673599186955,true,false,false,0.1980998439785738,-4.793221797358624,0.0019817427304970312,0.04716331004334244
IFNG,IFNG_4,-0.6890447563418028,0.14425373485413828,-4.776616404688089,7,0.002020176311848135,0.04716331004334244,0.0002586781946041264,3505.7173241532487,true,false,false,0.14425373485413828,-4.776616404688089,0.002020176311848135,0.04716331004334244
TNF,TNF_2,-0.4033293928994434,0.08030474466961292,-5.022485216269694,7,0.0015261860740728736,0.04716331004334244,0.00009165331075452004,3727.283519697896,true,false,false,0.08030474466961292,-5.022485216269694,0.0015261860740728736,0.04716331004334244
TNF,TNF_1,-0.3405409967133315,0.07997393598420534,-4.258149764950765,7,0.003755154034316384,0.05276979616644603,0.00010384266215692304,4209.134615878199,true,false,false,0.07997393598420534,-4.258149764950765,0.003755154034316384,0.05276979616644603
DGKZ,DGKZ_4,-0.04136106121516171,0.09857102147979813,-0.41960670178951687,7,0.6873509036152665,0.9520251630197832,0.00021919884756087132,5685.695280877178,true,false,false,0.09857102147979813,-0.41960670178951687,0.6873509036152665,0.9520251630197832
IFNG,IFNG_5,-0.5351480014250612,0.1577368850122865,-3.3926624161709373,7,0.011557421141724757,0.11020826588716107,0.0002288601686304623,2477.2644570606694,true,false,false,0.1577368850122865,-3.3926624161709373,0.011557421141724757,0.11020826588716107
TNF,TNF_4,-0.1422484166690427,0.0863106610909791,-1.6480978696142792,7,0.14332320585015082,0.5711536710744817,0.00013276942541062172,4511.648737397223,true,false,false,0.0863106610909791,-1.6480978696142792,0.14332320585015082,0.5711536710744817
TNF,TNF_5,-0.2720667725790204,0.10374890849743237,-2.622357926645114,7,0.03429142656992311,0.21339571611532812,0.0001458122201934638,3470.0082045035806,true,false,false,0.10374890849743237,-2.622357926645114,0.03429142656992311,0.21339571611532812
