gene,n_guides,estimate,std_error,statistic,p_value,fdr,guide_direction_agreement,raw_statistic,converged_fraction,control_gene,null_center,null_scale
ADORA2A,6,0.015070193016169822,0.06099755704771375,0.3034626404261863,0.7615373145234191,0.8805275199177034,0.8333333333333334,0.24706223897428475,1,false,-0.38770895194797433,2.0917605871707283
ADRB1,6,-0.11198175216862923,0.06911083584261328,-0.5892702306928763,0.555680011415379,0.8805275199177034,0.8333333333333334,-1.620321195704336,1,false,-0.38770895194797433,2.0917605871707283
ADRB2,6,-0.04893339639824898,0.06754605514802539,-0.16098207813266563,0.8721075161085471,0.9490581792945953,0.8333333333333334,-0.7244449182267231,1,false,-0.38770895194797433,2.0917605871707283
ALDH3B1,6,-0.02802915512556465,0.07442544021562804,0.005307381961850633,0.9957653417548881,1,0.5,-0.3766071795391143,1,false,-0.38770895194797433,2.0917605871707283
CBLB,6,0.07743088970950308,0.06730805300320745,0.7353157844595922,0.46214719732876,0.8805275199177034,0.6666666666666666,1.150395625109127,1,false,-0.38770895194797433,2.0917605871707283
CDKN1B,6,-0.15274256731889863,0.029248451994334557,-2.31122795286825,0.020820267150054046,0.1283916474253333,1,-5.222244491725065,1,false,-0.38770895194797433,2.0917605871707283
DGKZ,6,0.0189904568967334,0.07428646242744462,0.307562513245381,0.7584152484097533,0.8805275199177034,0.6666666666666666,0.25563819134988863,1,false,-0.38770895194797433,2.0917605871707283
FAM76A,6,-0.06914642276856359,0.07244631516600507,-0.2709399755485221,0.7864371984754938,0.8817629195028264,1,-0.9544505142893737,1,false,-0.38770895194797433,2.0917605871707283
FBXO45,6,-0.09590971044611352,0.04994328483487438,-0.732714609519007,0.46373251150446615,0.8805275199177034,0.6666666666666666,-1.9203724937840234,1,false,-0.38770895194797433,2.0917605871707283
FDXR,6,-0.1503139487656449,0.05636245961865592,-1.0896118430186283,0.27588416398120996,0.7418505422237438,0.8333333333333334,-2.6669160604888,1,false,-0.38770895194797433,2.0917605871707283
GNA13,6,0.0975618789297398,0.0878487753469315,0.7162746740670147,0.47382176167375467,0.8805275199177034,0.6666666666666666,1.1105661808539664,1,false,-0.38770895194797433,2.0917605871707283
GNAS,6,0.19691006438951203,0.05019659281510361,2.0606978010668326,0.039331879558737806,0.20789707766761412,0.8333333333333334,3.922777490393012,1,false,-0.38770895194797433,2.0917605871707283
GOLGA1,6,-0.0677591400165512,0.05644692559318686,-0.3885222292859642,0.6976296069694576,0.8805275199177034,0.6666666666666666,-1.2004044384080632,1,false,-0.38770895194797433,2.0917605871707283
GPR65,6,-0.026736007864617876,0.06895896452812757,0,1,1,0.6666666666666666,-0.38770895194797433,1,false,-0.38770895194797433,2.0917605871707283
H2AFB3,6,-0.10868508537565219,0.06042827324263531,-0.6744897502234225,0.49999999998262357,0.8805275199177034,0.6666666666666666,-1.7985800279159585,1,false,-0.38770895194797433,2.0917605871707283
IFNG,6,-0.43996565358138434,0.07675830877644906,-2.554844028805467,0.01062353893663937,0.07861418813113133,0.8333333333333334,-5.731830997771728,1,false,-0.38770895194797433,2.0917605871707283
IL2,6,-0.07959279727957908,0.07620353832099264,-0.3139783065314384,0.7535375151031588,0.8805275199177034,0.6666666666666666,-1.044476398777047,1,false,-0.38770895194797433,2.0917605871707283
JMJD8,6,-0.0923956629621169,0.060092300001487325,-0.5497060646230714,0.5825209965335644,0.8805275199177034,1,-1.5375624324552404,1,false,-0.38770895194797433,2.0917605871707283
LCP2,6,-0.24116356425905405,0.06736316540744895,-1.526150753985074,0.12697232457523586,0.4874223967238656,0.8333333333333334,-3.5800509492148422,1,false,-0.38770895194797433,2.0917605871707283
LRIG3,6,0.01665122329355581,0.06292693274486617,0.3118526011123088,0.7551525460944215,0.8805275199177034,0.8333333333333334,0.2646120280654277,1,false,-0.38770895194797433,2.0917605871707283
MED12,6,0.17198428390286422,0.07692712252113985,1.254152639771328,0.20978653025708216,0.6468418016260034,0.6666666666666666,2.235678110221818,1,false,-0.38770895194797433,2.0917605871707283
NFKBIA,6,0.2846878410289424,0.04899371645512781,2.9632502247750825,0.0030440900158773604,0.037543776862487444,0.8333333333333334,5.810701078161345,1,false,-0.38770895194797433,2.0917605871707283
NTCTRL,52,-0.08459208275675453,0.02105765898637981,-1.7351200203798987,0.08271954890459733,0.38257791368376265,0.7692307692307693,-4.017164624589517,1,true,-0.38770895194797433,2.0917605871707283
P2RY8,6,-0.09294523095830358,0.0676957066854286,-0.4710274500066352,0.6376211325800443,0.8805275199177034,0.8333333333333334,-1.3729856073473845,1,false,-0.38770895194797433,2.0917605871707283
PPIAL4D,6,-0.12785892004538474,0.07959880657524361,-0.5825633096171289,0.5601873108326885,0.8805275199177034,0.8333333333333334,-1.6062919225368226,1,false,-0.38770895194797433,2.0917605871707283
PPP6C,6,0.04203463301508283,0.056770376581924034,0.5393262877406796,0.5896617331508627,0.8805275199177034,0.5,0.7404325203730789,1,false,-0.38770895194797433,2.0917605871707283
PTGER4,6,0.06319038994226829,0.05390950286672852,0.7457190624890038,0.4558371414311363,0.8805275199177034,0.8333333333333334,1.1721567920684293,1,false,-0.38770895194797433,2.0917605871707283
RASA2,6,0.43890575497108786,0.05170374931621189,4.243586195289916,0.00002199758235582485,0.0008139105471655195,1,8.488857399621258,1,false,-0.38770895194797433,2.0917605871707283
RHOG,6,-0.10189446644950993,0.06554470510039538,-0.5578414335187384,0.5769526668084073,0.8805275199177034,1,-1.5545796764732913,1,false,-0.38770895194797433,2.0917605871707283
SPTLC2,5,0.11512049050889496,0.06160217929768084,1.0787477226518343,0.2807002051657409,0.7418505422237438,0.8,1.8687730177953128,1,false,-0.38770895194797433,2.0917605871707283
STAT1,6,0.02303641563574883,0.061643830378026,0.36400477283164195,0.7158544453236901,0.8805275199177034,0.6666666666666666,0.3737018854032885,1,false,-0.38770895194797433,2.0917605871707283
STT3B,6,0.1429890962455154,0.05171049137050939,1.5072921731991644,0.13173578289834206,0.4874223967238656,0.6666666666666666,2.765185409300953,1,false,-0.38770895194797433,2.0917605871707283
STUB1,6,0.39801956169807506,0.07293289211458416,2.7943200609324967,0.005200897567357146,0.0481083024980536,1,5.4573396194511306,1,false,-0.38770895194797433,2.0917605871707283
TNF,6,-0.034373874051065796,0.05973565119824757,-0.08974459176851436,0.9284901797793915,0.981546761481071,0.8333333333333334,-0.5754331519210792,1,false,-0.38770895194797433,2.0917605871707283
TNFAIP3,6,0.2530685434161979,0.034511638896547514,3.6909363787992246,0.00022343002211569488,0.0041334554091403556,1,7.332846294978893,1,false,-0.38770895194797433,2.0917605871707283
VAV1,6,-0.09125903952669823,0.08818623668895505,-0.3093736079665691,0.7570373440951965,0.8805275199177034,0.8333333333333334,-1.0348444718032517,1,false,-0.38770895194797433,2.0917605871707283
