gene,guide,estimate,std_error,t_value,df,p_value,fdr,rho,mean_cpm,converged,control,dispersion_boundary,raw_std_error,raw_t_value,raw_p_value,raw_fdr
GNAS,GNAS_5,0.6784856261224528,0.16560690527828975,4.0969645860014685,5,0.009382638356941761,0.3578806344719215,0.0002168476589599777,4445.275848314868,true,false,false,0.16560690527828975,4.0969645860014685,0.009382638356941761,0.3578806344719215
STT3B,STT3B_3,0.5607443544253552,0.17306187206608148,3.240138036940003,5,0.022945739752076998,0.4239844248890912,0.00027172597693667403,4927.349269909157,true,false,false,0.17306187206608148,3.240138036940003,0.022945739752076998,0.4239844248890912
STUB1,STUB1_4,0.805118045645494,0.3701117431967587,2.175337747166475,5,0.08159150774724347,0.6224965525562599,0.0012534460027198763,5375.193240861758,true,false,false,0.3701117431967587,2.175337747166475,0.08159150774724347,0.6224965525562599
TNFAIP3,TNFAIP3_1,0.6054700109913538,0.25771238673716623,2.349402054969348,5,0.06560887127640079,0.6212325124191653,0.001505837126602267,12529.331185893767,true,false,false,0.25771238673716623,2.349402054969348,0.06560887127640079,0.6212325124191653
RASA2,RASA2_6,0.574841908795422,0.08594141198047776,6.688765003372316,5,0.0011293120007764667,0.30152630420731663,0.00005929890223412447,4390.297436545625,true,false,false,0.08594141198047776,6.688765003372316,0.0011293120007764667,0.30152630420731663
NFKBIA,NFKBIA_6,0.45899908598208955,0.13448665499550055,3.412971242369334,5,0.018982131080727292,0.4239844248890912,0.0002604245809852342,7642.875411613121,true,false,false,0.13448665499550055,3.412971242369334,0.018982131080727292,0.4239844248890912
IFNG,IFNG_1,-1.6249669363807113,0.4742170132761638,-3.4266314596233176,5,0.01870353527868664,0.4239844248890912,0.0011499967422807585,4643.769847439705,true,false,false,0.4742170132761638,-3.4266314596233176,0.01870353527868664,0.4239844248890912
STUB1,STUB1_1,0.47804270192289405,0.16378243586422603,2.918766590571327,5,0.03306108059742563,0.4904060288618135,0.00022700450759466213,4499.979006012281,true,false,false,0.16378243586422603,2.918766590571327,0.03306108059742563,0.4904060288618135
NFKBIA,NFKBIA_1,0.4108285073768537,0.18539312735661265,2.215985636763143,5,0.07751857301889872,0.6224965525562599,0.0005325198893228755,8142.355407206321,true,false,false,0.18539312735661265,2.215985636763143,0.07751857301889872,0.6224965525562599
RASA2,RASA2_4,0.4363797472228801,0.08998716551312719,4.849355402345923,5,0.004676477706741858,0.3022348965904772,0.00009109789976308377,5945.270550146205,true,false,false,0.08998716551312719,4.849355402345923,0.004676477706741858,0.3022348965904772
IFNG,IFNG_6,-1.0964300594771539,0.3482946236336946,-3.1479959352754228,5,0.025436254992032576,0.4244675051795436,0.0006531095426943531,3590.0666680111426,true,false,false,0.3482946236336946,-3.1479959352754228,0.025436254992032576,0.4244675051795436
IFNG,IFNG_2,-0.8817787196464677,0.1868671768726075,-4.718745872891313,5,0.005248491373881158,0.3022348965904772,0.00018479882215020438,3204.292920167799,true,false,false,0.1868671768726075,-4.718745872891313,0.005248491373881158,0.3022348965904772
TNFAIP3,TNFAIP3_6,0.3796357947997897,0.1363861019280136,2.7835372478067195,5,0.03873967532557338,0.5443943848383207,0.00028793849942210063,8088.249907414879,true,false,false,0.1363861019280136,2.7835372478067195,0.03873967532557338,0.5443943848383207
STUB1,STUB1_3,0.4363996640449635,0.1446839010909838,3.016228210286752,5,0.029543804448879395,0.4640115169323999,0.00011291041817897076,2842.027540996174,true,false,false,0.1446839010909838,3.016228210286752,0.029543804448879395,0.4640115169323999
TNFAIP3,TNFAIP3_2,0.3658447035366465,0.11050062354528373,3.3107931140924416,5,0.021221909792807477,0.4239844248890912,0.00017180047145247033,7333.176736274878,true,false,false,0.11050062354528373,3.3107931140924416,0.021221909792807477,0.4239844248890912
CBLB,CBLB_6,0.2594827881871105,0.3874057395020075,0.6697959315746428,5,0.5326711854865012,0.9707892086745932,0.001163977201159794,3959.6146267641884,true,false,false,0.3874057395020075,0.6697959315746428,0.5326711854865012,0.9707892086745932
