"model","gene","term","n_guides","estimate","p_value","fdr","depletion_rank"
"beta-binomial","FBXO42","GSC0131_end",4,-0.120799525305143,0.0802142167305015,0.252839127434573,4573
"beta-binomial","HDAC2","GSC0131_end",4,0.175713977194903,0.010909163632395,0.065407943941229,16139
"beta-binomial","HEATR1","GSC0131_end",6,-1.40611268440739,6.08905101511445e-13,1.02870817944134e-10,138
"beta-binomial","PKMYT1","GSC0131_end",5,-0.987113219562289,2.43710635582883e-10,1.87470517422629e-08,417
"beta-binomial","TFAP2C","GSC0131_end",5,-0.889409726177996,1.33923704833715e-10,1.08562278577537e-08,519
"beta-binomial","WEE1","GSC0131_end",5,-0.530968483956092,0.000132242904518491,0.00199212915415063,1104
"beta-binomial","FBXO42","GSC0827_end",4,-0.600917050344174,3.34809712681757e-06,9.82525190933136e-05,884
"beta-binomial","HDAC2","GSC0827_end",4,-0.650813216345531,5.03911017034207e-07,2.1433410482182e-05,731
"beta-binomial","HEATR1","GSC0827_end",6,-0.893289372190307,1.20807289209087e-09,1.67987182079437e-07,339
"beta-binomial","PKMYT1","GSC0827_end",5,-0.831825896698903,2.75329465837961e-12,9.95426150790565e-10,409
"beta-binomial","TFAP2C","GSC0827_end",5,-0.209084645397723,0.0112613287573104,0.0478540291363189,4999
"beta-binomial","WEE1","GSC0827_end",5,-0.107889053975045,0.0287141940865753,0.093559208093551,7698
"beta-binomial","FBXO42","NSCCB660_end",4,1.27239173080595,2.2619977577132e-20,3.4888907799955e-17,18074
"beta-binomial","HDAC2","NSCCB660_end",4,-0.24469440048545,0.00240018792272912,0.0115856333989785,4985
"beta-binomial","HEATR1","NSCCB660_end",6,-1.78729112338241,8.53203385414429e-14,1.45503373567327e-11,82
"beta-binomial","PKMYT1","NSCCB660_end",5,-0.261774588656207,3.50339128051371e-05,0.000374276522272267,4703
"beta-binomial","TFAP2C","NSCCB660_end",5,-0.0178210047868644,0.201248335572884,0.338856758769655,10597
"beta-binomial","WEE1","NSCCB660_end",5,-0.379901147712356,0.000255882556644768,0.00189031016610848,3089
"beta-binomial","FBXO42","NSCU5_end",4,0.302197431324548,5.0197081644568e-06,7.82927217332921e-05,17488
"beta-binomial","HDAC2","NSCU5_end",4,-0.255355305446047,0.0649663059195359,0.168179279981018,4097
"beta-binomial","HEATR1","NSCU5_end",6,-1.81451000018583,1.09439855960524e-10,5.83051244927476e-09,21
"beta-binomial","PKMYT1","NSCU5_end",5,0.157923879883731,0.0636654184833858,0.165667656027694,15873
"beta-binomial","TFAP2C","NSCU5_end",5,-0.11089900180729,0.320764195495881,0.504095348975489,8006
"beta-binomial","WEE1","NSCU5_end",5,-0.514957141847785,0.000612328007814463,0.00465742511155263,1626
"MAGeCK-MLE 0.5.9.5","TFAP2C","GSC0131_end",5,-0.66701,8.1597e-10,1.219e-07,679
"MAGeCK-MLE 0.5.9.5","PKMYT1","GSC0131_end",5,-0.78614,2.5798e-10,4.5277e-08,494
"MAGeCK-MLE 0.5.9.5","FBXO42","GSC0131_end",4,-0.087379,0.80388,0.97173,4490
"MAGeCK-MLE 0.5.9.5","HEATR1","GSC0131_end",6,-1.1351,1.5053e-07,1.023e-05,181
"MAGeCK-MLE 0.5.9.5","HDAC2","GSC0131_end",4,0.19092,0.081255,0.45659,16177
"MAGeCK-MLE 0.5.9.5","WEE1","GSC0131_end",5,-0.43411,0.0015251,0.027933,1225
"MAGeCK-MLE 0.5.9.5","TFAP2C","GSC0827_end",5,-0.091728,0.39624,0.63872,4553
"MAGeCK-MLE 0.5.9.5","PKMYT1","GSC0827_end",5,-0.68241,4.1036e-08,1.3996e-05,323
"MAGeCK-MLE 0.5.9.5","FBXO42","GSC0827_end",4,-0.37634,0.28493,0.5349,1108
"MAGeCK-MLE 0.5.9.5","HEATR1","GSC0827_end",6,-0.6451,0.002542,0.037118,373
"MAGeCK-MLE 0.5.9.5","HDAC2","GSC0827_end",4,-0.56897,2.2901e-07,5.7497e-05,508
"MAGeCK-MLE 0.5.9.5","WEE1","GSC0827_end",5,-0.17612,0.19788,0.43608,2986
"MAGeCK-MLE 0.5.9.5","TFAP2C","NSCCB660_end",5,0.030087,0.78107,0.87076,7316
"MAGeCK-MLE 0.5.9.5","PKMYT1","NSCCB660_end",5,-0.19207,0.12163,0.25913,2974
"MAGeCK-MLE 0.5.9.5","FBXO42","NSCCB660_end",4,1.3225,0.00017068,0.0031219,18069
"MAGeCK-MLE 0.5.9.5","HEATR1","NSCCB660_end",6,-1.3364,1.363e-09,1.9401e-07,101
"MAGeCK-MLE 0.5.9.5","HDAC2","NSCCB660_end",4,-0.12613,0.2508,0.41855,3862
"MAGeCK-MLE 0.5.9.5","WEE1","NSCCB660_end",5,-0.37214,0.0068654,0.038917,1543
"MAGeCK-MLE 0.5.9.5","TFAP2C","NSCU5_end",5,0.040303,0.70955,0.87238,9197
"MAGeCK-MLE 0.5.9.5","PKMYT1","NSCU5_end",5,0.15152,0.22089,0.49872,13231
"MAGeCK-MLE 0.5.9.5","FBXO42","NSCU5_end",4,0.4006,0.25493,0.53924,17330
"MAGeCK-MLE 0.5.9.5","HEATR1","NSCU5_end",6,-1.2128,3.2154e-08,2.5054e-06,136
"MAGeCK-MLE 0.5.9.5","HDAC2","NSCU5_end",4,-0.10395,0.34373,0.62429,4632
"MAGeCK-MLE 0.5.9.5","WEE1","NSCU5_end",5,-0.25997,0.058284,0.23433,2258
