guide,gene,control,D1M1_lo,D1M1_hi,D1M2_lo,D1M2_hi,D1M3_lo,D1M3_hi,D2M1_lo,D2M1_hi,D2M2_lo,D2M2_hi,D2M3_lo,D2M3_hi,D3M1_lo,D3M1_hi,D3M2_lo,D3M2_hi
IFNG_1,IFNG,false,7484,1440,9283,2068,24790,1712,5354,3834,7073,2401,9030,2402,13223,3142,18330,1740
IFNG_6,IFNG,false,9784,3810,10899,5103,21106,4039,4648,3909,8724,2990,7657,4788,10949,4065,12264,3171
IFNG_2,IFNG,false,8002,6763,8871,4164,18890,3551,5694,3891,9625,4906,10239,4115,8858,3200,12317,3162
IFNG_4,IFNG,false,8491,4180,10600,7729,20232,5113,6808,4810,11641,6513,10703,8488,10409,5513,18734,8302
TNF_2,TNF,false,16522,7785,12959,8311,9086,8468,8857,9505,10510,6555,12424,7814,12239,8259,11880,8848
TNF_1,TNF,false,19707,10020,14632,10998,12212,12039,10489,11100,15390,10218,13428,8200,10527,7967,9482,7293
DGKZ_4,DGKZ,false,13561,10392,20251,20540,15635,13866,17342,17853,11301,13375,13110,13623,15462,12723,15001,19654
IFNG_5,IFNG,false,6481,5889,8093,5382,13558,4001,6498,6196,6939,4061,8136,7179,6187,4268,9603,3593
TNF_4,TNF,false,17102,11058,15096,11195,12134,13861,8508,12290,12318,8535,14192,12448,14718,12591,8192,10176
TNF_5,TNF,false,12819,6766,11109,7434,10322,12260,8925,9185,11970,8700,10318,5466,9555,8194,9095,8069
IFNG_3,IFNG,false,8134,8362,8103,8317,12823,9192,10082,9836,13710,12604,9063,7560,11500,9461,11179,7971
DGKZ_5,DGKZ,false,9277,8524,10935,9675,12300,11375,11243,11838,9902,9143,11980,15201,12390,9306,11806,10302
P2RY8_6,P2RY8,false,15188,12461,12484,12274,12893,10509,10075,10231,10447,10566,11316,10527,11139,10578,14021,11200
NTCTRL_3,NTCTRL,true,16261,21505,10361,12032,11698,11270,10807,10080,14291,12223,13112,9875,12069,10428,10419,10389
NTCTRL_18,NTCTRL,true,13197,10883,12534,10845,10621,8940,10219,9590,12186,13216,12556,11774,11094,10244,7668,7452
P2RY8_2,P2RY8,false,20383,18962,18520,17391,17987,18074,13452,12848,10946,13241,13978,14039,12642,11674,13202,12914
DGKZ_6,DGKZ,false,13439,19881,13355,15732,14649,13306,14987,15459,11802,7480,12498,12229,9703,8419,10643,10793
P2RY8_5,P2RY8,false,11786,11417,10016,12027,12322,9799,11627,14023,10451,10187,11414,10190,10808,10186,9715,7725
NTCTRL_10,NTCTRL,true,11411,11929,9171,10660,10785,10284,12849,12626,13921,17764,12847,12857,11788,10700,13076,11961
P2RY8_4,P2RY8,false,14428,9114,12759,12291,11950,9718,9855,8716,9432,7548,8527,8950,10797,10881,10233,10489
NTCTRL_28,NTCTRL,true,7440,8521,9045,8102,9905,8832,10912,9850,15036,16699,12025,12432,10268,8923,7762,8729
NTCTRL_50,NTCTRL,true,6360,7464,9122,7754,9023,7644,9426,10971,11952,16062,11039,14156,8933,6970,8569,7719
NTCTRL_45,NTCTRL,true,8064,7539,10403,10427,11503,10809,11139,11956,11761,9526,10885,8943,9884,10471,11622,12854
NTCTRL_2,NTCTRL,true,6731,7383,10312,11920,10930,8570,8702,9122,10451,9596,11186,12732,8828,7393,10096,9669
NTCTRL_8,NTCTRL,true,18987,18816,12586,14307,11042,10728,10447,8889,13137,7608,7258,8843,8716,10535,9789,9730
TNF_6,TNF,false,10820,6860,9406,6565,7422,11173,6177,6783,8076,6787,9753,7135,8378,6645,6712,6129
NTCTRL_17,NTCTRL,true,10644,7237,7040,7383,8335,7803,9787,10333,10508,12491,8870,8717,6870,6043,9179,7937
NTCTRL_23,NTCTRL,true,14431,12283,12374,10438,9864,10841,11523,11328,10613,10548,10646,10806,11561,11387,9446,9517
LRIG3_2,LRIG3,false,13913,11360,8392,8458,10269,10477,10435,10388,6735,7558,9093,7810,9326,8752,10025,8908
P2RY8_1,P2RY8,false,21320,20121,17685,16375,16313,10918,10959,10422,9589,11520,9421,9910,11492,12280,11252,11089
TNF_3,TNF,false,12425,11525,13241,10698,8372,8866,8585,8898,12949,7809,10394,6892,8919,7193,7184,9522
FBXO45_4,FBXO45,false,10563,11935,9820,10508,10921,9220,13089,11810,12438,9042,9995,10181,9262,10371,11866,12982
NTCTRL_43,NTCTRL,true,7807,8343,9185,8388,11694,13861,9870,9200,7756,5679,8714,8360,10405,9192,10833,9857
NTCTRL_13,NTCTRL,true,10353,9896,8170,9706,9101,8097,11831,11541,10208,8607,12018,11536,10266,11749,9060,9171
VAV1_4,VAV1,false,11584,11169,9341,9979,10705,12023,10966,10188,11580,10754,10661,11556,11034,10779,14903,14509
NTCTRL_21,NTCTRL,true,10467,9325,11398,10134,11938,11311,10684,10212,8937,9798,9488,9282,9776,9748,7604,6393
FBXO45_5,FBXO45,false,10383,9527,10561,10304,10432,9317,8438,9001,10308,13447,7118,6716,9347,8562,8522,9988
NTCTRL_22,NTCTRL,true,6389,8152,9833,10314,9605,9664,10732,10665,10828,9431,9659,8955,9007,8637,10146,9439
NTCTRL_51,NTCTRL,true,7032,11460,11189,13990,9172,9900,7707,8602,7863,8347,9200,8658,9082,7894,10129,8155
NTCTRL_46,NTCTRL,true,9038,11107,6770,6975,9151,13187,8937,8564,9355,7338,7659,8320,9394,9412,8124,7870
ADRB2_2,ADRB2,false,7032,6766,9873,13788,9388,9002,9482,9110,10118,7461,8375,9376,9556,10450,15470,14843
NTCTRL_1,NTCTRL,true,7106,8537,9987,10173,9813,7178,9603,14696,8001,6311,9192,8868,11166,10348,9324,9502
ALDH3B1_1,ALDH3B1,false,7128,7124,9912,8504,9079,9531,8470,9486,7566,6748,9899,7490,6796,7206,8617,8364
GPR65_6,GPR65,false,7962,8855,10860,11623,10020,12085,9808,12397,5502,5362,6485,6460,9111,8222,8823,7822
STAT1_6,STAT1,false,8050,6882,9087,8254,8625,8569,8267,8324,9707,13532,10024,10829,8288,8475,10188,8209
NTCTRL_5,NTCTRL,true,8829,9799,8100,10423,9857,9536,9539,9346,13410,10655,10518,8835,10587,10406,9384,8486
NTCTRL_36,NTCTRL,true,9093,8505,8974,9383,10772,10191,7862,8439,9927,9983,9173,7636,10610,9534,11762,11007
NTCTRL_49,NTCTRL,true,9483,8564,8994,10170,8111,8564,5419,6833,7139,7793,8879,10662,10094,9686,10405,7714
NTCTRL_52,NTCTRL,true,7017,7057,10330,9585,8814,12038,8969,8282,9843,11395,7621,8170,8465,8767,10212,8082
ADRB1_3,ADRB1,false,5978,5690,9608,7153,10334,10799,7633,8192,5075,7218,8060,5801,8091,6948,5648,7004
ADORA2A_2,ADORA2A,false,9769,12380,9369,8645,11833,13303,9055,9007,5899,7179,8385,8708,9906,9643,8374,9125
JMJD8_3,JMJD8,false,3718,5024,6675,5630,5853,5379,7661,7769,9532,14898,6948,6824,6645,5496,4886,5287
FBXO45_6,FBXO45,false,7289,7059,8567,8765,9146,9252,9644,8541,7459,7964,9123,8555,7385,7010,11332,9931
NTCTRL_29,NTCTRL,true,8410,7192,7994,7091,8765,8738,7595,7594,5552,5914,8453,8233,6437,6553,6039,6139
IL2_5,IL2,false,9674,9160,8534,7719,8535,8027,8409,7901,8923,8537,7828,8331,8191,6786,7983,8235
IL2_6,IL2,false,8571,8680,8673,10053,7631,8354,8113,8109,7922,6938,9055,6232,6774,5689,6672,6067
NTCTRL_9,NTCTRL,true,6407,9422,9787,9631,9238,10895,9742,9969,6205,6678,8600,8262,9633,7726,8470,8179
NTCTRL_42,NTCTRL,true,7789,7599,6300,6514,8382,7882,6258,6376,9171,11178,5902,5806,8379,8972,8461,8551
JMJD8_6,JMJD8,false,12047,11266,6864,6270,9865,9093,7023,7839,6694,6221,8550,7977,8046,8415,8976,8160
GPR65_1,GPR65,false,9262,9985,8801,10408,8095,7040,8687,9475,8001,7195,6628,8042,8105,8260,8569,7924
ADRB1_2,ADRB1,false,6415,5196,8549,9548,8486,9116,6197,7491,6848,6470,6903,6117,8938,8914,8772,7053
NTCTRL_40,NTCTRL,true,6231,5609,7960,7384,7081,7776,8491,7720,10052,11079,6483,7356,8334,8374,7809,7463
NTCTRL_38,NTCTRL,true,7061,5816,8248,8238,7408,7873,6583,6584,7454,8428,5846,5619,7388,6906,7166,6631
CBLB_5,CBLB,false,6249,6790,6854,6045,5541,9955,8707,9362,10426,7548,9105,9735,7688,7191,7891,7482
ADRB2_5,ADRB2,false,4886,5452,8829,8806,7547,7344,7902,8903,6183,7288,5762,6900,9323,9378,7659,6713
ADORA2A_1,ADORA2A,false,6867,8338,9035,6848,11929,9201,7723,7782,6326,7692,7404,6309,7804,6760,5550,4369
IL2_3,IL2,false,9464,11892,7407,7108,9148,7035,7625,7673,7386,6083,7363,6903,7244,6727,6893,7098
NTCTRL_39,NTCTRL,true,5368,6960,7708,6334,6318,7461,7793,6522,7202,7094,6219,7300,8679,7896,8959,9852
NTCTRL_26,NTCTRL,true,9053,8564,6658,6464,8214,7700,6984,6706,8301,7515,8612,7578,6005,5943,6391,7349
JMJD8_4,JMJD8,false,5809,6035,6794,6450,6722,6163,7404,7941,8549,7910,5102,5371,7759,8448,7253,6751
SPTLC2_6,SPTLC2,false,5408,4738,6171,4937,6365,6234,6646,6089,6106,7103,7523,7402,5281,4640,5175,3939
H2AFB3_4,H2AFB3,false,6687,5905,5466,4680,6563,5905,8130,10767,5486,4684,4898,5394,6253,7459,7313,7326
IL2_4,IL2,false,5783,5175,6586,8819,6510,6610,5832,5884,6473,5951,6649,6161,6409,5392,8020,6392
ALDH3B1_4,ALDH3B1,false,5375,6191,7250,6533,6490,7917,6538,5777,4868,5421,6813,7050,8169,8080,7241,5083
FDXR_5,FDXR,false,6389,4913,5463,4661,5136,4552,5137,7571,6437,5638,8181,7636,5523,5121,5896,5125
JMJD8_5,JMJD8,false,6499,5407,6196,6551,6104,5261,6858,6759,4630,5392,5863,5271,5849,6773,4430,5643
LCP2_3,LCP2,false,4986,3902,5473,6721,6062,9433,6146,6455,6142,6178,6549,4663,4809,5299,6674,4992
PPIAL4D_2,PPIAL4D,false,7693,7170,6802,6274,6244,4737,6732,7369,4475,5537,5818,5837,5862,4869,4834,4574
JMJD8_1,JMJD8,false,6264,5695,5298,5168,6427,6168,6263,6884,8617,10896,7024,6183,6518,6495,6981,8132
SPTLC2_4,SPTLC2,false,4446,4983,5086,4875,5245,4624,5793,7008,6024,6509,5676,4839,3929,3647,7317,6538
GOLGA1_3,GOLGA1,false,6117,4916,6594,6164,6722,9579,7111,6661,8424,11337,6538,6804,6545,6392,5830,6291
SPTLC2_2,SPTLC2,false,6720,5258,5309,7432,6866,6906,5392,6523,5586,4323,4877,4849,4941,4571,5345,4152
FDXR_2,FDXR,false,4762,4490,4739,4903,5573,3956,6391,6998,3528,6454,3237,4534,4663,4513,3622,3533
PPIAL4D_4,PPIAL4D,false,3520,2829,4280,5336,4963,3759,3686,4387,3715,1871,4036,2619,4811,4491,7098,6375
SPTLC2_5,SPTLC2,false,3071,3586,3783,2780,3968,3618,5983,4865,3190,3206,4363,3343,2874,2270,3111,2454
SPTLC2_3,SPTLC2,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZC3H12A_4,ZC3H12A,false,628,1192,692,1373,1001,2545,2071,1997,1297,900,520,472,543,774,595,2178
MED12_6,MED12,false,1481,2289,2002,2655,2151,8272,2029,6873,1882,3165,1832,2637,1654,2387,1817,2550
LCP2_6,LCP2,false,1473,1507,2621,4036,3372,6201,3549,4044,2407,2514,2119,5483,2694,3837,4379,2399
STT3B_6,STT3B,false,5489,8071,4902,6291,4620,9248,4940,8535,5027,7113,5253,8996,3377,4899,2869,3108
MED12_5,MED12,false,1944,4519,3046,2779,2584,5853,2422,5952,2523,3357,2126,2434,1931,2157,1695,1500
STT3B_3,STT3B,false,7330,9575,5428,8392,4286,9598,5383,9361,5420,4762,5364,7947,4849,6317,6051,6076
MED12_4,MED12,false,2531,2359,3678,5073,3375,8818,4670,9866,4008,4721,4559,4991,2997,3716,1893,3473
