guide,gene,control,W1M1_lo,W1M1_hi,W1M2_lo,W1M2_hi,W2M1_lo,W2M1_hi,W2M2_lo,W2M2_hi
GNAS_5,GNAS,false,8632,14860,10455,29188,12970,23798,10349,24911
STT3B_3,STT3B,false,9349,31009,20720,37321,11257,15057,9976,16724
STUB1_4,STUB1,false,6061,16586,18844,52651,10432,21978,12118,27003
TNFAIP3_1,TNFAIP3,false,12275,39995,34761,85005,43633,70067,35221,59864
RASA2_6,RASA2,false,7368,19286,10939,22580,14044,22024,12369,24264
NFKBIA_6,NFKBIA,false,16154,43043,19864,36113,28521,36182,19421,32014
IFNG_1,IFNG,false,50154,7606,17195,4692,22809,6068,18952,5745
STUB1_1,STUB1,false,12043,28830,10664,22207,10981,16421,14755,20249
NFKBIA_1,NFKBIA,false,17548,37787,36133,59220,22416,30885,16955,27807
RASA2_4,RASA2,false,16924,29107,19201,35658,13769,27807,16259,21600
IFNG_6,IFNG,false,26627,3456,15285,4284,19765,11543,14278,8587
IFNG_2,IFNG,false,17362,5114,13705,5645,16305,6966,16414,11545
TNFAIP3_6,TNFAIP3,false,24197,40789,22852,40637,16798,31850,28654,38016
STUB1_3,STUB1,false,3949,8000,5668,11629,9763,14482,11855,19651
TNFAIP3_2,TNFAIP3,false,23621,33585,22858,39426,23247,36948,15676,26532
CBLB_6,CBLB,false,6421,11745,23112,31232,7141,9191,12636,19087
GNA13_2,GNA13,false,11637,22367,16314,31325,13598,17450,21413,23574
ZC3H12A_2,ZC3H12A,false,11817,15989,19336,28932,16331,30528,18888,24685
RASA2_5,RASA2,false,6248,17470,10397,11966,6839,7385,4718,8396
MED12_2,MED12,false,6333,7512,3505,8731,4822,5874,5495,8479
PPP6C_6,PPP6C,false,9481,19751,10508,19898,14600,14580,12125,13127
STT3B_6,STT3B,false,6401,10047,6601,10926,14300,22305,8225,11640
TNFAIP3_3,TNFAIP3,false,11048,14735,14147,19878,19657,31210,21900,30165
MED12_4,MED12,false,2664,6895,4712,9181,6683,9701,7134,7977
GNAS_1,GNAS,false,7863,10881,11162,15652,20621,26672,14834,22774
ZC3H12A_3,ZC3H12A,false,21431,25419,15765,23941,15477,18620,16512,23394
ALDH3B1_4,ALDH3B1,false,9568,19674,9117,14808,8271,9955,10744,12865
