"gene","n_guides","estimate","std_error","statistic","p_value","fdr","guide_direction_agreement","raw_statistic","converged_fraction","control_gene","null_center","null_scale"
"ADORA2A",6,0.0397558721550183,0.0419675296953983,0.323091273786529,0.746626118682955,0.937664519019664,0.833333333333333,0.94730074520868,1,FALSE,0.39108373029412,1.72154762459496
"ADRB1",6,-0.015366868367599,0.0343675268353607,-0.486897426666954,0.626331022640011,0.891317224526169,0.666666666666667,-0.447133378005775,1,FALSE,0.39108373029412,1.72154762459496
"ADRB2",6,0.00175736574274404,0.0367488518942461,-0.199391963035713,0.841956146833161,0.937664519019664,0.166666666666667,0.0478209699666616,1,FALSE,0.39108373029412,1.72154762459496
"ALDH3B1",6,0.00278026273127496,0.0392189417508966,-0.1859913202796,0.852451567983278,0.937664519019664,0.5,0.0708908146714946,1,FALSE,0.39108373029412,1.72154762459496
"CBLB",6,-0.0407916353597171,0.0435382755678964,-0.771397820223387,0.440471166729701,0.891317224526169,0.833333333333333,-0.936914354729185,1,FALSE,0.39108373029412,1.72154762459496
"CDKN1B",6,0.00612452545550756,0.037260698034884,-0.131692055752257,0.895227869380745,0.946383747631074,0.833333333333333,0.164369584535794,1,FALSE,0.39108373029412,1.72154762459496
"DGKZ",6,-0.0437090572353398,0.0424184834893502,-0.825715482342588,0.408965507577487,0.891317224526169,1,-1.03042479692405,1,FALSE,0.39108373029412,1.72154762459496
"FAM76A",6,0.000996123866093105,0.0343159029263422,-0.210308254979556,0.83342709282183,0.937664519019664,0.666666666666667,0.0290280535013532,1,FALSE,0.39108373029412,1.72154762459496
"FBXO45",6,-0.0189593264650969,0.0332235351443554,-0.558650386400257,0.576400345447141,0.891317224526169,0.5,-0.570659515392301,1,FALSE,0.39108373029412,1.72154762459496
"FDXR",6,-0.0162399167693177,0.0497340653743761,-0.41684516599302,0.676791663635879,0.927455242760279,0.5,-0.326535075045058,1,FALSE,0.39108373029412,1.72154762459496
"GNA13",6,0.142336333649596,0.0479084593872203,1.49860655128008,0.133975732165802,0.407356293682532,1,2.97100627885279,1,FALSE,0.39108373029412,1.72154762459496
"GNAS",6,0.203853414474764,0.0451026889379776,2.39823638799196,0.0164742297396742,0.0870780714811349,0.833333333333333,4.51976188725888,1,FALSE,0.39108373029412,1.72154762459496
"GOLGA1",6,0.0285867473298041,0.0318504912603111,0.294180367763802,0.768620081505452,0.937664519019664,0.833333333333333,0.897529243620366,1,FALSE,0.39108373029412,1.72154762459496
