"gene","guide","estimate","std_error","t_value","df","p_value","fdr","rho","pearson_null","mean_cpm","converged","control","raw_std_error","raw_t_value","raw_p_value","raw_fdr"
"IFNG","IFNG_1",-1.68441193278156,0.365219169507261,-4.61205783654264,12,0.000598337609637885,0.0361253726523354,0.000769900745258598,25052.3250460576,2730.62813918052,TRUE,FALSE,0.365219169507261,-4.61205783654264,0.000598337609637885,0.0361253726523354
"IFNG","IFNG_6",-1.04760040954673,0.210954492654251,-4.96600189152508,12,0.000327456702543895,0.0361253726523354,0.0003799265582127,12149.890574306,2780.74605548985,TRUE,FALSE,0.210954492654251,-4.96600189152508,0.000327456702543895,0.0361253726523354
"IFNG","IFNG_2",-0.949402384875089,0.216777296754982,-4.37962092473261,12,0.000896900127628382,0.0361253726523354,0.000412490236611646,13201.6197168937,2732.8673599187,TRUE,FALSE,0.216777296754982,-4.37962092473261,0.000896900127628382,0.0361253726523354
"IFNG","IFNG_4",-0.688863463747868,0.209341957356424,-3.29061346538866,12,0.0064519780397105,0.172913011464241,0.000545325103335642,17316.7846830789,3505.71732415325,TRUE,FALSE,0.209341957356424,-3.29061346538866,0.0064519780397105,0.172913011464241
"TNF","TNF_2",-0.403293177271533,0.0926948362647548,-4.35076206531773,12,0.000943573166292342,0.0361253726523354,0.000122247728921823,4160.96233484013,3727.2835196979,TRUE,FALSE,0.0926948362647548,-4.35076206531773,0.000943573166292342,0.0361253726523354
"TNF","TNF_1",-0.340548031936327,0.0739988134652009,-4.60207422239919,12,0.000608745130269353,0.0361253726523354,8.88538549721288e-05,2894.02462387056,4209.1346158782,TRUE,FALSE,0.0739988134652009,-4.60207422239919,0.000608745130269353,0.0361253726523354
"DGKZ","DGKZ_4",-0.0413390057049024,0.122039508974349,-0.338734611867303,12,0.740663149654802,0.991470511544439,0.000336256103992837,11831.1601932497,5685.69528087718,TRUE,FALSE,0.122039508974349,-0.338734611867303,0.740663149654802,0.991470511544439
"IFNG","IFNG_5",-0.535079268545353,0.171817376728188,-3.11423255746617,12,0.00895019262295954,0.215755765255203,0.00027163493715657,8963.32552715748,2477.26445706067,TRUE,FALSE,0.171817376728188,-3.11423255746617,0.00895019262295954,0.215755765255203
"TNF","TNF_4",-0.142210990999994,0.117942964789598,-1.20576069334604,12,0.251146863749401,0.929448909667093,0.000248279983414922,7717.65049718484,4511.64873739722,TRUE,FALSE,0.117942964789598,-1.20576069334604,0.251146863749401,0.929448909667093
"TNF","TNF_5",-0.272066070314045,0.088531022193069,-3.07311565567063,12,0.00966070590694941,0.215755765255203,0.000106073859382422,3567.47592711416,3470.00820450358,TRUE,FALSE,0.088531022193069,-3.07311565567063,0.00966070590694941,0.215755765255203
"IFNG","IFNG_3",-0.170269776538911,0.106807689513815,-1.59417151811797,12,0.136881860915093,0.68763308034448,0.000165415380707998,5147.34808303384,3673.05774384499,TRUE,FALSE,0.106807689513815,-1.59417151811797,0.136881860915093,0.68763308034448
"DGKZ","DGKZ_5",-0.0987008598220045,0.106139874151692,-0.929913103919305,12,0.370745587571449,0.946458807590111,0.000182902718548689,6390.57479140428,4093.97144141057,TRUE,FALSE,0.106139874151692,-0.929913103919305,0.370745587571449,0.946458807590111
"P2RY8","P2RY8_6",-0.135516878159425,0.0668627800704755,-2.02679095928386,12,0.0654974722266017,0.438833063918232,7.6324808552561e-05,2755.86788571431,4327.62331951017,TRUE,FALSE,0.0668627800704755,-2.02679095928386,0.0654974722266017,0.438833063918232
"NTCTRL","NTCTRL_3",-0.0457542029691516,0.11644041267079,-0.3929409207653,12,0.701254190768874,0.991470511544439,0.000244301626519858,8400.00328578608,4534.48998993681,TRUE,TRUE,0.11644041267079,-0.3929409207653,0.701254190768874,0.991470511544439
"NTCTRL","NTCTRL_18",-0.109345801081622,0.105590327135923,-1.03556645809862,12,0.320823006143282,0.944841380729666,0.000177441644451003,5829.70564562739,4015.12212656817,TRUE,TRUE,0.105590327135923,-1.03556645809862,0.320823006143282,0.944841380729666
"P2RY8","P2RY8_2",-0.0638374267094588,0.0704233160800312,-0.906481407903484,12,0.382522548444963,0.946458807590111,0.000109050929972921,4135.44836919022,5552.95796889153,TRUE,FALSE,0.0704233160800312,-0.906481407903484,0.382522548444963,0.946458807590111
"DGKZ","DGKZ_6",-0.0358632575950316,0.0964992874379331,-0.371642719311252,12,0.716638075041974,0.991470511544439,0.00017298480464715,5961.62228301689,4677.61456780912,TRUE,FALSE,0.0964992874379331,-0.371642719311252,0.716638075041974,0.991470511544439
"P2RY8","P2RY8_5",-0.0781126782162243,0.0753862074668352,-1.03616670530333,12,0.320554182496225,0.944841380729666,9.04290152834709e-05,3208.29430242111,4016.66652860709,TRUE,FALSE,0.0753862074668352,-1.03616670530333,0.320554182496225,0.944841380729666
"NTCTRL","NTCTRL_10",0.00512832050360123,0.0862179939346363,0.0594808608918588,12,0.95354819869484,0.991470511544439,0.000133745164741023,4515.00852134105,4531.70119105896,TRUE,TRUE,0.0862179939346363,0.0594808608918588,0.95354819869484,0.991470511544439
"P2RY8","P2RY8_4",-0.153742771811656,0.0685059175760711,-2.24422615230189,12,0.0444573604215693,0.392834664366624,7.12979178321822e-05,2515.06688394736,3855.65130277194,TRUE,FALSE,0.0685059175760711,-2.24422615230189,0.0444573604215693,0.392834664366624
