"gene","n_guides","estimate","std_error","statistic","p_value","fdr","guide_direction_agreement","raw_statistic","converged_fraction","control_gene","null_center","null_scale"
"ADORA2A",6,0.0454842707836274,0.0350002980166423,0.310140795987053,0.75645389000304,0.93300694344944,0.833333333333333,1.29953952854916,1,FALSE,0.470072411723605,2.67448567733791
"ADRB1",6,-0.0244088976721222,0.0294263308956986,-0.485911791354667,0.627029707862251,0.927425863174218,0.666666666666667,-0.829491714704062,1,FALSE,0.470072411723605,2.67448567733791
"ADRB2",6,0.0130422788858478,0.0277452549023798,0,1,1,0.166666666666667,0.470072411723605,1,FALSE,0.470072411723605,2.67448567733791
"ALDH3B1",6,-0.0255890000906527,0.02982768473791,-0.496531614252103,0.619519388117212,0.927425863174218,0.5,-0.857894278939119,1,FALSE,0.470072411723605,2.67448567733791
"CBLB",6,-0.050360917370523,0.0377563189728567,-0.674489750196082,0.5,0.927425863174218,0.833333333333333,-1.33384076468704,1,FALSE,0.470072411723605,2.67448567733791
"CDKN1B",6,0.0116324206228151,0.0237767986201513,0.00716462469550131,0.994283505477925,1,0.833333333333333,0.489234097855225,1,FALSE,0.470072411723605,2.67448567733791
"DGKZ",6,-0.051908785176384,0.0338575974333371,-0.74901231079642,0.453849785418886,0.927425863174218,1,-1.53315028565119,1,FALSE,0.470072411723605,2.67448567733791
"FAM76A",6,0.00862646984728311,0.0308986463032593,-0.0713731245704039,0.943100798532676,1,0.666666666666667,0.279186012313205,1,FALSE,0.470072411723605,2.67448567733791
"FBXO45",6,-0.0304400078178966,0.034525977736312,-0.505415909874993,0.613266746643883,0.927425863174218,0.5,-0.881655200335774,1,FALSE,0.470072411723605,2.67448567733791
"FDXR",6,-0.0247275019360015,0.0409156210616912,-0.401731816190623,0.687881406736078,0.93300694344944,0.5,-0.604353576809165,1,FALSE,0.470072411723605,2.67448567733791
"GNA13",6,0.125301027361067,0.0250620439437301,1.69361939105643,0.0903376308760911,0.334249234241537,1,4.99963321596578,1,FALSE,0.470072411723605,2.67448567733791
"GNAS",6,0.227412540513766,0.0346447420192324,2.27858993566168,0.0226914527712136,0.104947969066863,0.833333333333333,6.5641285591771,1,FALSE,0.470072411723605,2.67448567733791
"GOLGA1",6,0.0259457250185636,0.0281747601392005,0.16856062588128,0.866142253309525,1,0.833333333333333,0.920885391406203,1,FALSE,0.470072411723605,2.67448567733791
"GPR65",6,0.00881147076440202,0.0247490297118367,-0.0426397621587538,0.965988698680092,1,0.5,0.356032978544923,1,FALSE,0.470072411723605,2.67448567733791
"H2AFB3",6,-0.0256564436964113,0.0266777386099545,-0.53535143578399,0.592406865138555,0.927425863174218,0.833333333333333,-0.961717335622964,1,FALSE,0.470072411723605,2.67448567733791
"IFNG",6,-0.556098348795137,0.0582877760763787,-3.74301423745768,0.00018182592229574,0.00336377956247119,1,-9.54056555642886,1,FALSE,0.470072411723605,2.67448567733791
"IL2",6,-0.0568781891957502,0.0274397390887687,-0.950804279374509,0.341703739828082,0.84286922490927,0.833333333333333,-2.07284001541512,1,FALSE,0.470072411723605,2.67448567733791
"JMJD8",6,-0.0315457084569113,0.0305887611560732,-0.561362770502573,0.574550258301581,0.927425863174218,0.666666666666667,-1.03128427777626,1,FALSE,0.470072411723605,2.67448567733791
"LCP2",6,0.0660158466850219,0.0503026502286212,0.314939327788698,0.752807720617876,0.93300694344944,0.833333333333333,1.31237313312491,1,FALSE,0.470072411723605,2.67448567733791
"LRIG3",6,0.00352068438721458,0.0324302250003304,-0.13517013402851,0.892477359940461,1,0.666666666666667,0.108561824260507,1,FALSE,0.470072411723605,2.67448567733791
"MED12",6,0.25835247807014,0.0335499782779403,2.70349308323666,0.00686148760238318,0.0362678630411683,1,7.70052594162218,1,FALSE,0.470072411723605,2.67448567733791
"NFKBIA",6,0.264630662259771,0.0332287560111212,2.80197154762253,0.00507913529179768,0.031321334299419,1,7.96390518414842,1,FALSE,0.470072411723605,2.67448567733791
"NTCTRL",52,-0.0262493486057179,0.00955889081822948,-1.20252608136255,0.229159767376127,0.652223953301286,0.653846153846154,-2.74606636950581,1,TRUE,0.470072411723605,2.67448567733791
"P2RY8",6,-0.103608500781297,0.033244404100284,-1.34105861549742,0.179901422384307,0.554696052351614,1,-3.11656964789487,1,FALSE,0.470072411723605,2.67448567733791
"PPIAL4D",6,-0.0209745806888344,0.0275863127705295,-0.460050339413559,0.645480088265488,0.927425863174218,0.5,-0.760325631892405,1,FALSE,0.470072411723605,2.67448567733791
"PPP6C",6,0.0883429695964789,0.0333888349675222,0.813543766100657,0.415906364066397,0.927425863174218,0.833333333333333,2.64588356204736,1,FALSE,0.470072411723605,2.67448567733791
"PTGER4",6,0.138893109280278,0.0319614687996481,1.44908977229116,0.147312513892356,0.495505728547017,1,4.34564225289318,1,FALSE,0.470072411723605,2.67448567733791
"RASA2",6,0.202965765751852,0.0239225507139149,2.99654389947633,0.00273058918970355,0.0252579500047579,1,8.48428615238737,1,FALSE,0.470072411723605,2.67448567733791
"RHOG",6,0.0490118573168342,0.0292202907479768,0.451395313237583,0.65170466060891,0.927425863174218,0.666666666666667,1.67732271179498,1,FALSE,0.470072411723605,2.67448567733791
"SPTLC2",6,-0.0826430756986069,0.0352329039950261,-1.05279847371874,0.29243336464635,0.772859606565354,1,-2.34562202736039,0.833333333333333,FALSE,0.470072411723605,2.67448567733791
"STAT1",6,0.0305279124102155,0.0318253128093076,0.182899197301116,0.854877112734479,1,0.666666666666667,0.95923369530204,1,FALSE,0.470072411723605,2.67448567733791
"STT3B",6,0.243515683628829,0.0282049449087834,3.05244542526535,0.00226985001856401,0.0252579500047579,1,8.63379398245143,1,FALSE,0.470072411723605,2.67448567733791
"STUB1",6,0.0756670201792549,0.0324175906891871,0.696979687439813,0.485815505862825,0.927425863174218,0.833333333333333,2.33413460317684,1,FALSE,0.470072411723605,2.67448567733791
"TNF",6,-0.258750785637777,0.0358318576385792,-2.87581347734314,0.00402987769227023,0.0298210949227997,1,-7.22124954412596,1,FALSE,0.470072411723605,2.67448567733791
"TNFAIP3",6,0.275743137302104,0.0232583085221473,4.25712161095745,2.07075727354404e-05,0.000766180191211296,0.833333333333333,11.855683186915,1,FALSE,0.470072411723605,2.67448567733791
"VAV1",6,0.0501011629790966,0.0385570009147087,0.310090526354601,0.756492116310357,0.93300694344944,0.833333333333333,1.29940508313716,1,FALSE,0.470072411723605,2.67448567733791
"ZC3H12A",6,0.236994757947323,0.0375652502877364,2.18315257597402,0.0290245758412976,0.119323256236446,1,6.30888270760949,1,FALSE,0.470072411723605,2.67448567733791
