"gene","guide","estimate","std_error","t_value","df","p_value","fdr","rho","pearson_null","mean_cpm","converged","control","raw_std_error","raw_t_value","raw_p_value","raw_fdr"
"IFNG","IFNG_1",-1.68494442203023,0.270418643673277,-6.23087372653938,7,0.00043208874692692,0.0305264512745292,0.000421830408923508,8602.67929416706,2730.62813918052,TRUE,FALSE,0.270418643673277,-6.23087372653938,0.00043208874692692,0.0305264512745292
"IFNG","IFNG_6",-1.04778637598482,0.16208939201132,-6.46425014606538,7,0.000345582049395495,0.0305264512745292,0.000224116447758137,4524.80798196801,2780.74605548985,TRUE,FALSE,0.16208939201132,-6.46425014606538,0.000345582049395495,0.0305264512745292
"IFNG","IFNG_2",-0.949536490211442,0.198099843978574,-4.79322179735862,7,0.00198174273049705,0.0473399516539936,0.000344369028862195,6978.89437050465,2732.8673599187,TRUE,FALSE,0.198099843978574,-4.79322179735862,0.00198174273049705,0.0473399516539936
"IFNG","IFNG_4",-0.689044756341802,0.144253734854138,-4.77661640468809,7,0.00202017631184814,0.0473399516539936,0.000258678194604126,5165.85003820659,3505.71732415325,TRUE,FALSE,0.144253734854138,-4.77661640468809,0.00202017631184814,0.0473399516539936
"TNF","TNF_2",-0.403329392899444,0.0803047446696131,-5.0224852162697,7,0.00152618607407287,0.0473399516539936,9.16533107545203e-05,1858.40681003724,3727.2835196979,TRUE,FALSE,0.0803047446696131,-5.0224852162697,0.00152618607407287,0.0473399516539936
"TNF","TNF_1",-0.340540996713332,0.0799739359842052,-4.25814976495078,7,0.00375515403431631,0.0529674358524616,0.000103842662156923,2086.13209225304,4209.1346158782,TRUE,FALSE,0.0799739359842052,-4.25814976495078,0.00375515403431631,0.0529674358524616
"DGKZ","DGKZ_4",-0.0413610612151553,0.0985710214797982,-0.419606701789452,7,0.687350903615312,0.955590800334427,0.000219198847560871,4273.76195109929,5685.69528087718,TRUE,FALSE,0.0985710214797982,-0.419606701789452,0.687350903615312,0.955590800334427
"IFNG","IFNG_5",-0.535148001425061,0.157736885012286,-3.39266241617094,7,0.0115574211417247,0.110621030927936,0.000228860168630462,4509.938719308,2477.26445706067,TRUE,FALSE,0.157736885012286,-3.39266241617094,0.0115574211417247,0.110621030927936
"TNF","TNF_4",-0.142248416669043,0.0863106610909788,-1.64809786961429,7,0.143323205850149,0.573292823400595,0.000132769425410621,2566.95174721014,4511.64873739722,TRUE,FALSE,0.0863106610909788,-1.64809786961429,0.143323205850149,0.573292823400595
"TNF","TNF_5",-0.272066772579021,0.103748908497433,-2.62235792664511,7,0.0342914265699233,0.214194951007144,0.000145812220193464,2826.24802403198,3470.00820450358,TRUE,FALSE,0.103748908497433,-2.62235792664511,0.0342914265699233,0.214194951007144
"IFNG","IFNG_3",-0.170255997419545,0.0880891224711017,-1.93276982042135,7,0.0945360597067727,0.43403214651028,0.000112388358976653,2292.93009950812,3673.05774384499,TRUE,FALSE,0.0880891224711017,-1.93276982042135,0.0945360597067727,0.43403214651028
"DGKZ","DGKZ_5",-0.0987340333526818,0.0700998203456037,-1.40847769460616,7,0.201822137552942,0.636333327813982,7.95589988506529e-05,1531.05027778391,4093.97144141057,TRUE,FALSE,0.0700998203456037,-1.40847769460616,0.201822137552942,0.636333327813982
"P2RY8","P2RY8_6",-0.135524933864289,0.0716383675431133,-1.89179260377099,7,0.100410421953871,0.43403214651028,8.76710437919251e-05,1816.66833186569,4327.62331951017,TRUE,FALSE,0.0716383675431133,-1.89179260377099,0.100410421953871,0.43403214651028
"NTCTRL","NTCTRL_3",-0.0457328198865211,0.086204062348444,-0.530518152400582,7,0.612160185838112,0.946977740199443,0.000133712543006498,2628.16600519344,4534.48998993681,TRUE,TRUE,0.086204062348444,-0.530518152400582,0.612160185838112,0.946977740199443
"NTCTRL","NTCTRL_18",-0.109347643693411,0.088591759513056,-1.23428684896247,7,0.256921888392199,0.68788367633208,0.000124787780772857,2594.62149201361,4015.12212656817,TRUE,TRUE,0.088591759513056,-1.23428684896247,0.256921888392199,0.68788367633208
"P2RY8","P2RY8_2",-0.0638573309150388,0.077545595728596,-0.823481079938245,7,0.437386774237398,0.861909231585462,0.000132300274719328,2777.42931676152,5552.95796889153,TRUE,FALSE,0.077545595728596,-0.823481079938245,0.437386774237398,0.861909231585462
"DGKZ","DGKZ_6",-0.0358907307589081,0.0774862039001295,-0.4631886574953,7,0.657285330979286,0.955590800334427,0.000111393982596151,2254.98245976008,4677.61456780912,TRUE,FALSE,0.0774862039001295,-0.4631886574953,0.657285330979286,0.955590800334427
"P2RY8","P2RY8_5",-0.0781540028715991,0.0751942425275556,-1.03936152881597,7,0.33319925795867,0.761046301100896,8.99643373829405e-05,1822.14592775095,4016.66652860709,TRUE,FALSE,0.0751942425275556,-1.03936152881597,0.33319925795867,0.761046301100896
"NTCTRL","NTCTRL_10",0.0051431990783049,0.0976234353552613,0.0526840615635815,7,0.959455607310044,0.98874948205588,0.000171573934722185,3584.56984575759,4531.70119105896,TRUE,TRUE,0.0976234353552613,0.0526840615635815,0.959455607310044,0.98874948205588
"P2RY8","P2RY8_4",-0.153761653557168,0.076162461419334,-2.01886402686737,7,0.0832697644891341,0.419937644586609,8.82133181866457e-05,1735.26073070628,3855.65130277194,TRUE,FALSE,0.076162461419334,-2.01886402686737,0.0832697644891341,0.419937644586609
"NTCTRL","NTCTRL_28",-0.017289797361592,0.100261589011164,-0.17244687154985,7,0.867966214596026,0.977072909855668,0.000152659290899242,3132.85513854851,3821.63781560879,TRUE,TRUE,0.100261589011164,-0.17244687154985,0.867966214596026,0.977072909855668
"NTCTRL","NTCTRL_50",0.0303999250643214,0.121271121507982,0.250677363961877,7,0.809262294116318,0.977072909855668,0.000208275643236003,4231.95161571041,3561.14384896317,TRUE,TRUE,0.121271121507982,0.250677363961877,0.809262294116318,0.977072909855668
