"gene","n_guides","estimate","std_error","statistic","p_value","fdr","guide_direction_agreement","raw_statistic","converged_fraction","control_gene","null_center","null_scale"
"ADORA2A",6,0.0150701930161694,0.0609975570477137,0.303462640413866,0.761537314532807,0.880527519928558,0.833333333333333,0.247062238974278,1,FALSE,-0.387708951947954,2.09176058725556
"ADRB1",6,-0.11198175216863,0.0691108358426133,-0.589270230668993,0.555680011431398,0.880527519928558,0.833333333333333,-1.62032119570435,1,FALSE,-0.387708951947954,2.09176058725556
"ADRB2",6,-0.0489333963982508,0.0675460551480254,-0.16098207812616,0.872107516113671,0.949058179300172,0.833333333333333,-0.724444918226751,1,FALSE,-0.387708951947954,2.09176058725556
"ALDH3B1",6,-0.0280291551255629,0.0744254402156281,0.00530738196163681,0.995765341755059,1,0.5,-0.376607179539091,1,FALSE,-0.387708951947954,2.09176058725556
"CBLB",6,0.0774308897095043,0.0673080530032074,0.73531578442977,0.462147197346918,0.880527519928558,0.666666666666667,1.15039562510915,1,FALSE,-0.387708951947954,2.09176058725556
"CDKN1B",6,-0.152742567318899,0.0292484519943346,-2.31122795277453,0.0208202671552279,0.128391647457239,1,-5.22224449172508,1,FALSE,-0.387708951947954,2.09176058725556
"DGKZ",6,0.0189904568967316,0.0742864624274445,0.307562513232886,0.758415248419263,0.880527519928558,0.666666666666667,0.255638191349864,1,FALSE,-0.387708951947954,2.09176058725556
"FAM76A",6,-0.0691464227685641,0.0724463151660051,-0.270939975537546,0.786437198483935,0.881762919512291,1,-0.954450514289381,1,FALSE,-0.387708951947954,2.09176058725556
"FBXO45",6,-0.0959097104461153,0.0499432848348744,-0.732714609489316,0.463732511522579,0.880527519928558,0.666666666666667,-1.92037249378406,1,FALSE,-0.387708951947954,2.09176058725556
"FDXR",6,-0.150313948765645,0.0563624596186559,-1.08961184297444,0.275884164000681,0.742277015945002,0.833333333333333,-2.6669160604888,1,FALSE,-0.387708951947954,2.09176058725556
"GNA13",6,0.0975618789297397,0.0878487753469315,0.716274674037954,0.473821761691695,0.880527519928558,0.666666666666667,1.11056618085397,1,FALSE,-0.387708951947954,2.09176058725556
"GNAS",6,0.196910064389511,0.0501965928151036,2.06069780098324,0.0393318795667182,0.207897077709796,0.833333333333333,3.92277749039299,1,FALSE,-0.387708951947954,2.09176058725556
"GOLGA1",6,-0.0677591400165489,0.0564469255931868,-0.388522229270197,0.697629606981123,0.880527519928558,0.666666666666667,-1.20040443840802,1,FALSE,-0.387708951947954,2.09176058725556
"GPR65",6,-0.0267360078646165,0.0689589645281275,0,1,1,0.666666666666667,-0.387708951947954,1,FALSE,-0.387708951947954,2.09176058725556
"H2AFB3",6,-0.108685085375653,0.0604282732426353,-0.674489750196082,0.5,0.880527519928558,0.666666666666667,-1.79858002791597,1,FALSE,-0.387708951947954,2.09176058725556
