"gene","guide","estimate","std_error","t_value","df","p_value","fdr","rho","pearson_null","mean_cpm","converged","control","raw_std_error","raw_t_value","raw_p_value","raw_fdr"
"GNAS","GNAS_5",0.678485626122454,0.16560690527829,4.09696458600148,5,0.00938263835694164,0.359221011380051,0.000216847658959977,4412.18031691495,4445.27584831487,TRUE,FALSE,0.16560690527829,4.09696458600148,0.00938263835694164,0.359221011380051
"STT3B","STT3B_3",0.560744354425359,0.173061872066082,3.24013803694002,5,0.0229457397520766,0.425572381536595,0.000271725976936674,4929.39146975789,4927.34926990916,TRUE,FALSE,0.173061872066082,3.24013803694002,0.0229457397520766,0.425572381536595
"STUB1","STUB1_4",0.805118045645489,0.370111743196758,2.17533774716647,5,0.0815915077472444,0.624828000318652,0.00125344600271987,24776.0454849395,5375.19324086176,TRUE,FALSE,0.370111743196758,2.17533774716647,0.0815915077472444,0.624828000318652
"TNFAIP3","TNFAIP3_1",0.605470010991347,0.257712386737166,2.34940205496932,5,0.0656088712764028,0.623559225948781,0.00150583712660227,29185.1618733056,12529.3311858938,TRUE,FALSE,0.257712386737166,2.34940205496932,0.0656088712764028,0.623559225948781
"RASA2","RASA2_6",0.57484190879542,0.0859414119804776,6.68876500337231,5,0.00112931200077647,0.302655616208094,5.92989022341243e-05,1097.43549866007,4390.29743654562,TRUE,FALSE,0.0859414119804776,6.68876500337231,0.00112931200077647,0.302655616208094
"NFKBIA","NFKBIA_6",0.45899908598209,0.1344866549955,3.41297124236934,5,0.0189821310807271,0.425572381536595,0.000260424580985234,4846.04905086588,7642.87541161312,TRUE,FALSE,0.1344866549955,3.41297124236934,0.0189821310807271,0.425572381536595
"IFNG","IFNG_1",-1.62496693638071,0.474217013276163,-3.42663145962333,5,0.0187035352786865,0.425572381536595,0.00114999674228076,20894.9116108343,4643.7698474397,TRUE,FALSE,0.474217013276163,-3.42663145962333,0.0187035352786865,0.425572381536595
"STUB1","STUB1_1",0.478042701922892,0.163782435864226,2.91876659057132,5,0.0330610805974261,0.492242755561677,0.000227004507594662,4195.9108345977,4499.97900601228,TRUE,FALSE,0.163782435864226,2.91876659057132,0.0330610805974261,0.492242755561677
"NFKBIA","NFKBIA_1",0.410828507376854,0.185393127356613,2.21598563676314,5,0.0775185730188989,0.624828000318652,0.000532519889322876,10094.1450326648,8142.35540720632,TRUE,FALSE,0.185393127356613,2.21598563676314,0.0775185730188989,0.624828000318652
"RASA2","RASA2_4",0.436379747222878,0.0899871655131273,4.8493554023459,5,0.00467647770674195,0.303366862495307,9.10978997630838e-05,1710.91478770342,5945.27055014621,TRUE,FALSE,0.0899871655131273,4.8493554023459,0.00467647770674195,0.303366862495307
"IFNG","IFNG_6",-1.09643005947715,0.348294623633695,-3.14799593527542,5,0.0254362549920326,0.426057271116546,0.000653109542694353,12031.300246768,3590.06666801114,TRUE,FALSE,0.348294623633695,-3.14799593527542,0.0254362549920326,0.426057271116546
"IFNG","IFNG_2",-0.881778719646468,0.186867176872608,-4.71874587289132,5,0.00524849137388114,0.303366862495307,0.000184798822150204,3457.07588569416,3204.2929201678,TRUE,FALSE,0.186867176872608,-4.71874587289132,0.00524849137388114,0.303366862495307
"TNFAIP3","TNFAIP3_6",0.379635794799792,0.136386101928014,2.78353724780674,5,0.0387396753255727,0.546433315118604,0.000287938499422101,5021.91987651689,8088.24990741488,TRUE,FALSE,0.136386101928014,2.78353724780674,0.0387396753255727,0.546433315118604
"STUB1","STUB1_3",0.436399664044963,0.144683901090984,3.01622821028675,5,0.0295438044488796,0.465749387782337,0.000112910418178971,2121.77149123279,2842.02754099617,TRUE,FALSE,0.144683901090984,3.01622821028675,0.0295438044488796,0.465749387782337
"TNFAIP3","TNFAIP3_2",0.365844703536646,0.110500623545284,3.31079311409244,5,0.0212219097928074,0.425572381536595,0.00017180047145247,3156.79303757387,7333.17673627488,TRUE,FALSE,0.110500623545284,3.31079311409244,0.0212219097928074,0.425572381536595
"CBLB","CBLB_6",0.259482788187108,0.387405739502007,0.669795931574637,5,0.532671185486504,0.974425123313826,0.00116397720115979,22066.3631896583,3959.61462676419,TRUE,FALSE,0.387405739502007,0.669795931574637,0.532671185486504,0.974425123313826
"GNA13","GNA13_2",0.290234814178746,0.197704819014997,1.4680209396248,5,0.202027318486669,0.877601473983621,0.000398145057101438,7219.58734788508,5230.25464094413,TRUE,FALSE,0.197704819014997,1.4680209396248,0.202027318486669,0.877601473983621
"ZC3H12A","ZC3H12A_2",0.307882973889874,0.165864754843446,1.8562290353998,5,0.122563376914197,0.728228046112647,0.000295713738644119,5741.56890362001,5536.82237106115,TRUE,FALSE,0.165864754843446,1.8562290353998,0.122563376914197,0.728228046112647
"RASA2","RASA2_5",0.368377129941907,0.171366883575738,2.14964013031781,5,0.0842833655485664,0.624828000318652,0.000136323708303411,2606.69422002834,2410.94033553418,TRUE,FALSE,0.171366883575738,2.14964013031781,0.0842833655485664,0.624828000318652
"MED12","MED12_2",0.300696120289395,0.164834241870487,1.82423334422017,5,0.127711634952591,0.728228046112647,8.92716968882263e-05,1647.57158041287,1688.0054690246,TRUE,FALSE,0.164834241870487,1.82423334422017,0.127711634952591,0.728228046112647
"PPP6C","PPP6C_6",0.251910323424025,0.141872897869066,1.77560568091386,5,0.135962287333838,0.743630469499358,0.000149046269470828,2778.0009090556,3781.97847912886,TRUE,FALSE,0.141872897869066,1.77560568091386,0.135962287333838,0.743630469499358
"STT3B","STT3B_6",0.338924901627224,0.207119308735053,1.6363752066244,5,0.16268797281674,0.854909347350714,0.000250769003277644,4632.06915606173,3019.83995531594,TRUE,FALSE,0.207119308735053,1.6363752066244,0.16268797281674,0.854909347350714
"TNFAIP3","TNFAIP3_3",0.261782931953604,0.0775476033830399,3.37577075929154,5,0.0197650117937857,0.425572381536595,6.39098152762292e-05,1218.18393284492,5459.19398591398,TRUE,FALSE,0.0775476033830399,3.37577075929154,0.0197650117937857,0.425572381536595
"MED12","MED12_4",0.354552262778032,0.158355487221454,2.23896417483913,5,0.0753124977533616,0.624828000318652,8.84273673425752e-05,1641.48819785877,1827.89230874172,TRUE,FALSE,0.158355487221454,2.23896417483913,0.0753124977533616,0.624828000318652
"GNAS","GNAS_1",0.236012212701564,0.109547876930196,2.1544206908907,5,0.0837755482381381,0.624828000318652,0.000102750239974921,1926.16958825034,4372.7541039697,TRUE,FALSE,0.109547876930196,2.1544206908907,0.0837755482381381,0.624828000318652
"ZC3H12A","ZC3H12A_3",0.16729016238213,0.104965109191162,1.59376924076229,5,0.171869172383832,0.864620812937935,0.0001162004230702,2137.89944705276,5350.79850802685,TRUE,FALSE,0.104965109191162,1.59376924076229,0.171869172383832,0.864620812937935
"ALDH3B1","ALDH3B1_4",0.302844434556475,0.158558444537543,1.90998615961301,5,0.114388296917593,0.71293171102128,0.000154071822981386,2870.68112887708,3149.80463017646,TRUE,FALSE,0.158558444537543,1.90998615961301,0.114388296917593,0.71293171102128
"RASA2","RASA2_1",0.513147352791683,0.240768896952468,2.13128588985889,5,0.0862635672081721,0.624828000318652,0.000448559774154016,8415.23459635974,4146.37492472046,TRUE,FALSE,0.240768896952468,2.13128588985889,0.0862635672081721,0.624828000318652
"RHOG","RHOG_4",-0.0769587030269977,0.24175666795573,-0.318331252981573,5,0.763100482245871,0.974425123313826,0.000556170678221617,10231.4664914414,4791.72539203302,TRUE,FALSE,0.24175666795573,-0.318331252981573,0.763100482245871,0.974425123313826
"NFKBIA","NFKBIA_3",0.300269396340565,0.0676635327131351,4.43768429315656,5,0.00677944414088223,0.303366862495307,6.53555225987846e-05,1165.5184462058,7380.7951300868,TRUE,FALSE,0.0676635327131351,4.43768429315656,0.00677944414088223,0.303366862495307
"STUB1","STUB1_6",0.316061644662624,0.152046926093948,2.0787111767543,5,0.0922128240625128,0.631118929773524,0.000221153049121221,4215.47460180971,4932.36322168473,TRUE,FALSE,0.152046926093948,2.0787111767543,0.0922128240625128,0.631118929773524
"TNFAIP3","TNFAIP3_4",0.169990517456749,0.158412285904797,1.07308922717592,5,0.332268129766862,0.941802826763249,0.000229080704907749,4059.50268407055,4624.81665897105,TRUE,FALSE,0.158412285904797,1.07308922717592,0.332268129766862,0.941802826763249
"DGKZ","DGKZ_3",0.180285888364945,0.247307964631834,0.728993458149783,5,0.498705410630858,0.974425123313826,0.000465595316570245,8968.66556836066,3854.49993552476,TRUE,FALSE,0.247307964631834,0.728993458149783,0.498705410630858,0.974425123313826
"GNAS","GNAS_6",0.27936788011122,0.110136206603901,2.53656711744169,5,0.0521112408942171,0.599274386392219,0.000109948488875181,2073.63583658116,4653.46297687761,TRUE,FALSE,0.110136206603901,2.53656711744169,0.0521112408942171,0.599274386392219
"STUB1","STUB1_5",0.387483516364396,0.171615740587848,2.25785534029175,5,0.0735490883645453,0.624828000318652,0.00024856639456896,4864.09990595772,4402.89972126857,TRUE,FALSE,0.171615740587848,2.25785534029175,0.0735490883645453,0.624828000318652
"NTCTRL","NTCTRL_26",-0.36275099318771,0.203930625771186,-1.77879605780607,5,0.135404723877655,0.743630469499358,0.000215710527820332,4058.21635191333,2689.55675735374,TRUE,TRUE,0.203930625771186,-1.77879605780607,0.135404723877655,0.743630469499358
"LCP2","LCP2_5",-0.618369487213735,0.2298542049054,-2.69026832669098,5,0.0432847831400904,0.552396280073535,0.000132702448997739,2384.57282804645,1383.99518505341,TRUE,FALSE,0.2298542049054,-2.69026832669098,0.0432847831400904,0.552396280073535
"STAT1","STAT1_4",0.177315804452365,0.225212498572968,0.787326660713353,5,0.466754102922216,0.974425123313826,0.000443827469986003,8480.52513165698,4432.88255520759,TRUE,FALSE,0.225212498572968,0.787326660713353,0.466754102922216,0.974425123313826
"PTGER4","PTGER4_1",0.23874817117633,0.114819642591148,2.07933212287091,5,0.092140087255295,0.631118929773524,8.50258172539475e-05,1635.03558899935,3291.64390259262,TRUE,FALSE,0.114819642591148,2.07933212287091,0.092140087255295,0.631118929773524
"NFKBIA","NFKBIA_5",0.210373807183896,0.147038299398381,1.43074156899704,5,0.211909819805185,0.877601473983621,0.00027897829749668,5262.79806551458,6572.29670682043,TRUE,FALSE,0.147038299398381,1.43074156899704,0.211909819805185,0.877601473983621
"GNA13","GNA13_6",0.172692158358746,0.187560594911812,0.920727290505467,5,0.399438014975074,0.947577862596625,0.000299913386812656,5301.54352703876,4318.4030941299,TRUE,FALSE,0.187560594911812,0.920727290505467,0.399438014975074,0.947577862596625
"H2AFB3","H2AFB3_2",0.139020126409317,0.131199756925957,1.05960658515376,5,0.337803686115636,0.941802826763249,4.88102337821668e-05,948.433789551112,1434.73583159375,TRUE,FALSE,0.131199756925957,1.05960658515376,0.337803686115636,0.941802826763249
"CBLB","CBLB_5",0.216483754694119,0.287794944076254,0.752215280879845,5,0.485803845279255,0.974425123313826,0.000425444004204962,8146.20142157929,2606.84075389749,TRUE,FALSE,0.287794944076254,0.752215280879845,0.485803845279255,0.974425123313826
"NTCTRL","NTCTRL_17",-0.740566960417708,0.327826333399959,-2.25902218634215,5,0.0734416268483061,0.624828000318652,0.000741207255221247,13421.4620200141,3955.21463819649,TRUE,TRUE,0.327826333399959,-2.25902218634215,0.0734416268483061,0.624828000318652
"NTCTRL","NTCTRL_9",0.103053335195534,0.177310969860866,0.581201125211818,5,0.586318474299878,0.974425123313826,0.000212957798349133,3996.03968162374,3411.6914408837,TRUE,TRUE,0.177310969860866,0.581201125211818,0.586318474299878,0.974425123313826
"PPP6C","PPP6C_2",-0.606170084804809,0.330290748990344,-1.83526207336352,5,0.125912519020958,0.728228046112647,0.000501360061985875,9192.26396923389,2522.57080622664,TRUE,FALSE,0.330290748990344,-1.83526207336352,0.125912519020958,0.728228046112647
"ALDH3B1","ALDH3B1_3",-0.309367588797444,0.212851985024358,-1.45343999851371,5,0.205838970855269,0.877601473983621,0.000189777341283159,3529.77615089925,2152.55507241224,TRUE,FALSE,0.212851985024358,-1.45343999851371,0.205838970855269,0.877601473983621
"TNFAIP3","TNFAIP3_5",0.212705576362451,0.0455138047011058,4.67342991339248,5,0.0054657177827209,0.303366862495307,2.35986723427924e-05,444.304809860156,5859.85155862663,TRUE,FALSE,0.0455138047011058,4.67342991339248,0.0054657177827209,0.303366862495307
"CBLB","CBLB_1",0.225604487323085,0.23499750776315,0.960029276354997,5,0.381131435780276,0.947577862596625,0.000802019655872999,15529.8173762068,7410.08795260447,TRUE,FALSE,0.23499750776315,0.960029276354997,0.381131435780276,0.947577862596625
