"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"IFNG",6,2.23151489368257,7.78124590708573e-47,1.47610234857416e-42,1,1.6840302347606,1.4966805594784,1.52427815400662e-54,3.3981,2.2608e-28,2.615e-07,0.000127,TRUE,1,3
"VAV1",6,2.1063010366023,2.47050119585478e-36,2.34327038426826e-32,1,1.6840302347606,1.4966805594784,1.45361837677167e-41,3.1888,2.0688e-36,2.615e-07,0.000127,TRUE,2,1
"CD28",6,1.904383241015,2.98397715725849e-24,1.88686822243979e-20,1,1.6840302347606,1.4966805594784,1.81289324547126e-26,3.1484,1.5221e-29,2.615e-07,0.000127,TRUE,3,2
"MAP4K1",6,-1.73157960312388,2.8095857903922e-12,3.55318949624934e-09,1,1.6840302347606,1.4966805594784,4.75706022746289e-12,-2.863,2.6622e-23,2.615e-07,7.7e-05,FALSE,15,4
"TNFRSF1A",6,1.54867330836144,8.42590005085448e-24,3.99598309911774e-20,1,1.6840302347606,1.4966805594784,5.04729675400699e-26,2.2493,4.3994e-21,2.615e-07,0.000127,TRUE,4,6
"TNFRSF1B",6,1.37770369540396,4.91516870628447e-17,1.86481500716433e-13,1,1.6840302347606,1.4966805594784,1.41845862262041e-17,2.1183,3.3466e-21,2.615e-07,0.000127,TRUE,5,5
"IL1R1",6,1.02934781174336,1.07657797147339e-16,3.40378068647505e-13,0.833333333333333,1.6840302347606,1.4966805594784,3.1805471956077e-17,1.4964,8.6937e-13,2.615e-07,0.000127,TRUE,6,19
"SLA2",6,-1.58140141866064,7.7702922941734e-13,1.1683574799667e-09,1,1.6840302347606,1.4966805594784,1.12700664243091e-12,-2.3685,2.4744e-19,2.615e-07,7.7e-05,FALSE,12,7
"TBX21",6,0.982706913740872,1.93223647485636e-16,5.23636084686073e-13,0.833333333333333,1.6840302347606,1.4966805594784,5.70445359270625e-17,1.5582,1.2324e-16,2.615e-07,0.000127,TRUE,7,9
"LCP2",6,1.10718313404972,3.38940080018585e-15,8.03711664744069e-12,1,1.6840302347606,1.4966805594784,1.85547497865046e-15,1.5387,1.9414e-13,2.615e-07,0.000127,TRUE,8,16
