"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"VAV1",6,2.32324898199796,2.91537900514387e-43,5.53047397275792e-39,1,1.59586015040928,1.51911868264771,2.75511786561672e-43,3.332,2.1707e-35,2.615e-07,9.9e-05,TRUE,1,1
"CD28",6,1.70250599661627,2.14088009378202e-28,2.03062476895225e-24,1,1.59586015040928,1.51911868264771,3.4291868523219e-27,2.4027,9.5211e-27,2.615e-07,9.9e-05,TRUE,2,2
"IL2RB",6,1.85139882700294,7.52324551087341e-20,3.56789918353171e-16,1,1.59586015040928,1.51911868264771,4.53799737578005e-18,2.5827,1.6178e-21,2.615e-07,9.9e-05,TRUE,4,3
"LCP2",6,1.36169944098266,7.49232305640639e-22,4.73764561266764e-18,1,1.59586015040928,1.51911868264771,3.75752508667026e-20,1.7481,4.1817e-20,2.615e-07,9.9e-05,TRUE,3,4
"IL2",6,1.45308198666857,1.76132190419722e-19,6.68245530452426e-16,1,1.59586015040928,1.51911868264771,9.27291262657825e-18,1.9379,7.4916e-18,2.615e-07,9.9e-05,TRUE,5,6
"MAP4K1",6,-1.63572416769305,3.82966133974895e-12,7.26486756150376e-09,1,1.59586015040928,1.51911868264771,5.65454547559143e-10,-2.6674,4.4881e-20,2.615e-07,6.7e-05,FALSE,10,5
"EMP1",6,0.883555555509521,4.0287782095559e-16,1.27376537725459e-12,1,1.59586015040928,1.51911868264771,3.89856691029753e-14,1.5199,3.3445e-15,2.615e-07,9.9e-05,TRUE,6,10
"INPPL1",6,-1.47557623220553,5.58473443801605e-10,5.57591643627181e-07,1,1.59586015040928,1.51911868264771,7.19345666645885e-08,-2.3601,2.4006e-16,2.615e-07,6.7e-05,FALSE,19,7
"LHX6",6,0.979844757385251,2.07951532259e-13,5.6354865242189e-10,1,1.59586015040928,1.51911868264771,3.2613660349252e-11,1.5132,1.6805e-14,2.615e-07,9.9e-05,TRUE,7,13
"ARHGDIB",6,-1.22588012711235,3.65953522339776e-10,3.85674351043641e-07,1,1.59586015040928,1.51911868264771,4.76720433329537e-08,-1.9616,1.0422e-15,2.615e-07,6.7e-05,FALSE,18,8
"EMP3",6,0.818484846643375,2.66883371048955e-13,6.32847193599834e-10,1,1.59586015040928,1.51911868264771,3.75663544275709e-11,1.1456,6.4032e-09,2.615e-07,9.9e-05,TRUE,8,54
"LAT2",6,-1.41271100869376,1.60262391859268e-11,2.46860017052647e-08,1,1.59586015040928,1.51911868264771,2.23434219888368e-09,-2.1948,1.9042e-15,2.615e-07,6.7e-05,FALSE,12,9
"RAC2",6,0.88151001600976,3.68152840643916e-12,7.26486756150376e-09,1,1.59586015040928,1.51911868264771,5.65454547559143e-10,1.4158,1.3949e-13,2.615e-07,9.9e-05,TRUE,9,16
"FOSL1",6,0.940091875289246,6.16910880326597e-12,1.06389085452687e-08,1,1.59586015040928,1.51911868264771,8.69172913810196e-10,1.749,5.5451e-14,2.615e-07,9.9e-05,TRUE,11,15
"TRIM21",6,1.3613125157684,1.2627699977905e-10,1.49717167863037e-07,1,1.59586015040928,1.51911868264771,1.66154940191364e-08,2.0752,4.6008e-15,2.615e-07,9.9e-05,TRUE,16,11
"GRAP",6,-1.18791313120519,2.10852514797653e-10,2.3528660033597e-07,1,1.59586015040928,1.51911868264771,2.75039671141924e-08,-1.9215,6.323e-15,2.615e-07,6.7e-05,FALSE,17,12
