"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"VAV1",6,-1.9967536235633,1.94115615681767e-48,3.69402016642402e-44,1,1.15494334255549,0.978166727433865,1.53890568550392e-62,-2.9377,7.3787e-38,2.6138e-07,0.00015,FALSE,1,1
"CBLB",6,0.984440546021196,1.8824077157843e-47,1.79111094156877e-43,1,1.15494334255549,0.978166727433865,1.81920010551234e-61,1.2069,3.5266e-22,2.6138e-07,4.9e-05,TRUE,2,10
"LCP2",6,-1.30052050673239,5.64308249590562e-41,3.5795953299028e-37,1,1.15494334255549,0.978166727433865,1.25973346015219e-52,-1.9008,1.7794e-34,2.6138e-07,0.00015,FALSE,3,2
"CD3G",6,-1.54665888066865,3.0146992557501e-31,9.56162113948739e-28,1,1.15494334255549,0.978166727433865,2.17210906277433e-39,-2.7298,3.3132e-28,2.6138e-07,0.00015,FALSE,6,3
"CD5",6,0.833253614621502,4.62542448903659e-39,2.20054570065916e-35,1,1.15494334255549,0.978166727433865,4.35463022653182e-50,1.315,5.7791e-24,2.6138e-07,4.9e-05,TRUE,4,6
"IL2",6,-1.41617232510728,5.55645853019147e-33,2.11478811659087e-29,1,1.15494334255549,0.978166727433865,1.00652975632959e-41,-2.6858,3.5034e-28,2.6138e-07,0.00015,FALSE,5,4
"CD3D",6,-1.14861268798509,1.70134154811326e-27,2.69804413838294e-24,1,1.15494334255549,0.978166727433865,1.79721214880139e-34,-2.5307,7.0623e-28,2.6138e-07,0.00015,FALSE,12,5
"CD28",6,-1.05341791645947,8.7830812966429e-30,1.67142037075114e-26,1,1.15494334255549,0.978166727433865,1.42012525775795e-37,-1.7352,8.755e-24,2.6138e-07,0.00015,FALSE,10,7
"EIF3D",6,0.982910651656993,2.4188109938389e-30,6.57571045896489e-27,1,1.15494334255549,0.978166727433865,3.37374665128617e-38,1.5975,9.716e-24,2.6138e-07,4.9e-05,TRUE,7,8
"ZAP70",6,-1.31314681123542,3.3111904443643e-30,7.3597440513542e-27,1,1.15494334255549,0.978166727433865,4.3537682038871e-38,-2.8183,4.6434e-23,2.6138e-07,0.00015,FALSE,8,9
"RNF40",6,0.793861120203238,3.48069871057214e-30,7.3597440513542e-27,1,1.15494334255549,0.978166727433865,4.3537682038871e-38,1.0408,7.8226e-16,2.6138e-07,4.9e-05,TRUE,9,19
"MAP4K1",6,0.791758587750503,3.19740358178445e-29,5.5315081964871e-26,1,1.15494334255549,0.978166727433865,7.79033337088789e-37,0.96599,4.2873e-15,2.6138e-07,4.9e-05,TRUE,11,21
"PDGFRA",6,0.94923563205234,4.30682303731799e-25,6.30452633847396e-22,1,1.15494334255549,0.978166727433865,3.64984284223577e-31,1.4581,1.2967e-20,2.6138e-07,4.9e-05,TRUE,13,11
"CD3E",6,-1.21141347549473,7.1867066334412e-25,9.76878765959901e-22,1,1.15494334255549,0.978166727433865,6.90733555843261e-31,-1.9861,3.0604e-19,2.6138e-07,0.00015,FALSE,14,12
"ITK",6,-0.930576789163285,5.51679286402329e-20,6.99897121349088e-17,1,1.15494334255549,0.978166727433865,3.98374879636152e-24,-1.461,5.9531e-19,2.6138e-07,0.00015,FALSE,15,13
"CD2",6,-0.976467898566214,1.37068526777171e-18,1.37284950766819e-15,1,1.15494334255549,0.978166727433865,2.73073755708034e-22,-1.9599,8.4789e-19,2.6138e-07,0.00015,FALSE,19,14
