"screen","fold","method","null_scale","global_scale","control_scale","genes_called","null_genes","null_called","null_p05","null_p05_expected","null_p05_rate","null_p05_ratio"
"CRISPRa_IL2",0,"BARCS",1.59586015040927,1.59586015040927,1.29717890286524,158,83,0,5,0.05,0.0602409638554217,1.20481927710843
"CRISPRa_IL2",0,"BARCS unmoderated",1.95232334256701,1.95232334256701,1.67976754249384,176,83,0,9,0.05,0.108433734939759,2.16867469879518
"CRISPRa_IL2",0,"MAGeCK",NA,NA,NA,473,83,2,16,0.1,0.192771084337349,1.92771084337349
"CRISPRa_IL2",1,"BARCS",1.81358057328569,1.59586015040927,1.81358057328569,76,82,0,1,0.05,0.0121951219512195,0.24390243902439
"CRISPRa_IL2",1,"BARCS unmoderated",2.32676423805932,1.95232334256701,2.32676423805932,54,82,0,0,0.05,0,0
"CRISPRa_IL2",1,"MAGeCK",NA,NA,NA,457,82,0,10,0.1,0.121951219512195,1.21951219512195
"CRISPRa_IFNG",0,"BARCS",1.6840302347606,1.6840302347606,1.50184462965432,177,83,0,1,0.05,0.0120481927710843,0.240963855421687
"CRISPRa_IFNG",0,"BARCS unmoderated",2.09133123607696,2.09133123607696,1.95606589652876,183,83,0,1,0.05,0.0120481927710843,0.240963855421687
"CRISPRa_IFNG",0,"MAGeCK",NA,NA,NA,409,83,0,7,0.1,0.0843373493975904,0.843373493975904
"CRISPRa_IFNG",1,"BARCS",1.6840302347606,1.6840302347606,1.50176704011471,176,82,0,1,0.05,0.0121951219512195,0.24390243902439
"CRISPRa_IFNG",1,"BARCS unmoderated",2.09133123607696,2.09133123607696,1.65695301123558,190,82,0,3,0.05,0.0365853658536585,0.731707317073171
"CRISPRa_IFNG",1,"MAGeCK",NA,NA,NA,577,82,0,16,0.1,0.195121951219512,1.95121951219512
"CRISPRi_IL2",0,"BARCS",1.1549433425555,1.1549433425555,1.05937264186497,439,83,0,0,0.05,0,0
"CRISPRi_IL2",0,"BARCS unmoderated",1.59393660544558,1.3364923692342,1.59393660544558,203,83,0,0,0.05,0,0
"CRISPRi_IL2",0,"MAGeCK",NA,NA,NA,233,83,0,1,0.1,0.0120481927710843,0.120481927710843
"CRISPRi_IL2",1,"BARCS",1.1549433425555,1.1549433425555,0.896625315090388,396,82,0,4,0.05,0.048780487804878,0.975609756097561
"CRISPRi_IL2",1,"BARCS unmoderated",1.3364923692342,1.3364923692342,1.07202939226576,301,82,0,6,0.05,0.0731707317073171,1.46341463414634
"CRISPRi_IL2",1,"MAGeCK",NA,NA,NA,239,82,0,13,0.1,0.158536585365854,1.58536585365854
"CRISPRi_IFNG",0,"BARCS",1.18619420283432,1.18619420283432,1.13557569460358,330,83,0,2,0.05,0.0240963855421687,0.481927710843373
"CRISPRi_IFNG",0,"BARCS unmoderated",1.36476817577379,1.36476817577379,1.22876610915572,301,83,1,4,0.05,0.0481927710843374,0.963855421686747
"CRISPRi_IFNG",0,"MAGeCK",NA,NA,NA,209,83,0,12,0.1,0.144578313253012,1.44578313253012
"CRISPRi_IFNG",1,"BARCS",1.18619420283432,1.18619420283432,1.06301191239461,330,82,0,3,0.05,0.0365853658536585,0.731707317073171
"CRISPRi_IFNG",1,"BARCS unmoderated",1.40955544982724,1.36476817577379,1.40955544982724,269,82,0,1,0.05,0.0121951219512195,0.24390243902439
"CRISPRi_IFNG",1,"MAGeCK",NA,NA,NA,213,82,0,7,0.1,0.0853658536585366,0.853658536585366
