"screen","gene","role","expected_direction","barcs_rank","barcs_estimate","barcs_fdr","barcs_called","mageck_rank","mageck_lfc","mageck_fdr","mageck_called"
"CRISPRa_IL2","IL2","positive control",1,5,1.45308198666857,6.68245530452426e-16,TRUE,6,1.9379,9.9e-05,TRUE
"CRISPRi_IL2","IL2","positive control",-1,5,-1.41617232510728,2.11478811659087e-29,TRUE,4,-2.6858,0.00015,TRUE
"CRISPRa_IFNG","IFNG","positive control",1,1,2.23151489368257,1.47610234857416e-42,TRUE,3,3.3981,0.000127,TRUE
"CRISPRi_IFNG","IFNG","positive control",-1,18,-1.01451480093676,3.18955614700841e-23,TRUE,19,-1.4285,5.4e-05,TRUE
"CRISPRa_IL2","VAV1","proximal TCR signalling",1,1,2.32324898199796,5.53047397275792e-39,TRUE,1,3.332,9.9e-05,TRUE
"CRISPRa_IL2","CD28","proximal TCR signalling",1,2,1.70250599661627,2.03062476895225e-24,TRUE,2,2.4027,9.9e-05,TRUE
"CRISPRa_IL2","LCP2","proximal TCR signalling",1,3,1.36169944098266,4.73764561266764e-18,TRUE,4,1.7481,9.9e-05,TRUE
"CRISPRa_IL2","LAT","proximal TCR signalling",1,40,0.700327404321264,6.16665328902498e-05,TRUE,58,0.90402,9.9e-05,TRUE
"CRISPRa_IL2","ZAP70","proximal TCR signalling",1,24,0.696737465607182,3.77637467062686e-06,TRUE,38,0.9092,9.9e-05,TRUE
"CRISPRa_IFNG","VAV1","proximal TCR signalling",1,2,2.1063010366023,2.34327038426826e-32,TRUE,1,3.1888,0.000127,TRUE
"CRISPRa_IFNG","CD28","proximal TCR signalling",1,3,1.904383241015,1.88686822243979e-20,TRUE,2,3.1484,0.000127,TRUE
"CRISPRa_IFNG","LCP2","proximal TCR signalling",1,8,1.10718313404972,8.03711664744069e-12,TRUE,16,1.5387,0.000127,TRUE
"CRISPRa_IFNG","LAT","proximal TCR signalling",1,14,0.950354783246142,3.54613674147526e-09,TRUE,36,1.3232,0.000127,TRUE
"CRISPRa_IFNG","ZAP70","proximal TCR signalling",1,72,0.567780168237838,0.00110937926768711,TRUE,89,0.79376,0.000345,TRUE
"CRISPRi_IL2","VAV1","proximal TCR signalling",-1,1,-1.9967536235633,3.69402016642402e-44,TRUE,1,-2.9377,0.00015,TRUE
"CRISPRi_IL2","CD28","proximal TCR signalling",-1,10,-1.05341791645947,1.67142037075114e-26,TRUE,7,-1.7352,0.00015,TRUE
"CRISPRi_IL2","LCP2","proximal TCR signalling",-1,3,-1.30052050673239,3.5795953299028e-37,TRUE,2,-1.9008,0.00015,TRUE
"CRISPRi_IL2","LAT","proximal TCR signalling",-1,34,-0.684938515454406,1.6750833680271e-10,TRUE,35,-0.90335,0.00015,TRUE
"CRISPRi_IL2","ZAP70","proximal TCR signalling",-1,8,-1.31314681123542,7.3597440513542e-27,TRUE,9,-2.8183,0.00015,TRUE
"CRISPRi_IFNG","VAV1","proximal TCR signalling",-1,3,-2.58852570386586,2.2583708660004e-60,TRUE,1,-3.8819,5.4e-05,TRUE
"CRISPRi_IFNG","CD28","proximal TCR signalling",-1,1,-1.53475954048999,1.97195477382808e-61,TRUE,4,-2.2059,5.4e-05,TRUE
"CRISPRi_IFNG","LCP2","proximal TCR signalling",-1,4,-1.59939756495187,2.46497833935025e-48,TRUE,6,-3.1982,5.4e-05,TRUE
"CRISPRi_IFNG","LAT","proximal TCR signalling",-1,16,-1.16748135636478,1.11334104066149e-26,TRUE,18,-2.0822,5.4e-05,TRUE
"CRISPRi_IFNG","ZAP70","proximal TCR signalling",-1,5,-1.86347942643324,2.46497833935025e-48,TRUE,2,-3.4608,5.4e-05,TRUE
"CRISPRa_IL2","MAP4K1","negative regulator",-1,10,-1.63572416769305,7.26486756150376e-09,TRUE,5,-2.6674,6.7e-05,TRUE
"CRISPRa_IL2","SLA2","negative regulator",-1,14,-1.25751928550903,7.12788280263285e-08,TRUE,14,-1.9719,6.7e-05,TRUE
"CRISPRa_IL2","CBLB","negative regulator",-1,2403,-0.242890386025988,0.822774910020061,FALSE,441,-0.71786,0.015658,TRUE
"CRISPRa_IFNG","MAP4K1","negative regulator",-1,15,-1.73157960312388,3.55318949624934e-09,TRUE,4,-2.863,7.7e-05,TRUE
"CRISPRa_IFNG","SLA2","negative regulator",-1,12,-1.58140141866064,1.1683574799667e-09,TRUE,7,-2.3685,7.7e-05,TRUE
"CRISPRa_IFNG","CBLB","negative regulator",-1,409,-0.455451208389181,0.207160745632802,FALSE,242,-0.88091,0.003625,TRUE
"CRISPRi_IL2","MAP4K1","negative regulator",1,11,0.791758587750503,5.5315081964871e-26,TRUE,21,0.96599,4.9e-05,TRUE
"CRISPRi_IL2","SLA2","negative regulator",1,746,0.164786625772106,0.251005744414549,FALSE,2840,0.27944,0.354441,FALSE
"CRISPRi_IL2","CBLB","negative regulator",1,2,0.984440546021196,1.79111094156877e-43,TRUE,10,1.2069,4.9e-05,TRUE
"CRISPRi_IFNG","MAP4K1","negative regulator",1,17,0.827904531192007,2.63476565001337e-25,TRUE,15,1.1605,0.000105,TRUE
"CRISPRi_IFNG","SLA2","negative regulator",1,46,0.580254949261696,7.11224476763803e-12,TRUE,24,0.87378,0.000105,TRUE
"CRISPRi_IFNG","CBLB","negative regulator",1,12,0.882702767671437,2.56084394721502e-30,TRUE,17,1.2821,0.000105,TRUE
"CRISPRi_IFNG","MALT1","NF-kB circuit",-1,43,-0.668943327395065,3.98531207908733e-12,TRUE,43,-0.96345,5.4e-05,TRUE
"CRISPRi_IFNG","BCL10","NF-kB circuit",-1,48,-0.821168736862841,9.52755431595229e-12,TRUE,81,-1.0298,5.4e-05,TRUE
"CRISPRi_IFNG","TRAF6","NF-kB circuit",-1,9,-1.29043689299292,7.68874177353687e-34,TRUE,12,-1.7722,5.4e-05,TRUE
"CRISPRi_IFNG","MAP3K7","NF-kB circuit",-1,25,-1.00803158046185,2.78596287195428e-20,TRUE,13,-1.4792,5.4e-05,TRUE
"CRISPRi_IFNG","CHUK","NF-kB circuit",-1,59,-0.514375906370113,6.35326835205453e-10,TRUE,99,-0.80363,5.4e-05,TRUE
"CRISPRi_IFNG","IKBKB","NF-kB circuit",-1,278,-0.334505583784448,0.0215887967159577,TRUE,293,-0.42912,0.008998,FALSE
"CRISPRi_IFNG","IKBKG","NF-kB circuit",-1,118,-0.466506360704935,5.25482301974338e-05,TRUE,94,-0.85512,5.4e-05,TRUE
