guide,gene,control,HAP1_Day00_R1,HAP1_Day00_R2,HAP1_Day14_R1,HAP1_Day14_R2
gEss_000126,PRPF8,false,440,1157,47,40
gEss_000125,PRPF8,false,334,1244,1,2
gEss_000128,PRPF8,false,376,926,1,7
gEss_000127,PRPF8,false,301,953,21,6
gEss_000752,RPLP2,false,767,1739,2,15
gEss_000755,RPLP2,false,441,1710,13,10
gEss_000754,RPLP2,false,449,1266,1,1
gEss_000760,RPLP2,false,497,1171,1,5
gEss_000939,EIF3B,false,595,1665,1,19
gEss_000931,EIF3B,false,484,1218,1,7
gEss_000932,EIF3B,false,597,1058,49,27
gEss_000940,EIF3B,false,566,1077,1,1
gL_061021,SFPQ,false,783,1181,170,225
gL_061022,SFPQ,false,379,1416,10,2
gEss_000977,SFPQ,false,461,1251,2,7
gEss_000976,SFPQ,false,408,1251,28,9
gL_032256,Hum_XLOC_053432,false,1300,1558,2381,1897
gL_049286,Hum_XLOC_053432,false,953,1604,158,146
gL_049288,Hum_XLOC_053432,false,846,1645,500,260
gL_032254,Hum_XLOC_053432,false,344,1843,16,3
gL_002469,Hum_XLOC_004254,false,989,1170,35,73
gL_002471,Hum_XLOC_004254,false,543,1334,93,29
gL_034025,Hum_XLOC_004254,false,760,883,898,941
gL_034026,Hum_XLOC_004254,false,493,970,14,34
gL_000062,Hum_XLOC_000094,false,1554,1718,2216,1737
gL_000061,Hum_XLOC_000094,false,1533,1470,1982,1710
gL_000063,Hum_XLOC_000094,false,1371,880,1149,1125
gL_000060,Hum_XLOC_000094,false,1306,837,726,1300
gL_032814,Hum_XLOC_000105,false,1304,1420,1204,1144
gL_032813,Hum_XLOC_000105,false,902,923,895,1096
gL_000071,Hum_XLOC_000105,false,939,767,757,1016
gL_000074,Hum_XLOC_000105,false,1046,640,1183,1024
gNT_000315,NTC_01,true,1659,2239,3571,2378
gNT_000959,NTC_01,true,1625,2140,953,1434
gNT_000577,NTC_01,true,1865,1789,1543,1129
gNT_000993,NTC_01,true,1790,1752,1275,2096
gNT_000561,NTC_02,true,1882,1512,1163,1488
gNT_000423,NTC_02,true,960,2350,5823,2376
gNT_000402,NTC_02,true,1650,1633,1020,1308
gNT_000919,NTC_02,true,1661,1590,1766,1647
gNT_000157,NTC_03,true,1293,1950,1554,1334
gNT_000632,NTC_03,true,1467,1725,1673,1787
gNT_000126,NTC_03,true,1678,1485,762,1241
gNT_000715,NTC_03,true,1484,1662,1010,947
gNT_000110,NTC_04,true,1455,1644,1759,1115
gNT_000952,NTC_04,true,1722,1295,1295,1401
gNT_000823,NTC_04,true,1566,1410,1258,1589
gNT_000787,NTC_04,true,1649,1322,1714,1537
gNT_000150,NTC_05,true,1266,1687,1336,1303
gNT_000394,NTC_05,true,1369,1560,1141,1106
gNT_000866,NTC_05,true,1331,1590,1378,1079
gNT_000666,NTC_05,true,1588,1332,1117,1971
gNT_000696,NTC_06,true,1571,1342,1713,1379
gNT_000035,NTC_06,true,1686,1220,666,1742
gNT_000261,NTC_06,true,1411,1493,661,1228
gNT_000100,NTC_06,true,1437,1465,1176,909
gNT_000014,NTC_07,true,1322,1562,1193,1070
gNT_000501,NTC_07,true,1534,1297,1302,1521
gNT_000675,NTC_07,true,1645,1156,1201,1608
gNT_000353,NTC_07,true,1229,1563,1424,1398
gNT_000967,NTC_08,true,1255,1532,986,1372
gNT_000267,NTC_08,true,1454,1325,1471,1373
gNT_000555,NTC_08,true,1260,1515,1326,1396
gNT_000948,NTC_08,true,1356,1389,1718,1164
gNT_000304,NTC_09,true,1288,1452,776,858
gNT_000216,NTC_09,true,1214,1521,2159,1557
gNT_000791,NTC_09,true,1485,1248,1529,1331
gNT_000480,NTC_09,true,1263,1461,633,1285
gNT_000651,NTC_10,true,1478,1244,710,1140
gNT_000834,NTC_10,true,1555,1157,1158,1679
gNT_000704,NTC_10,true,1434,1278,1332,1364
gNT_000874,NTC_10,true,1262,1444,923,1710
