guide,gene,control,HAP1_Day00_R1,HAP1_Day00_R2,HAP1_Day14_R1,HAP1_Day14_R2
gEss_000001,PSMD6,false,337,714,3,3
gEss_000002,PSMD6,false,366,687,4,6
gEss_000003,PSMD6,false,661,800,7,56
gEss_000004,PSMD6,false,180,569,10,17
gEss_000005,PSMD6,false,146,176,2,12
gEss_000006,PSMD6,false,594,864,1,3
gEss_000007,PSMD6,false,252,302,5,26
gEss_000008,PSMD6,false,337,454,187,133
gEss_000009,PSMD6,false,829,1439,21,45
gEss_000010,PSMD6,false,358,1112,12,7
gEss_000011,C1orf109,false,1522,1498,1758,1421
gEss_000012,C1orf109,false,835,921,847,528
gEss_000013,C1orf109,false,1625,2597,2150,1508
gEss_000014,C1orf109,false,1124,946,767,738
gEss_000015,C1orf109,false,1401,1129,1083,941
gEss_000016,C1orf109,false,1173,1157,970,660
gEss_000017,C1orf109,false,670,654,1049,952
gEss_000018,C1orf109,false,1168,1490,2069,1337
gEss_000019,C1orf109,false,681,968,810,438
gEss_000020,C1orf109,false,1052,1144,1666,850
gEss_000021,PSMB2,false,408,1104,1161,364
gEss_000022,PSMB2,false,91,270,15,2
gEss_000023,PSMB2,false,895,1228,2330,1098
gEss_000024,PSMB2,false,301,913,1,1
gEss_000025,PSMB2,false,531,890,1453,895
gEss_000026,PSMB2,false,294,429,17,44
gEss_000027,PSMB2,false,312,725,33,28
gEss_000028,PSMB2,false,489,1238,23,27
gEss_000029,PSMB2,false,713,959,254,93
gEss_000030,PSMB2,false,359,617,124,74
gEss_000041,POLR3K,false,575,1183,803,448
gEss_000042,POLR3K,false,1083,989,897,1165
gEss_000043,POLR3K,false,893,1055,650,931
gEss_000044,POLR3K,false,535,755,437,268
gEss_000045,POLR3K,false,992,1039,876,887
gEss_000046,POLR3K,false,1515,1284,814,860
gEss_000047,POLR3K,false,837,862,499,544
gEss_000048,POLR3K,false,753,827,262,329
gEss_000049,POLR3K,false,1055,1015,1007,943
gEss_000050,POLR3K,false,1201,1588,145,134
gEss_000071,TIMELESS,false,543,1057,113,44
gEss_000072,TIMELESS,false,549,930,319,258
gEss_000073,TIMELESS,false,529,487,783,639
gEss_000074,TIMELESS,false,389,1198,13,12
gEss_000075,TIMELESS,false,1060,1149,1043,613
gEss_000076,TIMELESS,false,234,267,148,126
gEss_000077,TIMELESS,false,1811,1504,1357,1213
gEss_000078,TIMELESS,false,572,638,358,506
gEss_000079,TIMELESS,false,1120,1274,453,444
gEss_000080,TIMELESS,false,610,951,102,93
gEss_000101,UBR4,false,413,955,1,3
gEss_000102,UBR4,false,734,874,125,49
gEss_000103,UBR4,false,979,915,172,155
gEss_000104,UBR4,false,212,375,255,186
gEss_000105,UBR4,false,267,302,135,135
gEss_000106,UBR4,false,515,966,52,48
gEss_000107,UBR4,false,294,272,63,81
gEss_000108,UBR4,false,776,1124,53,49
gEss_000109,UBR4,false,502,910,2,13
gEss_000110,UBR4,false,757,820,138,146
gEss_000121,PRPF8,false,364,869,1,3
gEss_000122,PRPF8,false,154,266,1,6
gEss_000123,PRPF8,false,271,532,1,7
gEss_000124,PRPF8,false,136,322,6,35
gEss_000125,PRPF8,false,334,1244,1,2
gEss_000126,PRPF8,false,440,1157,47,40
gEss_000127,PRPF8,false,301,953,21,6
gEss_000128,PRPF8,false,376,926,1,7
gEss_000129,PRPF8,false,195,651,1,1
gEss_000130,PRPF8,false,243,681,1,1
gEss_000171,MIS18BP1,false,384,1227,12,17
gEss_000172,MIS18BP1,false,580,371,385,571
gEss_000173,MIS18BP1,false,1480,1514,675,842
gEss_000174,MIS18BP1,false,196,832,95,27
gEss_000175,MIS18BP1,false,620,757,14,57
gEss_000176,MIS18BP1,false,1266,1275,469,442
gEss_000177,MIS18BP1,false,194,332,224,258
gEss_000178,MIS18BP1,false,656,1272,37,58
gEss_000179,MIS18BP1,false,642,743,478,334
gEss_000180,MIS18BP1,false,555,973,1,5
gEss_000211,POLA1,false,303,1033,7,15
gEss_000212,POLA1,false,685,299,83,384
gEss_000213,POLA1,false,535,1362,124,40
gEss_000214,POLA1,false,159,462,1,1
gEss_000215,POLA1,false,534,1251,4,27
gEss_000216,POLA1,false,787,1119,2,13
gEss_000217,POLA1,false,332,483,646,384
gEss_000218,POLA1,false,343,947,8,12
gEss_000219,POLA1,false,396,921,114,67
gEss_000220,POLA1,false,769,1187,2,7
gEss_000231,SCFD1,false,660,614,743,656
gEss_000232,SCFD1,false,482,815,622,548
gEss_000233,SCFD1,false,135,62,140,131
gEss_000234,SCFD1,false,628,1384,36,42
gEss_000235,SCFD1,false,416,789,176,75
gEss_000236,SCFD1,false,1078,734,832,1005
gEss_000237,SCFD1,false,744,856,588,291
gEss_000238,SCFD1,false,1052,905,528,635
gEss_000239,SCFD1,false,284,704,47,55
gEss_000240,SCFD1,false,156,795,51,3
gEss_000241,EXOSC6,false,1021,963,908,886
gEss_000242,EXOSC6,false,996,796,511,1145
gEss_000243,EXOSC6,false,979,698,882,1249
gEss_000244,EXOSC6,false,949,1291,2116,1430
gEss_000245,EXOSC6,false,772,605,858,773
gEss_000246,EXOSC6,false,422,557,408,435
gEss_000247,EXOSC6,false,1482,1415,1216,1301
gEss_000248,EXOSC6,false,662,739,842,609
gEss_000249,EXOSC6,false,1366,1505,1806,2022
gEss_000250,EXOSC6,false,789,842,590,721
gEss_000281,NELFB,false,915,1395,2696,1101
gEss_000282,NELFB,false,1095,1104,2943,1848
gEss_000283,NELFB,false,320,393,455,226
gEss_000284,NELFB,false,730,622,1860,1433
gEss_000285,NELFB,false,581,651,833,497
gEss_000286,NELFB,false,1150,1181,1998,1832
gEss_000287,NELFB,false,734,1561,1154,442
gEss_000288,NELFB,false,675,732,2015,1955
gEss_000289,NELFB,false,1832,2153,2819,1319
gEss_000290,NELFB,false,1151,1562,3592,3011
gEss_000291,PPIL4,false,740,438,393,521
gEss_000292,PPIL4,false,859,616,712,793
gEss_000293,PPIL4,false,378,812,235,152
gEss_000294,PPIL4,false,796,723,376,851
gEss_000295,PPIL4,false,1007,917,1274,1463
gEss_000296,PPIL4,false,950,837,545,542
gEss_000297,PPIL4,false,259,243,104,267
gEss_000298,PPIL4,false,452,565,448,772
gEss_000299,PPIL4,false,1367,1101,1108,1008
gEss_000300,PPIL4,false,967,574,613,880
gEss_000301,DHX33,false,845,1404,862,506
gEss_000302,DHX33,false,747,1093,891,742
gEss_000303,DHX33,false,1135,1324,1348,629
gEss_000304,DHX33,false,907,1243,1466,1060
gEss_000305,DHX33,false,439,830,90,173
gEss_000306,DHX33,false,939,1288,238,258
gEss_000307,DHX33,false,951,830,825,670
gEss_000308,DHX33,false,752,673,830,619
gEss_000309,DHX33,false,577,660,993,746
gEss_000310,DHX33,false,1048,1572,1247,707
gEss_000321,SNRNP48,false,221,169,130,251
gEss_000322,SNRNP48,false,801,825,644,625
gEss_000323,SNRNP48,false,1125,806,418,1173
gEss_000324,SNRNP48,false,705,798,45,53
gEss_000325,SNRNP48,false,830,802,1128,980
gEss_000326,SNRNP48,false,534,565,76,65
gEss_000327,SNRNP48,false,552,855,696,416
gEss_000328,SNRNP48,false,621,545,827,556
gEss_000329,SNRNP48,false,670,691,641,588
gEss_000330,SNRNP48,false,1195,809,919,1418
gEss_000341,ROMO1,false,990,1301,55,107
gEss_000342,ROMO1,false,505,668,5,12
gEss_000343,ROMO1,false,731,816,234,634
gEss_000344,ROMO1,false,811,945,202,185
gEss_000345,ROMO1,false,653,725,79,172
gEss_000346,ROMO1,false,499,642,218,175
gEss_000347,ROMO1,false,1057,860,1025,1029
gEss_000348,ROMO1,false,1037,923,408,531
gEss_000349,ROMO1,false,1458,1436,209,452
gEss_000350,ROMO1,false,688,714,494,794
gEss_000351,POLD2,false,621,858,121,182
gEss_000352,POLD2,false,256,378,113,106
gEss_000353,POLD2,false,576,940,256,291
gEss_000354,POLD2,false,754,1180,898,484
gEss_000355,POLD2,false,797,971,925,808
gEss_000356,POLD2,false,225,334,23,42
gEss_000357,POLD2,false,927,894,104,257
gEss_000358,POLD2,false,231,206,2,15
gEss_000359,POLD2,false,1035,1649,183,174
gEss_000360,POLD2,false,1748,1245,722,1176
gEss_000361,NSF,false,360,939,207,129
gEss_000362,NSF,false,221,633,11,16
gEss_000363,NSF,false,723,1567,44,44
gEss_000364,NSF,false,537,583,242,333
gEss_000365,NSF,false,636,1024,44,52
gEss_000366,NSF,false,709,534,393,610
gEss_000367,NSF,false,884,1043,353,331
gEss_000368,NSF,false,1135,840,725,1169
gEss_000369,NSF,false,596,1261,87,57
gEss_000370,NSF,false,174,297,47,67
gEss_000371,TSG101,false,583,715,215,241
gEss_000372,TSG101,false,716,1146,424,307
gEss_000373,TSG101,false,619,771,84,72
gEss_000374,TSG101,false,413,640,24,23
gEss_000375,TSG101,false,299,442,9,25
gEss_000376,TSG101,false,1008,816,1388,1260
gEss_000377,TSG101,false,1028,1065,1039,964
gEss_000378,TSG101,false,1199,942,530,874
gEss_000379,TSG101,false,845,1132,530,360
gEss_000380,TSG101,false,515,351,644,635
gEss_000391,TBCA,false,366,470,525,339
gEss_000392,TBCA,false,1701,1490,1293,1098
gEss_000393,TBCA,false,813,946,252,224
gEss_000394,TBCA,false,656,762,847,539
gEss_000395,TBCA,false,171,154,106,145
